Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Chemokine-Mediated Signaling Pathway (GO:0070098)	2/57	0.000517122238779734	0.0151524214320157	0	0	72.4836363636364	548.500439854094	CXCL8;CCL4
Cellular Response To Chemokine (GO:1990869)	2/59	0.000554014347281043	0.0151524214320157	0	0	69.9333333333333	524.382510177056	CXCL8;CCL4
Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844)	2/65	0.000672150187452226	0.0151524214320157	0	0	63.2539682539683	462.072056594928	CXCL8;GNLY
Neutrophil Chemotaxis (GO:0030593)	2/70	0.000779106356037233	0.0151524214320157	0	0	58.5882352941176	419.337267088932	CXCL8;CCL4
Granulocyte Chemotaxis (GO:0071621)	2/73	0.000846975672272765	0.0151524214320157	0	0	56.1042253521127	396.872234130769	CXCL8;CCL4
Neutrophil Migration (GO:1990266)	2/77	0.000941762018404738	0.0151524214320157	0	0	53.1013333333333	369.99723747275	CXCL8;CCL4
Proteolysis Involved In Protein Catabolic Process (GO:0051603)	2/78	0.000966223283452386	0.0151524214320157	0	0	52.4	363.766857868148	GZMA;CTSW
Cellular Response To Interleukin-1 (GO:0071347)	2/81	0.0010414372915721	0.0151524214320157	0	0	50.4025316455696	346.12192204229	CXCL8;CCL4
Response To Interleukin-1 (GO:0070555)	2/85	0.00114598145284152	0.0151524214320157	0	0	47.9638554216867	324.78695177414	CXCL8;CCL4
Antimicrobial Humoral Response (GO:0019730)	2/100	0.00158104510229119	0.0177867053347991	0	0	40.5918367346939	261.803918893847	CXCL8;GNLY
Protein Catabolic Process (GO:0030163)	2/102	0.00164414923262849	0.0177867053347991	0	0	39.776	254.985329278949	GZMA;CTSW
Response To Tumor Necrosis Factor (GO:0034612)	2/108	0.00184059863323742	0.0182526031129377	0	0	37.5132075471698	236.245592304463	CXCL8;CCL4
Cellular Response To Tumor Necrosis Factor (GO:0071356)	2/119	0.00222837860530783	0.0203982349255101	0	0	33.9675213675214	207.422025233216	CXCL8;CCL4
His-Purkinje System Development (GO:0003164)	1/5	0.00299665302989365	0.0237669341739487	0	0	454.181818181818	2638.91411927659	HOPX
Regulation Of Natural Killer Cell Mediated Immunity (GO:0002715)	1/5	0.00299665302989365	0.0237669341739487	0	0	454.181818181818	2638.91411927659	KLRB1
Regulation Of Entry Of Bacterium Into Host Cell (GO:2000535)	1/6	0.00359499844647963	0.0237669341739487	0	0	363.327272727273	2044.88281453851	CXCL8
Regulation Of Natural Killer Cell Chemotaxis (GO:2000501)	1/6	0.00359499844647963	0.0237669341739487	0	0	363.327272727273	2044.88281453851	CCL4
Regulation Of Cell Adhesion Molecule Production (GO:0060353)	1/6	0.00359499844647963	0.0237669341739487	0	0	363.327272727273	2044.88281453851	CXCL8
Regulation Of Endodeoxyribonuclease Activity (GO:0032071)	1/7	0.00419301510496052	0.0262615156573843	0	0	302.757575757576	1657.3964565725	GZMA
Regulation Of RNA Biosynthetic Process (GO:2001141)	1/8	0.00479070309341298	0.0285046834058072	0	0	259.493506493507	1385.97508325908	CXCL8
Regulation Of Leukocyte Mediated Cytotoxicity (GO:0001910)	1/9	0.00538806252238183	0.030532354293497	0	0	227.045454545455	1185.98769251803	KLRB1
Induction Of Positive Chemotaxis (GO:0050930)	1/10	0.00598509351248777	0.0309663533906976	0	0	201.808080808081	1032.95129457314	CXCL8
Negative Regulation Of Oxidoreductase Activity (GO:0051354)	1/10	0.00598509351248777	0.0309663533906976	0	0	201.808080808081	1032.95129457314	GZMA
Negative Regulation By Host Of Viral Transcription (GO:0043922)	1/12	0.00717817071488185	0.0328539351950361	0	0	165.099173553719	815.046857216495	CCL4
Positive Regulation Of Calcium-Mediated Signaling (GO:0050850)	1/12	0.00717817071488185	0.0328539351950361	0	0	165.099173553719	815.046857216495	CCL4
Granulocyte Activation (GO:0036230)	1/12	0.00717817071488185	0.0328539351950361	0	0	165.099173553719	815.046857216495	CXCL8
Regulation Of Oxidoreductase Activity (GO:0051341)	1/13	0.00777421720760798	0.0336621522235733	0	0	151.333333333333	735.017299344087	GZMA
Apoptotic Process (GO:0006915)	2/228	0.00792050640554667	0.0336621522235733	0	0	17.4884955752212	84.6145905043867	GZMA;GZMH
Inflammatory Response (GO:0006954)	2/236	0.00846476969456479	0.0347347446087314	0	0	16.8837606837607	80.5666462934082	CXCL8;CCL4
Positive Regulation Of Positive Chemotaxis (GO:0050927)	1/16	0.00956039001281181	0.0365484173228078	0	0	121.048484848485	562.890798219462	CXCL8
Cytokine-Mediated Signaling Pathway (GO:0019221)	2/257	0.00997175440634503	0.0365484173228078	0	0	15.476862745098	71.3173640587278	CXCL8;CCL4
Positive Regulation Of Lymphocyte Chemotaxis (GO:0140131)	1/17	0.0101551258956082	0.0365484173228078	0	0	113.477272727273	520.835340825484	CCL4
Regulation Of Single Stranded Viral RNA Replication Via Double Stranded DNA Intermediate (GO:0045091)	1/17	0.0101551258956082	0.0365484173228078	0	0	113.477272727273	520.835340825484	CXCL8
Neutrophil Activation (GO:0042119)	1/18	0.0107495345067082	0.0365484173228078	0	0	106.79679144385	484.098409887525	CXCL8
Positive Regulation Of Neutrophil Chemotaxis (GO:0090023)	1/18	0.0107495345067082	0.0365484173228078	0	0	106.79679144385	484.098409887525	CXCL8
Response To Fibroblast Growth Factor (GO:0071774)	1/20	0.0119373705403343	0.0382349998724681	0	0	95.5454545454545	423.083051849273	CXCL8
Chaperone-Mediated Protein Complex Assembly (GO:0051131)	1/21	0.0125307982775316	0.0382349998724681	0	0	90.7636363636364	397.505317956257	HOPX
Positive Regulation Of Granulocyte Chemotaxis (GO:0071624)	1/21	0.0125307982775316	0.0382349998724681	0	0	90.7636363636364	397.505317956257	CXCL8
Modulation By Symbiont Of Entry Into Host (GO:0052372)	1/21	0.0125307982775316	0.0382349998724681	0	0	90.7636363636364	397.505317956257	CXCL8
Negative Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0045744)	1/22	0.0131238993688259	0.038548871305384	0	0	86.4372294372294	374.560203730456	CXCL8
Positive Regulation Of Neutrophil Migration (GO:1902624)	1/23	0.013716673976595	0.038548871305384	0	0	82.504132231405	353.872030109198	CXCL8
Cellular Response To Cytokine Stimulus (GO:0071345)	2/308	0.0140900976960631	0.038548871305384	0	0	12.8640522875817	54.8302316257663	CXCL8;CCL4
Eosinophil Chemotaxis (GO:0048245)	1/24	0.014309122256811	0.038548871305384	0	0	78.9130434782609	335.132491976304	CCL4
Eosinophil Migration (GO:0072677)	1/24	0.014309122256811	0.038548871305384	0	0	78.9130434782609	335.132491976304	CCL4
Regulation Of Neutrophil Chemotaxis (GO:0090022)	1/25	0.0149012443701484	0.038548871305384	0	0	75.6212121212121	318.086302707901	CXCL8
Ventricular Cardiac Muscle Tissue Development (GO:0003229)	1/25	0.0149012443701484	0.038548871305384	0	0	75.6212121212121	318.086302707901	HOPX
Negative Regulation Of Catalytic Activity (GO:0043086)	1/26	0.0154930404733184	0.039227059921806	0	0	72.5927272727273	302.520344258052	GZMA
Proteolysis (GO:0006508)	2/330	0.0160603384256794	0.0398162556803301	0	0	11.9878048780488	49.5264470199393	GZMA;CTSW
Pyroptosis (GO:0070269)	1/28	0.0166756552976705	0.0402884401199126	0	0	67.2087542087542	275.139560217608	GZMA
Negative Regulation Of DNA Binding (GO:0043392)	1/29	0.0172664743371054	0.0402884401199126	0	0	64.8051948051948	263.043544162992	GZMA
Positive Regulation Of Calcium Ion Transport (GO:0051928)	1/29	0.0172664743371054	0.0402884401199126	0	0	64.8051948051948	263.043544162992	CCL4
Regulation Of Calcium-Mediated Signaling (GO:0050848)	1/30	0.0178569680089386	0.0408649844819941	0	0	62.5673981191223	251.856394435351	CCL4
Regulation Of Natural Killer Cell Mediated Cytotoxicity (GO:0042269)	1/32	0.0190369798873028	0.0427434076714912	0	0	58.524926686217	231.838998945413	KLRB1
Digestive Tract Development (GO:0048565)	1/39	0.0231567959712164	0.0510307170476806	0	0	47.7272727272727	179.715469455106	CXCL8
Positive Regulation Of Monoatomic Ion Transport (GO:0043270)	1/40	0.0237440447903621	0.0511239835163174	0	0	46.5011655011655	173.934053408955	CCL4
Lymphocyte Migration (GO:0072676)	1/41	0.0243309700172124	0.0511239835163174	0	0	45.3363636363636	168.470165460863	CCL4
Modulation By Host Of Symbiont Process (GO:0051851)	1/42	0.024917571797869	0.0511239835163174	0	0	44.2283813747228	163.299234914618	CCL4
Monocyte Chemotaxis (GO:0002548)	1/42	0.024917571797869	0.0511239835163174	0	0	44.2283813747228	163.299234914618	CCL4
Lymphocyte Chemotaxis (GO:0048247)	1/44	0.02608980569517	0.0517447812954205	0	0	42.1670190274841	153.749832901437	CCL4
Positive Regulation Of Biosynthetic Process (GO:0009891)	1/44	0.02608980569517	0.0517447812954205	0	0	42.1670190274841	153.749832901437	CXCL8
Regulation Of DNA Binding (GO:0051101)	1/48	0.0284303992895408	0.0545680244428282	0	0	38.5705996131528	137.322763429479	GZMA
Cellular Defense Response (GO:0006968)	1/48	0.0284303992895408	0.0545680244428282	0	0	38.5705996131528	137.322763429479	GNLY
Receptor Internalization (GO:0031623)	1/51	0.0301824596395909	0.0570113126525606	0	0	36.2509090909091	126.896101729017	CXCL8
Cellular Response To Fibroblast Growth Factor Stimulus (GO:0044344)	1/55	0.0325140352140578	0.0604557842261386	0	0	33.5589225589226	114.975668512065	CXCL8
Positive Regulation Of Cellular Metabolic Process (GO:0031325)	1/56	0.0330961257367998	0.0605913686566028	0	0	32.9471074380165	112.294912887818	CXCL8
Regulation Of Calcium Ion Transport (GO:0051924)	1/57	0.0336778952288052	0.0607222656398155	0	0	32.3571428571429	109.720275278542	CCL4
Cellular Response To Type II Interferon (GO:0071346)	1/66	0.0388994008510199	0.0681138777796364	0	0	27.8643356643357	90.469268293855	CCL4
Regulation Of Viral Genome Replication (GO:0045069)	1/67	0.0394779688739909	0.0681138777796364	0	0	27.4407713498623	88.6889163609223	CXCL8
Negative Regulation Of Cellular Process (GO:0048523)	2/537	0.0397453380464665	0.0681138777796364	0	0	7.27214953271028	23.454592830183	CXCL8;HOPX
Response To Molecule Of Bacterial Origin (GO:0002237)	1/69	0.0406341472797855	0.0681138777796364	0	0	26.6310160427808	85.3030458253536	CXCL8
Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0008277)	1/70	0.0412117579843178	0.0681138777796364	0	0	26.2437417654809	83.6921237704326	CXCL8
Regulation Of Cellular Biosynthetic Process (GO:0031326)	1/70	0.0412117579843178	0.0681138777796364	0	0	26.2437417654809	83.6921237704326	CXCL8
Second-Messenger-Mediated Signaling (GO:0019932)	1/72	0.0423660231927322	0.0690624213689745	0	0	25.5019206145967	80.6219905809178	CXCL8
Embryonic Organ Development (GO:0048568)	1/77	0.0452461158046591	0.0727606456858706	0	0	23.8181818181818	73.7324794714548	CXCL8
Response To Type II Interferon (GO:0034341)	1/80	0.0469703580455903	0.0745263014323367	0	0	22.9102416570771	70.0649843655932	CCL4
Calcium-Mediated Signaling (GO:0019722)	1/85	0.0498377533507968	0.0779068003491229	0	0	21.5411255411255	64.6014581565574	CXCL8
Negative Regulation Of Binding (GO:0051100)	1/86	0.0504102825788442	0.0779068003491229	0	0	21.2866310160428	63.59508959961	GZMA
Positive Regulation Of Vasculature Development (GO:1904018)	1/104	0.0606618849615518	0.0925482603900598	0	0	17.5507502206531	49.1849192357055	CXCL8
Negative Regulation Of Developmental Process (GO:0051093)	1/109	0.0634914927174997	0.0956390839668667	0	0	16.7340067340067	46.1331356714034	HOPX
Response To Endoplasmic Reticulum Stress (GO:0034976)	1/114	0.066313285228921	0.09864101177802	0	0	15.9895414320193	43.3854624288616	CXCL8
Protein Maturation (GO:0051604)	1/117	0.0680026175749909	0.0986867255051697	0	0	15.5736677115987	41.8652749636352	GZMA
Cellular Response To Molecule Of Bacterial Origin (GO:0071219)	1/117	0.0680026175749909	0.0986867255051697	0	0	15.5736677115987	41.8652749636352	CXCL8
Positive Regulation Of Angiogenesis (GO:0045766)	1/119	0.0691272821079329	0.0991101996487231	0	0	15.3081664098613	40.9004478848911	CXCL8
Receptor-Mediated Endocytosis (GO:0006898)	1/122	0.0708119464809891	0.100316924181401	0	0	14.9263711495116	39.5209642172213	CXCL8
Cellular Response To Lipopolysaccharide (GO:0071222)	1/124	0.0719335029363573	0.1007069041109	0	0	14.6821877309682	38.6437112821616	CXCL8
Regulation Of Cell Population Proliferation (GO:0042127)	2/766	0.0749931455500251	0.103769585121546	0	0	5.03246073298429	13.0358777490676	CXCL8;MATK
Regulation Of Cell Adhesion (GO:0030155)	1/144	0.0830810156048701	0.113639550080225	0	0	12.6160203432931	31.3878897386795	CXCL8
Cellular Response To Growth Factor Stimulus (GO:0071363)	1/155	0.0891596984900511	0.120568228639956	0	0	11.7083825265643	28.3029792807582	CXCL8
Response To Lipopolysaccharide (GO:0032496)	1/159	0.0913609541624559	0.122156781408228	0	0	11.409666283084	27.3026136235489	CXCL8
Positive Regulation Of Cellular Biosynthetic Process (GO:0031328)	1/174	0.0995723031583272	0.131634916757548	0	0	10.4125065685759	24.0203118748315	CXCL8
Positive Regulation Of Hydrolase Activity (GO:0051345)	1/176	0.100661995167537	0.131634916757548	0	0	10.2924675324675	23.6313712096099	CCL4
Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374)	1/179	0.102294266791072	0.132315410305843	0	0	10.1174668028601	23.0668292646729	CCL4
Negative Regulation Of Macromolecule Metabolic Process (GO:0010605)	1/186	0.106092345299927	0.135752570867649	0	0	9.73120393120393	21.8314245212865	CXCL8
Regulation Of Cell Differentiation (GO:0045595)	1/193	0.109875688607653	0.139097946216071	0	0	9.37310606060606	20.6996204367031	HOPX
Defense Response To Bacterium (GO:0042742)	1/204	0.115791296258587	0.144024813537484	0	0	8.8602776533811	19.102456294823	GNLY
Regulation Of Angiogenesis (GO:0045765)	1/205	0.116327287774625	0.144024813537484	0	0	8.81639928698752	18.9671395732313	CXCL8
Negative Regulation Of Cell Differentiation (GO:0045596)	1/207	0.11739837742131	0.144024813537484	0	0	8.72992056487202	18.7010803771127	HOPX
Regulation Of GTPase Activity (GO:0043087)	1/214	0.121137826387134	0.14709593204152	0	0	8.4400341442595	17.8154462182338	CCL4
Cellular Response To Lipid (GO:0071396)	1/228	0.128573190887015	0.154547572884392	0	0	7.91389667601121	16.2334356208336	CXCL8
Positive Regulation Of GTPase Activity (GO:0043547)	1/234	0.131742087609837	0.156773084255706	0	0	7.70776433866563	15.6229380598953	CCL4
Regulation Of ERK1 And ERK2 Cascade (GO:0070372)	1/244	0.137000117089388	0.160445030014984	0	0	7.38683127572016	14.6833474476737	CCL4
Positive Regulation Of Programmed Cell Death (GO:0043068)	1/245	0.137524311441415	0.160445030014984	0	0	7.35618479880775	14.5943364274497	GZMA
Negative Regulation Of Signal Transduction (GO:0009968)	1/267	0.148983002198064	0.172125992830773	0	0	6.74025974025974	12.8329359414571	CXCL8
Positive Regulation Of Apoptotic Process (GO:0043065)	1/270	0.150534691880411	0.17224642628624	0	0	6.66407570125042	12.6188385839175	GZMA
Gene Expression (GO:0010467)	1/296	0.16387443581628	0.185724360591784	0	0	6.06872110939908	10.9762214410164	GZMA
Positive Regulation Of MAPK Cascade (GO:0043410)	1/310	0.170977571612647	0.191946519074575	0	0	5.78964401294498	10.2258017878038	CCL4
Protein-Containing Complex Assembly (GO:0065003)	1/328	0.18002889355399	0.200219049840418	0	0	5.46594384209063	9.37211458695922	HOPX
Negative Regulation Of Gene Expression (GO:0010629)	1/336	0.184022550027216	0.202765587529988	0	0	5.33324287652646	9.02756408076523	CXCL8
Positive Regulation Of Macromolecule Metabolic Process (GO:0010604)	1/364	0.197860353336643	0.21601267933083	0	0	4.91485098923115	7.96301101858576	CXCL8
Negative Regulation Of Cell Population Proliferation (GO:0008285)	1/379	0.205184654222704	0.221972489568198	0	0	4.71620971620972	7.46974495617517	CXCL8
Cellular Response To Oxygen-Containing Compound (GO:1901701)	1/406	0.218214104556377	0.233941247227107	0	0	4.39573512906846	6.69153337396173	CXCL8
Positive Regulation Of Gene Expression (GO:0010628)	1/480	0.25292737020825	0.267807277830225	0	0	3.7026001138736	5.08979000534447	CXCL8
Positive Regulation Of Cell Population Proliferation (GO:0008284)	1/483	0.254304389872399	0.267807277830225	0	0	3.6789890607318	5.03735770475188	MATK
Positive Regulation Of Intracellular Signal Transduction (GO:1902533)	1/525	0.273339950041849	0.28532854434193	0	0	3.37682165163081	4.37986944647123	CCL4
Positive Regulation Of Cellular Process (GO:0048522)	1/594	0.303648036899788	0.314209707748476	0	0	2.97332515713629	3.54386469266813	MATK
Regulation Of Apoptotic Process (GO:0042981)	1/705	0.349981945375635	0.359033202583626	0	0	2.49018595041322	2.61438076352122	GZMA
Regulation Of Gene Expression (GO:0010468)	1/1127	0.501521667267472	0.510094687220762	0	0	1.52284837720006	1.05093055996643	CXCL8
Regulation Of DNA-templated Transcription (GO:0006355)	1/1922	0.702632530839071	0.708587043812283	0	0	0.854999763380815	0.301747576323443	HOPX
Regulation Of Transcription By RNA Polymerase II (GO:0006357)	1/2028	0.722899972673896	0.722899972673896	0	0	0.805534376821994	0.261383352456551	HOPX
