Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Defense Response To Symbiont (GO:0140546)	21/148	5.15073045058818e-25	4.3575179611976e-22	0	0	41.3867238114223	2314.57275837052	IFITM3;RTP4;GBP5;RSAD2;STAT1;STAT2;MX1;IFI6;ISG15;DDX60;IFIT3;IFI44L;IFIT2;PLSCR1;AIM2;OAS1;OAS2;OAS3;IRF1;IRF7;GBP2
Defense Response To Virus (GO:0051607)	22/189	3.1966031780806e-24	1.35216314432809e-21	0	0	33.3276523875326	1803.02444418634	IFITM3;RTP4;GBP5;RSAD2;STAT1;STAT2;MX1;IFI6;ISG15;DDX60;IFIT3;IFI44L;PML;IFIT2;PLSCR1;AIM2;OAS1;OAS2;OAS3;IRF1;IRF7;GBP2
Negative Regulation Of Viral Process (GO:0048525)	9/61	1.89141045234342e-11	5.33377747560844e-09	0	0	37.7497886728656	932.084305439462	IFITM3;PLSCR1;RSAD2;OAS1;OAS2;STAT1;OAS3;MX1;ISG15
Negative Regulation Of Viral Genome Replication (GO:0045071)	8/53	2.16272422563091e-10	4.57416173720937e-08	0	0	38.3671497584541	853.841054715191	IFITM3;PLSCR1;RSAD2;OAS1;OAS2;OAS3;MX1;ISG15
Regulation Of Viral Genome Replication (GO:0045069)	8/67	1.50286071696838e-09	2.54284033311051e-07	0	0	29.2424465733235	594.086485837885	IFITM3;PLSCR1;RSAD2;OAS1;OAS2;OAS3;MX1;ISG15
Interleukin-27-Mediated Signaling Pathway (GO:0070106)	4/5	2.92996253877468e-09	4.1312471796723e-07	0	0	829.125	16290.8770038278	OAS1;OAS2;STAT1;MX1
Response To Interferon-Beta (GO:0035456)	6/29	5.80891121708647e-09	7.02048412807879e-07	0	0	55.1628122109158	1046.1005475343	IFITM3;PLSCR1;AIM2;OAS1;STAT1;IRF1
Defense Response To Protozoan (GO:0042832)	5/15	8.15137334450222e-09	8.6200773118111e-07	0	0	104.684210526316	1949.75173458708	GBP6;BATF2;GBP2;GBP1;GBP4
Positive Regulation Of Interferon-Beta Production (GO:0032728)	6/36	2.31565332409338e-08	2.17671412464777e-06	0	0	42.2765957446809	743.264359789763	OAS1;OAS2;IRF1;OAS3;IRF7;ISG15
Positive Regulation Of Type I Interferon Production (GO:0032481)	7/64	3.10656525794278e-08	2.62815420821959e-06	0	0	26.2027919260517	452.97193630569	OAS1;OAS2;STAT1;IRF1;OAS3;IRF7;ISG15
Cellular Response To Type II Interferon (GO:0071346)	7/66	3.8629695381295e-08	2.9709747538705e-06	0	0	25.3120102059413	432.056892152186	GBP6;GBP5;STAT1;IRF1;GBP2;GBP1;GBP4
Cellular Response To Cytokine Stimulus (GO:0071345)	12/308	4.50451558588053e-08	3.17568348804578e-06	0	0	9.03132678132678	152.770314795348	GBP6;GBP5;MT2A;SBNO2;SOCS1;AIM2;OAS1;STAT1;IRF1;GBP2;GBP1;GBP4
Defense Response To Bacterium (GO:0042742)	10/204	7.62110088607388e-08	4.959577961245e-06	0	0	11.2863688430699	184.980875609997	GBP6;RNF213;OAS1;OAS2;OAS3;ISG15;NOD2;GBP2;GBP1;GBP4
Response To Type II Interferon (GO:0034341)	7/80	1.48842648720326e-07	8.99434862981397e-06	0	0	20.4432169686257	321.375060214889	IFITM3;GBP6;GBP5;STAT1;GBP2;GBP1;GBP4
Regulation Of Interferon-Beta Production (GO:0032648)	6/50	1.78556014474931e-07	1.00705592163861e-05	0	0	28.8046421663443	447.576999845083	OAS1;OAS2;IRF1;OAS3;IRF7;ISG15
Response To Cytokine (GO:0034097)	8/125	2.13721874347438e-07	1.13005441061208e-05	0	0	14.7030843552583	225.818649049689	IFITM3;CD274;PLSCR1;STAT1;LAMP3;MX1;ISG15;PML
Negative Regulation Of Type I Interferon-Mediated Signaling Pathway (GO:0060339)	4/15	7.69771717642429e-07	3.83074631250291e-05	0	0	75.3371212121212	1060.53360098149	OAS1;STAT2;OAS3;ISG15
Regulation Of Ribonuclease Activity (GO:0060700)	3/5	1.20401649980001e-06	5.65887754906006e-05	0	0	307.701030927835	4193.91812929884	OAS1;OAS2;OAS3
Myeloid Leukocyte Differentiation (GO:0002573)	6/71	1.47877845473108e-06	6.58445564580262e-05	0	0	19.4779050736498	261.477127707438	BATF2;SBNO2;SOCS1;MAPK14;MMP9;OSCAR
Regulation Of Nuclease Activity (GO:0032069)	3/6	2.39929677805722e-06	0.00010149025371182	0	0	205.123711340206	2654.36951507101	OAS1;OAS2;OAS3
Cellular Response To Interferon-Beta (GO:0035458)	4/22	4.01581434035079e-06	0.000161779949139846	0	0	46.0231481481481	571.850060705401	AIM2;OAS1;STAT1;IRF1
Interferon-Mediated Signaling Pathway (GO:0140888)	5/49	4.5245234915833e-06	0.000173988494267249	0	0	23.7511961722488	292.282179530666	IFITM3;OAS2;STAT1;IRF1;STAT2
Negative Regulation Of Innate Immune Response (GO:0045824)	5/52	6.09393663324179e-06	0.000224150886596633	0	0	22.2318029115342	266.964297559899	OAS1;OAS3;STAT2;SERPING1;ISG15
Negative Regulation Of Cytokine-Mediated Signaling Pathway (GO:0001960)	5/59	1.14185144773996e-05	0.000402502635328337	0	0	19.3430799220273	220.129558085278	OAS1;OAS3;STAT2;ISG15;PARP14
Apoptotic Process (GO:0006915)	8/228	1.90717787231786e-05	0.000632468453134093	0	0	7.77865612648221	84.5329964855468	PLSCR1;CASP5;IRF1;MX1;KREMEN1;IFI6;SEPTIN4;IFIT2
Macrophage Activation Involved In Immune Response (GO:0002281)	3/11	1.943756475353e-05	0.000632468453134093	0	0	76.9020618556701	834.256871154208	SBNO2;DYSF;IFI35
Regulation Of Type I Interferon-Mediated Signaling Pathway (GO:0060338)	4/33	2.15362677384751e-05	0.000674803055805552	0	0	28.5502873563218	306.794883388829	OAS1;STAT2;OAS3;ISG15
Cellular Response To Molecule Of Bacterial Origin (GO:0071219)	6/117	2.68393288244994e-05	0.00081093114948309	0	0	11.3795284646348	119.776845623302	CD274;SBNO2;PDCD1LG2;NOD2;GBP2;MAPK14
Regulation Of ERBB Signaling Pathway (GO:1901184)	3/13	3.34476846171919e-05	0.000965307569490127	0	0	61.5154639175258	633.949335404614	CEACAM1;RHBDF2;IFI6
Type I Interferon-Mediated Signaling Pathway (GO:0060337)	4/37	3.42307648755364e-05	0.000965307569490127	0	0	25.084595959596	257.929492302622	IFITM3;STAT1;OAS2;STAT2
Cellular Response To Lipopolysaccharide (GO:0071222)	6/124	3.72578730048185e-05	0.000977042909879501	0	0	10.700685178507	109.121813100856	CD274;SBNO2;PDCD1LG2;NOD2;GBP2;MAPK14
Cellular Response To Type I Interferon (GO:0071357)	4/38	3.81116028676401e-05	0.000977042909879501	0	0	24.3455882352941	247.716160294751	IFITM3;STAT1;OAS2;STAT2
Response To Peptide (GO:1901652)	4/38	3.81116028676401e-05	0.000977042909879501	0	0	24.3455882352941	247.716160294751	STAT1;STAT2;NOD2;MMP9
Regulation Of Immune Response (GO:0050776)	5/77	4.19721730027379e-05	0.00104436642236224	0	0	14.4941520467836	146.079365130669	PLSCR1;RSAD2;IRF1;IRF7;FCGR1A
