Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Interleukin-10 Signaling R-HSA-6783783	2/45	0.000322055925247474	0.0102324485597451	0	0	92.7674418604651	745.923087153925	CXCL8;CCL4
Chemokine Receptors Bind Chemokines R-HSA-380108	2/56	0.000499143832182688	0.0102324485597451	0	0	73.8296296296296	561.298342906039	CXCL8;CCL4
Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933	2/123	0.0023781881733006	0.0243764287763311	0	0	32.8380165289256	198.388130055823	KLRB1;KLRF1
Regulation Of IGF Transport And Uptake By IGFBPs R-HSA-381426	2/123	0.0023781881733006	0.0243764287763311	0	0	32.8380165289256	198.388130055823	PRSS23;GZMH
Immune System R-HSA-168256	5/1943	0.00380116482553066	0.0311695515693514	0	0	6.65266106442577	37.0716060215526	CXCL8;KLRB1;GNLY;CCL4;KLRF1
Peptide Ligand-Binding Receptors R-HSA-375276	2/196	0.0059116845123651	0.0350555477159998	0	0	20.4061855670103	104.700556056877	CXCL8;CCL4
FGFR2b Ligand Binding And Activation R-HSA-190377	1/10	0.00598509351248777	0.0350555477159998	0	0	201.808080808081	1032.95129457314	FGFBP2
Metabolism Of Angiotensinogen To Angiotensins R-HSA-2022377	1/18	0.0107495345067082	0.0543813546837453	0	0	106.79679144385	484.098409887525	GZMH
FGFR2 Ligand Binding And Activation R-HSA-190241	1/20	0.0119373705403343	0.0543813546837453	0	0	95.5454545454545	423.083051849273	FGFBP2
G Alpha (I) Signaling Events R-HSA-418594	2/312	0.0144398163834536	0.0544558036785632	0	0	12.6954838709677	53.8004881426666	CXCL8;CCL4
Class A/1 (Rhodopsin-like Receptors) R-HSA-373076	2/327	0.0157849723637943	0.0544558036785632	0	0	12.1003076923077	50.2005091060553	CXCL8;CCL4
ATF4 Activates Genes In Response To Endoplasmic Reticulum Stress R-HSA-380994	1/27	0.0160845107297618	0.0544558036785632	0	0	69.7972027972028	288.255365687391	CXCL8
Downregulation Of ERBB2 Signaling R-HSA-8863795	1/29	0.0172664743371054	0.0544558036785632	0	0	64.8051948051948	263.043544162992	MATK
PERK Regulates Gene Expression R-HSA-381042	1/32	0.0190369798873028	0.0557511553842439	0	0	58.524926686217	231.838998945413	CXCL8
Signaling By ERBB2 R-HSA-1227986	1/49	0.0290147415071519	0.0715597132754024	0	0	37.7651515151515	133.686795324497	MATK
Signaling By Interleukins R-HSA-449147	2/453	0.0290743943264985	0.0715597132754024	0	0	8.66385809312639	30.6518411274541	CXCL8;CCL4
GPCR Ligand Binding R-HSA-500792	2/458	0.0296711006263864	0.0715597132754024	0	0	8.56666666666667	30.1339503230266	CXCL8;CCL4
Signaling By Receptor Tyrosine Kinases R-HSA-9006934	2/496	0.0343678281569651	0.0782822752464205	0	0	7.89230769230769	26.602083646782	FGFBP2;MATK
