Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Interferon Signaling R-HSA-913531	26/200	6.95138416019253e-30	2.34956784614507e-27	0	0	39.8319353836595	2674.26085454759	IFITM3;IFI6;UBE2L6;IFI35;IFIT3;IFIT2;MT2A;SOCS1;FCGR1A;GBP2;GBP1;TRIM22;GBP4;GBP6;GBP5;RSAD2;STAT1;STAT2;MX1;ISG15;PML;OAS1;OAS2;OAS3;IRF1;IRF7
Interferon Alpha/Beta Signaling R-HSA-909733	17/72	1.98151533157692e-24	3.348760910365e-22	0	0	73.9025191675794	4033.46502025151	IFITM3;RSAD2;STAT1;STAT2;MX1;IFI6;ISG15;IFI35;IFIT3;IFIT2;SOCS1;OAS1;OAS2;IRF1;OAS3;IRF7;GBP2
Cytokine Signaling In Immune System R-HSA-1280215	31/702	2.82957323795488e-21	3.18798584809583e-19	0	0	12.8749865007884	609.169184839344	IFITM3;IFI6;UBE2L6;IFI35;NOD2;IFIT3;IFIT2;LMNB1;MT2A;SOCS1;TIFA;FCGR1A;GBP2;GBP1;TRIM22;GBP4;GBP6;GBP5;RSAD2;STAT1;STAT2;MX1;ISG15;MAPK14;MMP9;PML;OAS1;OAS2;OAS3;IRF1;IRF7
Interferon Gamma Signaling R-HSA-877300	16/89	5.70462404625717e-21	4.82040731908731e-19	0	0	51.73385518591	2411.47070243139	GBP6;GBP5;STAT1;PML;MT2A;SOCS1;OAS1;OAS2;IRF1;OAS3;IRF7;FCGR1A;GBP2;GBP1;TRIM22;GBP4
Immune System R-HSA-168256	45/1943	4.88612993930236e-20	3.30302383896839e-18	0	0	7.76022607529457	345.060790541247	IFITM3;C1QB;CD274;IFI6;UBE2L6;IFI35;GPR84;NOD2;IFIT3;IFIT2;LMNB1;LILRA5;MT2A;SOCS1;RNF213;TIFA;FBXO6;FCGR1A;GBP2;GBP1;TRIM22;GBP4;GBP6;GBP5;RSAD2;STAT1;STAT2;MX1;CYBB;ISG15;PDCD1LG2;MAPK14;MMP9;PML;OSCAR;CEACAM1;AIM2;OAS1;OAS2;OAS3;IRF1;IRF7;SERPING1;SIGLEC1;C1QC
Antiviral Mechanism By IFN-stimulated Genes R-HSA-1169410	7/83	1.92173948966784e-07	1.08257991251288e-05	0	0	19.6332767402377	303.625972152888	OAS1;OAS2;STAT1;OAS3;MX1;UBE2L6;ISG15
OAS Antiviral Response R-HSA-8983711	3/9	9.96771633068282e-06	0.000481298302824399	0	0	102.546391752577	1180.94055786943	OAS1;OAS2;OAS3
Innate Immune System R-HSA-168249	17/1035	1.37215827877163e-05	0.000579736872781012	0	0	3.7990153146969	42.5358291304266	C1QB;CYBB;UBE2L6;ISG15;GPR84;NOD2;MAPK14;MMP9;OSCAR;CEACAM1;SOCS1;AIM2;TIFA;IRF7;SERPING1;FCGR1A;C1QC
Regulation Of IFNA/IFNB Signaling R-HSA-912694	3/25	0.000257514521493891	0.00967110091832614	0	0	27.9447047797563	230.947180745545	SOCS1;STAT1;STAT2
SARS-CoV-2 Activates/Modulates Innate And Adaptive Immune Responses R-HSA-9705671	5/121	0.000355109907090152	0.011259461163672	0	0	8.97640653357532	71.3003441034697	STAT1;STAT2;IRF7;ISG15;NOD2
