weights	features	abs_weight
-0.634888668797134	UNKNOWN41/	0.634888668797134
-0.635872832067806	HMDB0007980_1/	0.635872832067806
-0.64607134906194	HMDB0008181_6/	0.64607134906194
-0.650973023201499	HMDB0002725/	0.650973023201499
-0.654918897761611	HMDB0008632_3/	0.654918897761611
-0.673065017184726	UNKNOWN92/	0.673065017184726
-0.67370243542278	HMDB0010384/	0.67370243542278
-0.692233846528219	HMDB0007980_7/	0.692233846528219
-0.713117826968897	HMDB0008494/	0.713117826968897
-0.726494912934831	UNKNOWN42/	0.726494912934831
-0.730024946937171	HMDB0000214_1/	0.730024946937171
-0.735725917762078	UNKNOWN82/	0.735725917762078
-0.749294163643901	HMDB0007957/	0.749294163643901
-0.80763368760414	HMDB0011523/	0.80763368760414
-0.820187920598796	UNKNOWN43/	0.820187920598796
-0.827135844949117	UNKNOWN85/	0.827135844949117
-0.829704135670921	HMDB0000673_1/	0.829704135670921
-0.847986610589595	HMDB0007972_4/	0.847986610589595
-0.861525312780714	HMDB0008098/	0.861525312780714
-0.872717476745051	HMDB0002641_1/	0.872717476745051
-0.893069845567786	HMDB0008138_2/	0.893069845567786
-0.937764642198372	UNKNOWN76/	0.937764642198372
-0.956786146421503	HMDB0011718/	0.956786146421503
-0.99108418614518	UNKNOWN79/	0.99108418614518
-1	HMDB0008902/	1
