Numeric_clinical_feature	p.value	Correlation(R)	p.adj
D_078_1.5_PF_477736	2.79212010389886e-29	0.7288928577515	1.25086980654669e-26
D_078_3_PF_477736	2.05051912074687e-27	0.711809659742611	4.59316283047299e-25
D_078_4_PF_477736	9.95730330959091e-24	0.673970567753455	1.48695729423224e-21
D_050_2_dasatinib	3.91571330503929e-21	0.643484437099322	4.36632493921761e-19
D_078_4.5_PF_477736	4.87313051251965e-21	0.642298927022988	4.36632493921761e-19
D_078_2_PF_477736	1.61286457661347e-19	0.622596919350848	1.20427221720472e-17
D_050_1.5_dasatinib	4.18979535319084e-19	0.616969182528835	2.68146902604214e-17
D_017_1_AT13387	5.76752723590266e-19	0.615059590328573	2.87094689076044e-17
D_020_2_AZD7762	5.58165494596166e-19	0.615255921489848	2.87094689076044e-17
D_077_2_SCH_900776	2.92334930174193e-18	0.605156947104078	1.30966048718038e-16
D_017_2_AT13387	4.40215532713863e-18	0.602603832290806	1.64347132213176e-16
D_050_3_dasatinib	4.12400701477593e-18	0.60301243453432	1.64347132213176e-16
D_020_1.5_AZD7762	4.87017964217026e-18	0.601970160436989	1.67833883053252e-16
D_017_3_AT13387	2.00761259995376e-17	0.592936314009661	6.42436031985203e-16
D_015_1.5_MK_1775	1.93731103751236e-16	0.577864088231807	5.78610229870358e-15
D_020_3_AZD7762	3.33710835042021e-16	0.574129917297933	9.34390338117659e-15
D_020_4_AZD7762	4.22791623562043e-16	0.572490300349374	1.1141802785635e-14
D_166_1.5_PRT062607_HCl	7.19431904926602e-16	0.568772989501045	1.79058607448399e-14
D_164_1.5_BX912	7.78075378737929e-16	0.568221039894917	1.83461984039259e-14
D_017_1.5_AT13387	8.84655774257728e-16	0.56731458325184	1.98162893433731e-14
D_024_3_SGI_1776	1.60353327289859e-15	0.563078412033041	3.42087098218366e-14
D_083_1.5_encorafenib	1.71870943814372e-15	0.562580415272203	3.49991740131085e-14
D_083_2_encorafenib	2.00741565294968e-15	0.561462599788397	3.91009657618025e-14
D_163_3_CCT241533	2.3161840553259e-15	0.560428895564444	4.32354356994168e-14
D_015_2_MK_1775	3.77548203008685e-15	0.556871443866496	6.76566379791563e-14
D_164_3_BX912	4.02487063905788e-15	0.556402576804805	6.9351617165305e-14
D_036_3_tamatinib	5.8025706290374e-15	0.553706959436012	9.52778123174818e-14
D_050_1_dasatinib	5.95486326984261e-15	0.553515127533235	9.52778123174818e-14
D_036_1.5_tamatinib	8.10689453164501e-15	0.551221283377113	1.25237543109551e-13
D_020_4.5_AZD7762	1.17282516128675e-14	0.548452279617023	1.69492152340795e-13
D_168_1_sotrastaurin	1.17167147250792e-14	0.548459693176216	1.69492152340795e-13
D_050_4_dasatinib	3.50425252853782e-14	0.540092137574418	4.90595353995295e-13
D_164_2_BX912	5.31939580724851e-14	0.536842281279829	7.22148279287071e-13
D_029_1.5_TAE684	1.45874215569764e-13	0.528840643091986	1.86718995929298e-12
D_167_2_UCN_01	1.43046586458067e-13	0.528997924498446	1.86718995929298e-12
D_050_4.5_dasatinib	1.65081865847835e-13	0.527844846888625	2.05435210832861e-12
D_036_1_tamatinib	1.98419280381546e-13	0.526358022526198	2.40248209759277e-12
D_036_4_tamatinib	6.45609531916993e-13	0.51664523893301	7.61139658681086e-12
D_083_3_encorafenib	7.44255853011229e-13	0.515453558547183	8.54940056792386e-12
D_036_2_tamatinib	8.77131496732052e-13	0.514071015203361	9.82387276339898e-12
D_036_4.5_tamatinib	1.2724548969321e-12	0.510916566373583	1.38795672727482e-11
D_053_2_sunitinib	1.30120943182014e-12	0.51072606501632	1.38795672727482e-11
D_035_3_saracatinib	1.38746564490404e-12	0.510178231119317	1.44554560213258e-11
D_029_2_TAE684	2.67807683599969e-12	0.504508250581728	2.72676914210878e-11
D_050_5_dasatinib	3.10222123722572e-12	0.503226225464559	3.08843358728249e-11
D_035_2_saracatinib	7.42023473107029e-12	0.495509767142328	7.22666339025976e-11
D_015_1_MK_1775	3.10548887845552e-11	0.482409207250634	2.95424687168661e-10
D_045_2_KU_60019	3.16526450537851e-11	0.482230929854176	2.95424687168661e-10
D_166_3_PRT062607_HCl	4.44333077975686e-11	0.479042144397938	4.0624738557777e-10
D_163_1.5_CCT241533	5.48275073161265e-11	0.47704923448715	4.91254465552493e-10
D_034_1_chaetocin	8.83531870577404e-11	0.472477212424046	7.76122113762112e-10
D_079_3_spebrutinib	1.11354575230573e-10	0.470235617466542	9.59362494294167e-10
D_166_5_PRT062607_HCl	1.19957881560324e-10	0.469511156751195	1.01398360262312e-09
D_030_1.5_MK_2206	1.31385878689906e-10	0.468623018066825	1.0900161787607e-09
D_166_4.5_PRT062607_HCl	1.52014532847386e-10	0.467194310488319	1.23822746755689e-09
D_077_1.5_SCH_900776	1.64922275341752e-10	0.46639302640622	1.31937820273402e-09
D_030_3_MK_2206	1.84328552757205e-10	0.465295910620257	1.44875774798645e-09
D_020_5_AZD7762	2.10658846571967e-10	0.463973964300456	1.6271579873145e-09
D_015_3_MK_1775	2.18455468241062e-10	0.463613170783207	1.6587805046101e-09
D_029_3_TAE684	3.07934945172971e-10	0.46018402736718	2.29924759062485e-09
D_172_2_BIX02188	3.21323493777294e-10	0.459756256085945	2.35988401987259e-09
D_084_1_ruxolitinib	5.11700963884245e-10	0.455040604079567	3.69745212613132e-09
D_166_2_PRT062607_HCl	5.70205301155634e-10	0.45393306606396	4.05479325266229e-09
D_079_2_spebrutinib	6.06436578670177e-10	0.453301041289122	4.24505605069124e-09
D_002_4_ibrutinib	6.95749341889096e-10	0.451886823222099	4.79531854102023e-09
D_079_1.5_spebrutinib	7.17469304135449e-10	0.451569506282843	4.87009467049517e-09
D_029_4_TAE684	7.38656805736752e-10	0.451268791585751	4.93907834283679e-09
D_166_4_PRT062607_HCl	8.12358597555409e-10	0.450284021726647	5.27444422760613e-09
D_167_1.5_UCN_01	8.08785272233839e-10	0.450329736528493	5.27444422760613e-09
D_078_5_PF_477736	9.31572937516887e-10	0.448860666550517	5.96206680010808e-09
D_024_1.5_SGI_1776	9.66700155203278e-10	0.448474795749387	6.09974182438125e-09
D_002_3_ibrutinib	2.47215381946224e-09	0.438521435390134	1.53822904322095e-08
D_002_4.5_ibrutinib	2.95307701622767e-09	0.436600457960818	1.81229931954794e-08
D_035_1.5_saracatinib	3.20080222705745e-09	0.435725982356723	1.93778296989424e-08
D_084_1.5_ruxolitinib	3.93859203535569e-09	0.43346277122249	2.35265230911913e-08
D_036_5_tamatinib	6.53993690873118e-09	0.427858645689058	3.85512070409417e-08
D_053_1.5_sunitinib	7.84589530789822e-09	0.425821469553115	4.56488454277715e-08
D_168_1.5_sotrastaurin	8.44461888817396e-09	0.42499477101728	4.85024264346402e-08
D_075_2_rabusertib	8.84080421240671e-09	0.424478231721263	5.01351935083317e-08
D_030_2_MK_2206	1.11301744512888e-08	0.421870603249259	6.23289769272173e-08
D_029_4.5_TAE684	1.7146658257254e-08	0.416916557701006	9.48358382623431e-08
D_033_1_tipifarnib	3.91427312029856e-08	0.407225417125674	2.13852970474848e-07
D_017_4_AT13387	4.44474888232991e-08	0.405705513086087	2.39909337263108e-07
D_082_5_duvelisib	4.58715404358269e-08	0.40532719514832	2.44648215657743e-07
D_002_5_ibrutinib	5.19330856921978e-08	0.403833751193206	2.73717910471819e-07
D_024_4_SGI_1776	8.02432743367452e-08	0.398539402773348	4.18011475614673e-07
D_162_1_BML_277	9.96961101722819e-08	-0.395863283475277	5.1337767077221e-07
D_015_4_MK_1775	1.08856033323783e-07	0.394772839624055	5.5417616964835e-07
D_082_4.5_duvelisib	1.32643575524797e-07	0.392306576342678	6.67689009383248e-07
D_034_2_chaetocin	1.37030417634066e-07	0.391898622749548	6.82106967778462e-07
D_003_1.5_idelalisib	1.40583185306934e-07	0.39157730629084	6.92101835357214e-07
D_003_3_idelalisib	1.43531374786731e-07	0.39131652359483	6.98935390265821e-07
D_003_4.5_idelalisib	1.80281420340451e-07	0.388437165658216	8.68452433467979e-07
D_030_4_MK_2206	1.92380270547089e-07	0.387611687851814	9.16876183032935e-07
D_002_1.5_ibrutinib	2.67624746811447e-07	0.383381157929841	1.26206196391082e-06
D_079_1_spebrutinib	3.12424444951576e-07	0.381376948346867	1.45798074310735e-06
D_003_4_idelalisib	3.29047132824646e-07	0.380702691220369	1.51972284026228e-06
D_003_5_idelalisib	3.39664548560155e-07	0.380288874273688	1.55275222198928e-06
D_056_5_actinomycin_D	3.45113519516907e-07	-0.380081279938054	1.56172582569267e-06
D_074_2_VE_821	4.68908407715419e-07	0.376054520644751	2.10070966656508e-06
D_084_2_ruxolitinib	6.43320915941303e-07	0.371842684036584	2.85354228061093e-06
D_017_4.5_AT13387	6.7104651278861e-07	0.371276183537859	2.94734154636566e-06
D_030_4.5_MK_2206	7.68201120725266e-07	0.369453537817454	3.34130196198951e-06
D_024_4.5_SGI_1776	7.94018211270738e-07	0.369006261894547	3.38781103475515e-06
D_083_1_encorafenib	7.86963719124678e-07	0.369127085238937	3.38781103475515e-06
D_056_4.5_actinomycin_D	1.00393715223699e-06	-0.365812608319468	4.24305513398275e-06
D_082_4_duvelisib	1.0403613269783e-06	0.365324385785653	4.35590536903064e-06
D_082_1.5_duvelisib	1.05271570116741e-06	0.365162487084464	4.36682068632407e-06
D_032_2_NU7441	1.09183814160541e-06	0.364661500941689	4.48755493063508e-06
D_045_1.5_KU_60019	1.466876809082e-06	0.360576005214669	5.97418918607942e-06
D_013_3_afatinib	1.67337160207357e-06	-0.358735301267482	6.75378808764828e-06
D_048_2_orlistat	1.96975112333032e-06	-0.356440233748111	7.87900449332128e-06
D_082_3_duvelisib	2.45491647606713e-06	0.353312534519789	9.73276620600066e-06
D_048_1_orlistat	2.49320915156692e-06	-0.353091413060677	9.79787456054369e-06
D_079_4_spebrutinib	2.54838061811249e-06	0.352778439665282	9.92760449490779e-06
D_003_2_idelalisib	2.68646916628913e-06	0.352022495483854	1.03753291939442e-05
D_039_1_thapsigargin	4.1015572352639e-06	-0.345889095113798	1.57051080461387e-05
D_164_4_BX912	5.37535629332038e-06	0.341899993598703	2.04081323678604e-05
D_003_1_idelalisib	5.62279548368047e-06	0.341230850263691	2.11681712326794e-05
D_012_4.5_selumetinib	5.80792427321106e-06	0.340748236496353	2.16829172866546e-05
D_077_3_SCH_900776	6.34959325422457e-06	0.339415632913977	2.35092378338232e-05
D_012_5_selumetinib	8.82139911291696e-06	0.334447979346645	3.23933344474328e-05
D_079_4.5_spebrutinib	9.86160050011976e-06	0.332744147891601	3.59186749923061e-05
D_012_4_selumetinib	1.20361639961276e-05	0.329672783834878	4.34854957279449e-05
D_015_4.5_MK_1775	1.76165907036389e-05	0.323707793156842	6.3092433930837e-05
D_082_2_duvelisib	1.77447470430479e-05	0.323593065545816	6.3092433930837e-05
D_048_1.5_orlistat	2.49379423744307e-05	-0.318153717407349	8.79700644389366e-05
D_063_1_everolimus	2.6243312676155e-05	-0.317329082488234	9.1139566503236e-05
D_074_1.5_VE_821	2.60482384237115e-05	0.31744982464103	9.1139566503236e-05
D_039_1.5_thapsigargin	2.82587151091037e-05	-0.316128874869099	9.73838797606035e-05
D_067_5_rotenone	3.36019606628449e-05	-0.313299423017732	0.000114043018007231
D_163_1_CCT241533	3.35203614083468e-05	0.313339345147337	0.000114043018007231
D_071_4.5_KX2_391	3.58321504614004e-05	0.312242203781771	0.000120697769975243
D_082_1_duvelisib	3.71078524385649e-05	0.311664977794651	0.000124062073824456
D_077_1_SCH_900776	4.31393655377779e-05	0.30916618659135	0.000143158783414256
D_032_1_NU7441	4.47219592888725e-05	0.3085650768328	0.000147319395304521
D_012_1.5_selumetinib	4.58243031046034e-05	0.308158079640654	0.000149848815991696
D_172_1.5_BIX02188	4.8033223009016e-05	0.307369491883076	0.000155933941362603
D_049_1_chaetoglobosin_A	5.14870097863824e-05	0.306202280009363	0.000165943743771938
D_159_3_doxorubicine	5.24569259570495e-05	-0.305887721628748	0.000167862163062558
D_012_3_selumetinib	5.4938714312214e-05	0.305107049144761	0.000174557049729588
D_165_1_silmitasertib	6.34041214500939e-05	0.302672664215297	0.000200035538096071
D_163_2_CCT241533	6.86099969040366e-05	0.301323006633352	0.000214946004286772
D_030_5_MK_2206	6.9860521533371e-05	0.301013134185563	0.000217343844770488
D_053_1_sunitinib	7.36961537416566e-05	0.300094114212065	0.000227695702594911
D_054_1.5_gefitinib	7.85768220572308e-05	0.298987446556923	0.000239472219602989
D_075_1.5_rabusertib	7.84763315733231e-05	0.299009574969868	0.000239472219602989
D_030_1_MK_2206	7.96586235646922e-05	0.298750893983055	0.000241128806466095
D_163_4.5_CCT241533	8.3140569328026e-05	0.298009431592193	0.000249979698382253
D_013_4_afatinib	8.41515201790109e-05	-0.297799601106051	0.000251332540267979
D_071_4_KX2_391	8.72630904520892e-05	0.297168270922739	0.000258899765049907
D_079_5_spebrutinib	0.000108063078275238	0.293421008278568	0.000318501704390175
D_045_3_KU_60019	0.00010978695805083	0.293141535780262	0.000321467694161907
D_163_4_CCT241533	0.000117145684430836	0.291992901309841	0.000338588816935578
D_167_3_UCN_01	0.000116755781195321	0.292052046780436	0.000338588816935578
D_054_2_gefitinib	0.000123933580380864	0.290991662398102	0.000355911820580943
D_074_1_VE_821	0.000139353811470628	0.28889516600397	0.000397646544833384
D_002_2_ibrutinib	0.000141410902464399	0.288632045102269	0.000400962558886397
