#PAIRS OMICS (TRASCRIPTOMICS-METHYLOMICS)#
IKBKG	ZDHHC9	FHL1	DLG3	VBP1	SMARCA1	TSPYL2	OTUD5	FAM120C	FGD1	KDM5C	UBA1	KDM6A	ZFX	TXLNG	SMC1A	USP9X	EIF1AX	EIF2S3	CDK16	Pubmed_ID	Keywords	DOI	tot_match	tot_word	Keywords_text_mined
0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	25649377		10.1038/ejhg.2015.5	4	4	autism center 2/development institute 2/human genetics 2/intellectual disability 2/neurodevelopmental disorders 2/pathogenic variants 2/seaver autism 2/seaver autism center 2
0	0	0	0	0	0	3	0	0	0	4	0	0	0	0	3	0	0	0	0	26059843		10.1038/ejhg.2015.123	10	3	autism center 2/development institute 2/human genetics 2/intellectual disability 2/neurodevelopmental disorders 2/pathogenic variants 2/seaver autism 2/seaver autism center 2
0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	27168161		10.1089/scd.2015.0384	4	2	autism center 2/development institute 2/human genetics 2/intellectual disability 2/neurodevelopmental disorders 2/pathogenic variants 2/seaver autism 2/seaver autism center 2
0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	36879111		10.1038/s41431-023-01324-w	2	2	autism center 2/development institute 2/human genetics 2/intellectual disability 2/neurodevelopmental disorders 2/pathogenic variants 2/seaver autism 2/seaver autism center 2
0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	29572065	Benign variation/Clinical genetics/Long contiguous stretches of homozygosity/Pericentromeric regions of homozygosity/Runs of homozygosity/SNP microarray/X chromosome	10.1016/j.ejmg.2018.02.008	2	2	autism center 2/development institute 2/human genetics 2/intellectual disability 2/neurodevelopmental disorders 2/pathogenic variants 2/seaver autism 2/seaver autism center 2
0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	26740508	Epilepsy/Intellectual disability/Rett syndrome/Whole exome sequencing	10.1136/jmedgenet-2015-103568	2	2	autism center 2/development institute 2/human genetics 2/intellectual disability 2/neurodevelopmental disorders 2/pathogenic variants 2/seaver autism 2/seaver autism center 2
#SINGLE OMICS (TRASCRIPTOMICS)#
KDM5C	UBA1	KDM6A	ZFX	TXLNG	SMC1A	USP9X	EIF1AX	EIF2S3	CDK16	Pubmed_ID	Keywords	DOI	tot_match	tot_word	Keywords_text_mined
1	0	1	0	0	1	0	0	0	0	38170291	Epigenetics/Genotypes/MDEMs/Phenotypes/Short stature	10.1007/s00431-023-05385-3	3	3	chromatin immunoprecipitation 3/blood samples 2/breast cancer 2/cancer genome 2/cancer genome atlas 2/colorectal cancer 2/disease pathogenesis 2/expression patterns 2/genome atlas 2/highly expressed 2
0	0	1	1	0	0	0	0	1	0	36978128	DNA methylation/Epigenetics/Genetics/RNA expression/Sex chromosome aneuploidies	10.1186/s13073-023-01169-4	3	3	chromatin immunoprecipitation 3/blood samples 2/breast cancer 2/cancer genome 2/cancer genome atlas 2/colorectal cancer 2/disease pathogenesis 2/expression patterns 2/genome atlas 2/highly expressed 2
0	3	0	0	0	0	0	0	0	3	38405903		10.1101/2024.02.13.580120	6	2	chromatin immunoprecipitation 3/blood samples 2/breast cancer 2/cancer genome 2/cancer genome atlas 2/colorectal cancer 2/disease pathogenesis 2/expression patterns 2/genome atlas 2/highly expressed 2
2	0	2	0	0	0	0	0	0	0	37657612	Experimental autoimmune encephalomyelitis/KDM5c/KDM6A/Multiple sclerosis/Sex differences/Th17 cell	10.1016/j.brainresbull.2023.110748	4	2	chromatin immunoprecipitation 3/blood samples 2/breast cancer 2/cancer genome 2/cancer genome atlas 2/colorectal cancer 2/disease pathogenesis 2/expression patterns 2/genome atlas 2/highly expressed 2
1	0	1	0	0	0	0	0	0	0	38030664		10.1038/s41598-023-47977-x	2	2	chromatin immunoprecipitation 3/blood samples 2/breast cancer 2/cancer genome 2/cancer genome atlas 2/colorectal cancer 2/disease pathogenesis 2/expression patterns 2/genome atlas 2/highly expressed 2
0	0	1	0	0	0	1	0	0	0	37768037	breast cancer stem cells/hypoxia/pluripotency factors/self-renewal/telomerase	10.1093/stcltm/szad061	2	2	chromatin immunoprecipitation 3/blood samples 2/breast cancer 2/cancer genome 2/cancer genome atlas 2/colorectal cancer 2/disease pathogenesis 2/expression patterns 2/genome atlas 2/highly expressed 2
0	1	0	0	0	0	1	0	0	0	37323201	Autism spectrum disorder/Chromosomal microarray analysis/Clinical exome sequencing/Intellectual disability/Whole-exome sequencing	10.1159/000529018	2	2	chromatin immunoprecipitation 3/blood samples 2/breast cancer 2/cancer genome 2/cancer genome atlas 2/colorectal cancer 2/disease pathogenesis 2/expression patterns 2/genome atlas 2/highly expressed 2
1	0	1	0	0	0	0	0	0	0	36849419	CRISPR/Egr3/Nab2/addiction/cocaine/drug	10.1523/JNEUROSCI.1802-22.2022	2	2	chromatin immunoprecipitation 3/blood samples 2/breast cancer 2/cancer genome 2/cancer genome atlas 2/colorectal cancer 2/disease pathogenesis 2/expression patterns 2/genome atlas 2/highly expressed 2
0	23	0	0	0	0	0	0	0	0	38091008		10.1182/bloodadvances.2023010531	23	1	chromatin immunoprecipitation 3/blood samples 2/breast cancer 2/cancer genome 2/cancer genome atlas 2/colorectal cancer 2/disease pathogenesis 2/expression patterns 2/genome atlas 2/highly expressed 2
0	0	15	0	0	0	0	0	0	0	38164755	ENaC/ERK/FGFR1/NCC/methylation/p-SPAK	10.1161/HYPERTENSIONAHA.123.22026	15	1	chromatin immunoprecipitation 3/blood samples 2/breast cancer 2/cancer genome 2/cancer genome atlas 2/colorectal cancer 2/disease pathogenesis 2/expression patterns 2/genome atlas 2/highly expressed 2
