Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
G Alpha (12/13) Signaling Events R-HSA-416482	5/78	0.000185008259900101	0.0875089069327478	0	0	10.4278187565859	89.6282501673545	ABR;TRIO;RASGRF2;GNG7;GNG12
RHOA GTPase Cycle R-HSA-8980692	6/147	0.000491134596007878	0.095611172628513	0	0	6.50634999175326	49.5705294879405	ABR;STARD13;TRIO;RASGRF2;MYO9B;DOCK2
ADP Signaling Thru P2Y Purinoceptor 1 R-HSA-418592	3/25	0.000620453353797927	0.095611172628513	0	0	20.4989669421488	151.386103497916	SRC;GNG7;GNG12
SUMOylation Of Intracellular Receptors R-HSA-4090294	3/29	0.000966472890538136	0.095611172628513	0	0	17.3417832167832	120.384184571333	HDAC4;RORA;NR3C1
Thrombin Signaling Thru Proteinase Activated Receptors (PARs) R-HSA-456926	3/32	0.00129267509458372	0.095611172628513	0	0	15.5454545454545	103.393463179199	SRC;GNG7;GNG12
Signal Amplification R-HSA-392518	3/33	0.00141496449978772	0.095611172628513	0	0	15.0265151515152	98.5837192013364	SRC;GNG7;GNG12
Striated Muscle Contraction R-HSA-390522	3/33	0.00141496449978772	0.095611172628513	0	0	15.0265151515152	98.5837192013364	TPM4;TNNI1;NEB
Death Receptor Signaling R-HSA-73887	5/139	0.0025404451558966	0.124057262806551	0	0	5.66331802525832	33.8406808868242	ABR;TRIO;RASGRF2;TNF;NFKB1
GPER1 Signaling R-HSA-9634597	3/43	0.00304713798865286	0.124057262806551	0	0	11.2642045454545	65.259760329116	SRC;GNG7;GNG12
RHO GTPase Cycle R-HSA-9012999	9/441	0.00307924691203006	0.124057262806551	0	0	3.21312830687831	18.5817466276798	ABR;STARD13;TRIO;TPM4;BASP1;SRC;RASGRF2;MYO9B;DOCK2
CDC42 GTPase Cycle R-HSA-9013148	5/149	0.00342556873112796	0.124057262806551	0	0	5.26736111111111	29.900110917752	ABR;STARD13;TRIO;RASGRF2;MYO9B
Interleukin-10 Signaling R-HSA-6783783	3/45	0.0034694942423741	0.124057262806551	0	0	10.7267316017316	60.7534879985531	CD80;PTAFR;TNF
Signal Transduction R-HSA-162582	28/2465	0.00374994433549437	0.124057262806551	0	0	1.87139849439521	10.4536587188354	HDAC4;TRIO;CTBP2;TNKS;SRC;CD80;RASGRF2;PTAFR;RORA;PLG;NR3C1;SHB;TNF;ABR;BASP1;GNG7;EPS15;STARD13;TPM4;TCF12;MYO9B;GNG12;NFKB1;EEPD1;GPR183;RAPGEF2;DOCK2;MAD1L1
DCC Mediated Attractive Signaling R-HSA-418885	2/14	0.00390250375922706	0.124057262806551	0	0	24.8784461152882	137.979269066728	TRIO;SRC
P75 NTR Receptor-Mediated Signaling R-HSA-193704	4/95	0.00393416266828385	0.124057262806551	0	0	6.63501384112071	36.745086244819	ABR;TRIO;RASGRF2;NFKB1
G Beta:Gamma Signaling Thru BTK R-HSA-8964315	2/18	0.00644658407485377	0.170609977003137	0	0	18.6550751879699	94.1000214726775	GNG7;GNG12
NRAGE Signals Death Thru JNK R-HSA-193648	3/57	0.00674630849251991	0.170609977003137	0	0	8.33796296296296	41.6794741873251	ABR;TRIO;RASGRF2
Prostacyclin Signaling Thru Prostacyclin Receptor R-HSA-392851	2/19	0.00717333146295626	0.170609977003137	0	0	17.5568332596196	86.6848468180355	GNG7;GNG12
Listeria Monocytogenes Entry Into Host Cells R-HSA-8876384	2/19	0.00717333146295626	0.170609977003137	0	0	17.5568332596196	86.6848468180355	SRC;EPS15
RAC1 GTPase Cycle R-HSA-9013149	5/178	0.0072230860471574	0.170609977003137	0	0	4.3779457536683	21.5853432772122	ABR;TRIO;RASGRF2;MYO9B;DOCK2
G Beta:Gamma Signaling Thru CDC42 R-HSA-8964616	2/20	0.00793534776758775	0.170609977003137	0	0	16.5806182121972	80.1909678189507	GNG7;GNG12
G Beta:Gamma Signaling Thru PLC Beta R-HSA-418217	2/20	0.00793534776758775	0.170609977003137	0	0	16.5806182121972	80.1909678189507	GNG7;GNG12
Presynaptic Function Of Kainate Receptors R-HSA-500657	2/21	0.00873213100775845	0.172095748611239	0	0	15.7071626434507	74.463665916603	GNG7;GNG12
CTLA4 Inhibitory Signaling R-HSA-389513	2/21	0.00873213100775845	0.172095748611239	0	0	15.7071626434507	74.463665916603	SRC;CD80
