Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Enamel Mineralization (GO:0070166)	1/5	0.00174891651493262	0.0131090498865151	0	0	832.875	5287.7224998036	AMELY
Tooth Mineralization (GO:0034505)	1/7	0.0024477534600423	0.0131090498865151	0	0	555.194444444444	3338.15358342286	AMELY
Postsynaptic Membrane Assembly (GO:0097104)	1/7	0.0024477534600423	0.0131090498865151	0	0	555.194444444444	3338.15358342286	NLGN4Y
Presynaptic Membrane Assembly (GO:0097105)	1/8	0.00279701502710506	0.0131090498865151	0	0	475.857142857143	2797.66050021554	NLGN4Y
Postsynapse Assembly (GO:0099068)	1/9	0.00314617197276363	0.0131090498865151	0	0	416.354166666667	2398.8531813702	NLGN4Y
Presynaptic Membrane Organization (GO:0097090)	1/9	0.00314617197276363	0.0131090498865151	0	0	416.354166666667	2398.8531813702	NLGN4Y
Presynapse Organization (GO:0099172)	1/11	0.00384417200458596	0.0137291857306641	0	0	333.05	1852.15667504623	NLGN4Y
Neuron Cell-Cell Adhesion (GO:0007158)	1/14	0.0048903875335644	0.0145525469281787	0	0	256.153846153846	1362.86237043318	NLGN4Y
Presynapse Assembly (GO:0099054)	1/15	0.00523891689414434	0.0145525469281787	0	0	237.845238095238	1249.0776854949	NLGN4Y
Postsynaptic Membrane Organization (GO:0001941)	1/17	0.00593566199512446	0.0148391549878112	0	0	208.09375	1066.85019229932	NLGN4Y
Presynaptic Endocytosis (GO:0140238)	1/31	0.0108011827726926	0.0239076265025946	0	0	110.905555555556	502.191405614873	NLGN4Y
Regulation Of Trans-Synaptic Signaling (GO:0099177)	1/36	0.012533916617469	0.0239076265025946	0	0	95.0380952380952	416.201944195433	NLGN4Y
Membrane Assembly (GO:0071709)	1/38	0.01322628156092	0.0239076265025946	0	0	89.8918918918919	388.831819174052	NLGN4Y
Synaptic Vesicle Endocytosis (GO:0048488)	1/40	0.0139182304660795	0.0239076265025946	0	0	85.2735042735043	364.506348342936	NLGN4Y
Learning (GO:0007612)	1/43	0.0149553741881686	0.0239076265025946	0	0	79.1706349206349	332.729205482948	NLGN4Y
Synaptic Vesicle Recycling (GO:0036465)	1/44	0.0153008809616606	0.0239076265025946	0	0	77.3255813953488	323.208934950794	NLGN4Y
Synapse Assembly (GO:0007416)	1/71	0.0245903887041511	0.036162336329634	0	0	47.4357142857143	175.768277473899	NLGN4Y
Modulation Of Chemical Synaptic Transmission (GO:0050804)	1/123	0.0422698234347814	0.058708088103863	0	0	27.146174863388	85.8818604813017	NLGN4Y
Peptide Biosynthetic Process (GO:0043043)	1/158	0.0540141765073126	0.0710712848780428	0	0	21.0573248407643	61.455986566871	RPS4Y2
Macromolecule Biosynthetic Process (GO:0009059)	1/183	0.0623272284425391	0.0779090355531739	0	0	18.1419413919414	50.3503621311106	RPS4Y2
Anterograde Trans-Synaptic Signaling (GO:0098916)	1/199	0.0676146550098726	0.080493636916515	0	0	16.6624579124579	44.8875040642452	NLGN4Y
Translation (GO:0006412)	1/234	0.0790918765758649	0.0898771324725738	0	0	14.134477825465	35.8612212639003	RPS4Y2
Cellular Component Assembly (GO:0022607)	1/260	0.0875392245498421	0.0951513310324371	0	0	12.6988416988417	30.9301662423881	NLGN4Y
Chemical Synaptic Transmission (GO:0007268)	1/273	0.0917379324655175	0.0955603463182474	0	0	12.0839460784314	28.8663639380895	NLGN4Y
Gene Expression (GO:0010467)	1/296	0.0991258556530174	0.0991258556530174	0	0	11.128813559322	25.7227497853324	RPS4Y2
