Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Regulation Of Presynapse Assembly (GO:1905606)	3/16	3.57925687977681e-05	0.00746275059433464	0	0	58.1450827653359	595.275999192397	SLITRK2;IL1RAPL2;GPC4
Regulation Of Presynapse Organization (GO:0099174)	3/16	3.57925687977681e-05	0.00746275059433464	0	0	58.1450827653359	595.275999192397	SLITRK2;IL1RAPL2;GPC4
Regulation Of Synapse Assembly (GO:0051963)	4/51	5.66379671941583e-05	0.007872677439988	0	0	21.6813966175668	212.01871334887	SLITRK2;IL1RAPL2;SLITRK4;GPC4
Negative Regulation Of Microtubule Depolymerization (GO:0007026)	2/20	0.00300734846027693	0.244249833416925	0	0	27.6388888888889	160.490639337902	MID1IP1;FGF13
Negative Regulation Of Supramolecular Fiber Organization (GO:1902904)	3/71	0.00310638136324834	0.244249833416925	0	0	11.0852568875652	64.009563140634	VBP1;MID1IP1;FGF13
Negative Regulation Of Protein Depolymerization (GO:1901880)	2/23	0.00397275461469199	0.244249833416925	0	0	23.6869047619048	130.948210597961	MID1IP1;FGF13
Regulation Of Microtubule Depolymerization (GO:0031114)	2/24	0.00432243029860075	0.244249833416925	0	0	22.6090909090909	123.082477067413	MID1IP1;FGF13
Regulation Of Synapse Organization (GO:0050807)	2/25	0.00468584812310647	0.244249833416925	0	0	21.625	115.979380573014	SLITRK2;SLITRK4
Negative Regulation Of Developmental Growth (GO:0048640)	2/31	0.0071485066094894	0.28656048298373	0	0	17.1456896551724	84.7143117646977	WWC3;FGF13
Negative Regulation Of Microtubule Polymerization Or Depolymerization (GO:0031111)	2/31	0.0071485066094894	0.28656048298373	0	0	17.1456896551724	84.7143117646977	MID1IP1;FGF13
Positive Regulation Of Synapse Assembly (GO:0051965)	2/32	0.00760491721130329	0.28656048298373	0	0	16.5733333333333	80.860634367951	SLITRK2;SLITRK4
I-kappaB kinase/NF-kappaB Signaling (GO:0007249)	2/45	0.0146668069396402	0.28656048298373	0	0	11.5552325581395	48.7881374116354	TLR8;IKBKG
Negative Regulation Of Cell Growth (GO:0030308)	3/125	0.0147500763717012	0.28656048298373	0	0	6.16185930691015	25.9815230143944	TSPYL2;FHL1;FGF13
Positive Regulation Of Nervous System Development (GO:0051962)	2/49	0.0172397609490781	0.28656048298373	0	0	10.5696808510638	42.9185789045754	SLITRK2;SLITRK4
Cell Cycle G1/S Phase Transition (GO:0044843)	2/52	0.0192858516630642	0.28656048298373	0	0	9.934	39.2232419508046	PHF8;CUL4B
Negative Regulation Of Endoplasmic Reticulum Calcium Ion Concentration (GO:0032471)	1/5	0.0203344521241591	0.28656048298373	0	0	61.462962962963	239.425203466437	BCAP31
Negative Regulation Of Heterochromatin Formation (GO:0031452)	1/5	0.0203344521241591	0.28656048298373	0	0	61.462962962963	239.425203466437	PHF8
Telencephalon Cell Migration (GO:0022029)	1/5	0.0203344521241591	0.28656048298373	0	0	61.462962962963	239.425203466437	FGF13
Proton-Transporting V-type ATPase Complex Assembly (GO:0070070)	1/5	0.0203344521241591	0.28656048298373	0	0	61.462962962963	239.425203466437	VMA21
Cerebral Cortex Cell Migration (GO:0021795)	1/5	0.0203344521241591	0.28656048298373	0	0	61.462962962963	239.425203466437	FGF13
Regulation Of Voltage-Gated Sodium Channel Activity (GO:1905150)	1/5	0.0203344521241591	0.28656048298373	0	0	61.462962962963	239.425203466437	FGF13
Galactose Metabolic Process (GO:0006012)	1/6	0.0243520695000023	0.28656048298373	0	0	49.1679012345679	182.665560054485	SLC35A2
Tubulin Complex Assembly (GO:0007021)	1/6	0.0243520695000023	0.28656048298373	0	0	49.1679012345679	182.665560054485	VBP1
Negative Regulation Of Steroid Metabolic Process (GO:0045939)	1/6	0.0243520695000023	0.28656048298373	0	0	49.1679012345679	182.665560054485	NR0B1
Protein Localization To Endoplasmic Reticulum Exit Site (GO:0070973)	1/6	0.0243520695000023	0.28656048298373	0	0	49.1679012345679	182.665560054485	BCAP31
Pituitary Gland Development (GO:0021983)	1/6	0.0243520695000023	0.28656048298373	0	0	49.1679012345679	182.665560054485	NR0B1
Pyrimidine Nucleotide-Sugar Transmembrane Transport (GO:0090481)	1/6	0.0243520695000023	0.28656048298373	0	0	49.1679012345679	182.665560054485	SLC35A2
Regulation Of TORC2 Signaling (GO:1903939)	1/6	0.0243520695000023	0.28656048298373	0	0	49.1679012345679	182.665560054485	OTUD5
