Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Heparan Sulfate/Heparin (HS-GAG) Metabolism R-HSA-1638091	4/53	6.59549173790613e-05	0.00432036929864302	0	0	20.7943485086342	200.177609379779	BGN;GPC3;GPC4;HS6ST2
Receptor-type Tyrosine-Protein Phosphatases R-HSA-388844	3/20	7.20061549773837e-05	0.00432036929864302	0	0	44.4549516008935	424.045067757353	SLITRK2;IL1RAPL2;SLITRK4
Defective B3GALT6 Causes EDSP2 And SEMDJL1 R-HSA-4420332	3/20	7.20061549773837e-05	0.00432036929864302	0	0	44.4549516008935	424.045067757353	BGN;GPC3;GPC4
Defective B3GAT3 Causes JDSSDHD R-HSA-3560801	3/20	7.20061549773837e-05	0.00432036929864302	0	0	44.4549516008935	424.045067757353	BGN;GPC3;GPC4
Defective B4GALT7 Causes EDS, Progeroid Type R-HSA-3560783	3/20	7.20061549773837e-05	0.00432036929864302	0	0	44.4549516008935	424.045067757353	BGN;GPC3;GPC4
GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475	3/26	0.000161336642224393	0.00806683211121966	0	0	32.8481012658228	286.830192811033	GPC3;BGN;GPC4
HS-GAG Biosynthesis R-HSA-2022928	3/30	0.000248973222595314	0.0106702809683706	0	0	27.9760900140647	232.150216784297	GPC3;GPC4;HS6ST2
Protein-protein Interactions At Synapses R-HSA-6794362	4/88	0.000471124874046865	0.0176671827767575	0	0	12.1086691086691	92.7570959526323	SLITRK2;IL1RAPL2;SLITRK4;GRIA3
Diseases Associated With Glycosaminoglycan Metabolism R-HSA-3560782	3/40	0.000588253622315865	0.0196084540771955	0	0	20.4047211768731	151.777506178087	GPC3;BGN;GPC4
Chondroitin Sulfate/Dermatan Sulfate Metabolism R-HSA-1793185	3/50	0.00113309189308745	0.0339927567926236	0	0	16.0552114193375	108.899371409615	BGN;GPC3;GPC4
Defective EXT1 Causes Exostoses 1, TRPS2 And CHDS R-HSA-3656253	2/13	0.00125778698352405	0.0343032813688377	0	0	45.2431818181818	302.152131713813	GPC3;GPC4
Glycosaminoglycan Metabolism R-HSA-1630316	4/120	0.00150310240116552	0.0375775600291381	0	0	8.75419982316534	56.9042601358199	BGN;GPC3;GPC4;HS6ST2
HS-GAG Degradation R-HSA-2024096	2/21	0.00331509618348708	0.0765022196189326	0	0	26.1828947368421	149.485179855287	GPC3;GPC4
Neuronal System R-HSA-112316	6/386	0.00507731188754329	0.108799540447356	0	0	4.05914127423823	21.4443350272818	GABRQ;RPS6KA6;SLITRK2;IL1RAPL2;SLITRK4;GRIA3
SARS-CoV-2 Infection R-HSA-9694516	5/283	0.00615832712715677	0.123166542543135	0	0	4.58749883210315	23.3501401785986	ZDHHC9;GPC3;TLR8;IKBKG;GPC4
Early SARS-CoV-2 Infection Events R-HSA-9772572	2/37	0.0100773068388057	0.188949503227608	0	0	14.2021428571429	65.2939147961093	GPC3;GPC4
Ovarian Tumor Domain Proteases R-HSA-5689896	2/39	0.0111530560112115	0.196818635491968	0	0	13.4331081081081	60.3958147104316	OTUD5;IKBKG
Retinoid Metabolism And Transport R-HSA-975634	2/43	0.0134486436370121	0.224144060616869	0	0	12.1201219512195	52.2241149897652	GPC3;GPC4
Metabolism Of Fat-Soluble Vitamins R-HSA-6806667	2/47	0.0159307834574071	0.251538686169586	0	0	11.0405555555556	45.7024015274696	GPC3;GPC4
SARS-CoV Infections R-HSA-9679506	5/369	0.0178496112899002	0.267744169348503	0	0	3.48829741686885	14.0430954665378	ZDHHC9;GPC3;TLR8;IKBKG;GPC4
Fatty Acid Cycling Model R-HSA-167826	1/5	0.0203344521241591	0.286692397999023	0	0	61.462962962963	239.425203466437	SLC25A14
Diseases Of Glycosylation R-HSA-3781865	3/143	0.021024109186595	0.286692397999023	0	0	5.36473779385172	20.7190757405796	BGN;GPC3;GPC4
Mitochondrial Uncoupling R-HSA-166187	1/6	0.0243520695000023	0.288485861116246	0	0	49.1679012345679	182.665560054485	SLC25A14
FGFR1b Ligand Binding And Activation R-HSA-190370	1/6	0.0243520695000023	0.288485861116246	0	0	49.1679012345679	182.665560054485	FGF13
IkBA Variant Leads To EDA-ID R-HSA-5603029	1/7	0.0283534121633331	0.288485861116246	0	0	40.9711934156379	145.980685712207	IKBKG
