Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Signaling By Rho GTPases R-HSA-194315	6/644	0.000482656102768459	0.0263775175005752	0	0	6.99180130214613	53.3908361761303	AKAP12;FARP1;ZAP70;MSI2;KLK2;MYLK
Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542	6/660	0.000549531614595317	0.0263775175005752	0	0	6.8151023288638	51.1571857059501	AKAP12;FARP1;ZAP70;MSI2;KLK2;MYLK
RHOF GTPase Cycle R-HSA-9035034	2/42	0.00205171011354824	0.0656547236335438	0	0	33.2133333333333	205.560031265973	AKAP12;FARP1
RHO GTPase Cycle R-HSA-9012999	4/441	0.00514386575512997	0.123452778123119	0	0	6.3847662634848	33.6474014587598	AKAP12;FARP1;ZAP70;MSI2
Extracellular Matrix Organization R-HSA-1474244	3/291	0.0110717653208452	0.152649610833268	0	0	7.06896551724138	31.834075882524	DMD;KLK2;COL19A1
Release Of Apoptotic Factors From Mitochondria R-HSA-111457	1/7	0.0111479378107246	0.152649610833268	0	0	107.322580645161	482.57606413668	GSDME
Defective Factor VIII Causes Hemophilia A R-HSA-9662001	1/7	0.0111479378107246	0.152649610833268	0	0	107.322580645161	482.57606413668	TPST2
Degradation Of Extracellular Matrix R-HSA-1474228	2/109	0.0131223558178395	0.152649610833268	0	0	12.3744548286604	53.6239321935204	KLK2;COL19A1
Chylomicron Remodeling R-HSA-8963901	1/9	0.0143109010156188	0.152649610833268	0	0	80.4838709677419	341.793569023776	LPL
Defects Of Contact Activation System (CAS) And Kallikrein/Kinin System (KKS) R-HSA-9651496	1/15	0.0237411064214928	0.156941563420057	0	0	45.9769585253456	171.978987388908	TPST2
Translocation Of ZAP-70 To Immunological Synapse R-HSA-202430	1/17	0.0268650433589444	0.156941563420057	0	0	40.2258064516129	145.493899614033	ZAP70
Regulation Of TLR By Endogenous Ligand R-HSA-5686938	1/18	0.0284233784701103	0.156941563420057	0	0	37.8576850094877	134.793926217316	GSDME
Assembly Of Active LPL And LIPC Lipase Complexes R-HSA-8963889	1/19	0.0299792961708411	0.156941563420057	0	0	35.752688172043	125.393553496355	LPL
Apoptotic Factor-Mediated Response R-HSA-111471	1/20	0.0315328000758389	0.156941563420057	0	0	33.8692699490662	117.076819992966	GSDME
RHO GTPases Activate PAKs R-HSA-5627123	1/21	0.0330838937893812	0.156941563420057	0	0	32.1741935483871	109.672453704839	MYLK
Cytosolic Sulfonation Of Small Molecules R-HSA-156584	1/22	0.034632580928247	0.156941563420057	0	0	30.6405529953917	103.042966194082	TPST2
RHOBTB2 GTPase Cycle R-HSA-9013418	1/23	0.0361788650960567	0.156941563420057	0	0	29.2463343108504	97.0767774581286	MSI2
Signal Transduction R-HSA-162582	8/2465	0.036604465973503	0.156941563420057	0	0	2.37566137566138	7.85770199033486	AKAP12;FARP1;ZAP70;MSI2;KLK2;KSR2;MYLK;DGKH
Muscle Contraction R-HSA-397014	2/196	0.0390988696860769	0.156941563420057	0	0	6.79518900343643	22.0277040773149	DMD;MYLK
Pyroptosis R-HSA-5620971	1/26	0.0408033357136717	0.156941563420057	0	0	25.7329032258065	82.3193372287167	GSDME
Effects Of PIP2 Hydrolysis R-HSA-114508	1/27	0.0423400439315086	0.156941563420057	0	0	24.741935483871	78.2345437210345	DGKH
