Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
CD28 Dependent PI3K/Akt Signaling R-HSA-389357	2/23	0.00040428492626814	0.0396199227742777	0	0	79.1785714285714	618.653110911131	CD86;MAP3K8
CD28 Co-Stimulation R-HSA-389356	2/34	0.000888617406726317	0.0435422529295895	0	0	51.9322916666667	364.868168320965	CD86;MAP3K8
Costimulation By CD28 Family R-HSA-388841	2/68	0.00351177582639185	0.1147180103288	0	0	25.1363636363636	142.061513186742	CD86;MAP3K8
Vitamin C (Ascorbate) Metabolism R-HSA-196836	1/7	0.00906584433411521	0.165136958845744	0	0	133.12	626.09548144397	SLC2A3
Binding Of TCF/LEF:CTNNB1 To Target Gene Promoters R-HSA-4411364	1/8	0.0103545017362566	0.165136958845744	0	0	114.097142857143	521.462040289208	TCF7
RUNX3 Regulates WNT Signaling R-HSA-8951430	1/8	0.0103545017362566	0.165136958845744	0	0	114.097142857143	521.462040289208	TCF7
Reactions Specific To Complex N-glycan Synthesis Pathway R-HSA-975578	1/10	0.0129269855424659	0.165136958845744	0	0	88.7333333333333	385.851420723694	FUT8
CD28 Dependent Vav1 Pathway R-HSA-389359	1/12	0.0154930404733184	0.165136958845744	0	0	72.5927272727273	302.520344258052	CD86
Repression Of WNT Target Genes R-HSA-4641265	1/14	0.0180526816175867	0.165136958845744	0	0	61.4184615384615	246.562020931719	TCF7
MAP3K8 (TPL2)-dependent MAPK1/3 Activation R-HSA-5684264	1/16	0.0206059241328129	0.165136958845744	0	0	53.224	206.624970832162	MAP3K8
Gastrulation R-HSA-9758941	1/17	0.0218801506534414	0.165136958845744	0	0	49.895	190.707442381889	TCF7
Neutrophil Degranulation R-HSA-6798695	3/468	0.0222048159133419	0.165136958845744	0	0	5.47237026647966	20.8357547226838	FGL2;SLC2A3;MNDA
MECP2 Regulates Neuronal Receptors And Channels R-HSA-9022699	1/18	0.0231527832149217	0.165136958845744	0	0	46.9576470588235	176.825607237972	SLC2A3
Receptor-type Tyrosine-Protein Phosphatases R-HSA-388844	1/20	0.0256932740553108	0.165136958845744	0	0	42.0105263157895	153.822635691485	PPFIBP2
