Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Response To DNA Damage Checkpoint Signaling (GO:0072423)	1/5	0.00249770786419674	0.0412676780338504	0	0	555.166666666667	3326.77064151216	SMC1A
Establishment Of Mitotic Sister Chromatid Cohesion (GO:0034087)	1/6	0.00299657817287215	0.0412676780338504	0	0	444.111111111111	2580.41179429264	SMC1A
Protein Import Into Peroxisome Matrix, Receptor Recycling (GO:0016562)	1/6	0.00299657817287215	0.0412676780338504	0	0	444.111111111111	2580.41179429264	USP9X
Regulation Of TORC2 Signaling (GO:1903939)	1/6	0.00299657817287215	0.0412676780338504	0	0	444.111111111111	2580.41179429264	USP9X
Histone Lysine Demethylation (GO:0070076)	1/7	0.003495224297089	0.0412676780338504	0	0	370.074074074074	2093.27134911451	KDM6A
Protein Deubiquitination Involved In Ubiquitin-Dependent Protein Catabolic Process (GO:0071947)	1/7	0.003495224297089	0.0412676780338504	0	0	370.074074074074	2093.27134911451	USP9X
Positive Regulation Of DNA Demethylation (GO:1901537)	1/7	0.003495224297089	0.0412676780338504	0	0	370.074074074074	2093.27134911451	USP9X
Regulation Of DNA Demethylation (GO:1901535)	1/8	0.00399364626134036	0.0412676780338504	0	0	317.190476190476	1751.8590547314	USP9X
Formation Of Translation Preinitiation Complex (GO:0001731)	1/8	0.00399364626134036	0.0412676780338504	0	0	317.190476190476	1751.8590547314	EIF2S3
Meiotic Sister Chromatid Cohesion (GO:0051177)	1/10	0.00498981788934786	0.0463477276789639	0	0	246.679012345679	1307.48654986014	SMC1A
Chromatin Remodeling (GO:0006338)	2/228	0.00548198929536132	0.0463477276789639	0	0	21.8628318584071	113.824182398966	KDM5C;KDM6A
Protein Import Into Peroxisome Matrix (GO:0016558)	1/13	0.00648239549203707	0.048596113803543	0	0	184.981481481481	932.059746399125	USP9X
Chromatin Organization (GO:0006325)	2/268	0.0074987099766163	0.048596113803543	0	0	18.5375939849624	90.7048973935766	KDM5C;KDM6A
