name	m/z	RT_min
peak1	70.06441846	0.866483333
peak2	76.07491063	0.837358333
peak3	86.09577807	1.732158333
peak4	86.09574488	1.089041667
peak5	91.05354486	5.44075
peak6	104.1062238	0.813258333
peak7	104.1062299	8.044066667
peak8	114.0653166	0.841883333
peak9	114.0654043	1.056083333
peak10	114.0906801	2.316083333
peak11	116.0697914	0.8664
peak12	118.0642277	2.212816667
peak13	118.0855877	0.947133333
peak14	118.0855859	8.047516667
peak15	121.0639112	5.797333333
peak16	121.1004462	3.098958333
peak17	122.0956876	2.12525
peak18	123.0432199	1.545183333
peak19	123.0432455	1.080983333
peak20	124.0275907	1.97925
peak21	130.0490283	0.816283333
peak22	130.0490327	1.517316667
peak23	130.0490757	1.08075
peak24	130.0855435	0.990441667
peak25	130.0855339	0.700483333
peak26	130.0855749	1.389741667
peak27	132.0759162	0.850616667
peak28	132.1015347	1.732616667
peak29	132.101408	1.091275
peak30	133.012578	2.605383333
peak31	133.0789129	0.853766667
peak32	133.0850308	2.679025
peak33	133.0966091	0.702616667
peak34	136.0750338	1.080833333
peak35	136.0750071	1.54525
peak36	137.0450434	1.028683333
peak37	137.0450007	1.50015
peak38	138.0519294	0.868833333
peak39	139.1110541	3.001166667
peak40	144.0799212	2.2155
peak41	144.1011079	0.884833333
peak42	146.0592711	2.215533333
peak43	146.1169435	0.862266667
peak44	146.1644631	0.6304
peak45	147.0756248	0.816283333
peak46	147.1121264	0.70445
peak47	148.038755	2.49425
peak48	148.0596331	0.831016667
peak49	148.0786321	0.817025
peak50	150.0575699	1.052933333
peak51	150.0576304	1.478041667
peak52	152.0311738	1.515516667
peak53	152.0550616	1.488691667
peak54	153.0401213	1.512466667
peak55	153.0400892	1.0662
peak56	154.0832157	1.733041667
peak57	156.0761159	0.981883333
peak58	156.0761829	0.725916667
peak59	162.1118927	0.828458333
peak60	165.0540118	3.184116667
peak61	165.0539947	1.54525
peak62	165.0540397	1.080833333
peak63	166.0856247	2.154125
peak64	166.0832235	0.88355
peak65	167.0332571	7.524733333
peak66	167.0844844	3.121733333
peak67	167.1059342	3.099175
peak68	169.0352744	1.47965
peak69	169.0350664	1.995683333
peak70	169.048908	2.832141667
peak71	169.0489164	5.432466667
peak72	175.1184527	1.11485
peak73	175.1182868	0.78045
peak74	176.0701089	2.611083333
peak75	177.0539909	3.302866667
peak76	180.0647947	2.375566667
peak77	181.0711801	2.215883333
peak78	182.0809289	1.54715
peak79	182.0808873	1.080383333
peak80	182.1024332	1.02655
peak81	183.0798462	3.5343
peak82	183.1007929	2.95885
peak83	184.0727429	8.024916667
peak84	184.0728103	3.822216667
peak85	187.0571164	0.876008333
peak86	187.0708638	1.046766667
peak87	188.0700002	2.215225
peak88	193.1579443	5.917483333
peak89	195.0873342	2.317641667
peak90	203.1788164	3.334566667
peak91	205.0282358	1.083616667
peak92	205.0969562	2.215366667
peak93	207.1738469	6.334366667
peak94	209.0915461	2.151333333
peak95	210.1095861	2.363866667
peak96	213.109821	2.850658333
peak97	218.1383059	1.808283333
peak98	219.1737925	3.579416667
peak99	227.0788171	2.2151
peak100	245.0764862	0.948808333
peak101	245.0766336	1.523441667
peak102	246.1696228	2.26285
peak103	251.0564775	3.138541667
peak104	251.1845465	2.535966667
peak105	255.2315954	5.687975
peak106	255.2311578	3.885933333
peak107	258.1096005	0.816766667
peak108	258.1692096	2.297733333
peak109	259.1898608	7.583266667
peak110	263.0557824	3.117791667
peak111	264.1931356	3.166641667
peak112	265.1179108	2.328475
peak113	267.0582527	1.062225
peak114	268.1031321	1.569041667
peak115	268.1031907	1.039116667
peak116	269.0746386	0.9747
peak117	269.0875727	1.617216667
peak118	275.1999825	3.553491667
