ID	HC_1	HC_10	HC_11	HC_12	HC_13	HC_2	HC_3	HC_4	HC_5	HC_6	HC_7	HC_8	HC_9	PTB_1	PTB_10	PTB_11	PTB_12	PTB_13	PTB_2	PTB_3	PTB_4	PTB_5	PTB_6	PTB_7	PTB_8	PTB_9	PTB_DM_1	PTB_DM_10	PTB_DM_11	PTB_DM_12	PTB_DM_13	PTB_DM_2	PTB_DM_3	PTB_DM_4	PTB_DM_5	PTB_DM_6	PTB_DM_7	PTB_DM_8	PTB_DM_9
1-Pyrroline	8958.855	11731.87022	11096.62856	16432.85739	12826.05414	13260.84379	19633.37414	12357.05641	12516.30568	11226.8014	11714.81595	8195.261	16874.28039	13230.612	11142.14696	6059.289364	13475.01618	10738.065	10443.66709	12057.21	9905.853053	13216.82826	9696.32	9609.44	19878.285	7601.39875	8873.99616	10920.76078	9009.5148	7190.842	7176.34855	10890.73745	13844.447	15264.95911	12851.96905	16684.954	10260.39886	6683.214	6014.330778
Trimethylamine N-oxide	3062.01725	2260.162667	3635.334667	2439.721529	2537.139993	2070.541125	911.29925	6270.954765	2958.799313	19531.18853	5201.9088	10143.59844	2643.415222	1749.998859	722.5431377	3993.882353	884.6778107	1515.315769	2322.7452	1450.645364	2773.457867	953.4473419	1443.018917	0	708.6014282	181.6939299	4351.355789	268.367702	0	0	1461.416667	486.1057109	971.06625	68.60872405	0	179.2090576	0	0	0
Piperidine	174354.5458	136631.2239	116859.7333	227741.548	322030.6853	234384.5146	300104.741	157598.1232	316879.0927	138416.674	275668.3978	264549.471	147130.1721	186963.9451	138390.7639	203649.7306	164605.7645	182844.0355	140204.6337	169347.5182	132007.488	133648.2431	142333.806	104987.8154	281643.3971	214104.4471	284015.043	283998.234	358022.9918	121365.2114	325503.7441	200590.0344	324557.9374	145951.6183	333998.324	149903.5256	306888.5404	250339.2269	121047.949
Piperidine	50937.20491	44507.57589	50626.45636	84071.9424	142337.3116	80002.86783	117975.4932	67312.49318	74754.19714	94927.75903	108262.2917	42718.02755	113006.5427	87402.32748	24249.14885	721.9512861	66671.08182	137902.8074	112045.9681	77149.18857	73386.71864	80998.03175	71392	28648.73067	109652.7431	347.7037374	164458.902	76061.53678	82183.158	1059.778073	151851.4805	82495.69167	80141.41003	66427.21571	66548.33127	129123.0608	116421.2462	89944.63315	73491.2947
Diethyl sulfide	9584.321591	10557.13338	9649.629818	6764.658158	8127.485955	8869.193478	4693.6732	8211.060091	6431.96	9099.082429	6981.503571	7119.528348	6968.791905	7962.038217	8769.131	13468.70464	5472.07	6516.413714	7995.937091	8037.2446	7394.335227	9038.992879	8664.513381	10523.69038	7139.990095	11150.7006	9759.958455	8052.591556	5787.789	9810.9284	6301.356424	9397.755682	7362.026364	8109.670476	8042.964864	5562.337455	5970.266909	6934.426231	5784.234545
Choline	81410.99886	82769.48167	68992.30848	126621.0185	90271.42895	80396.82311	73713.19617	95077.28716	90104.85165	57138.9075	71175.066	71254.57083	85114.962	75067.34126	47164.07459	59552.104	82107.43096	103296.161	102833.7174	69975.23878	80493.10774	71914.82373	58310.96743	33560.77091	54335.27585	31572.94494	67887.9493	97943.97919	112599.5219	67978.62	116511.5321	74190.39644	60500.93363	49805.98983	89288.77167	44020.05483	50160.29624	39174.47259	39552.79286
Choline	13339.9792	8744.93044	9305.308192	8203.524773	8755.218957	13835.628	10634.03547	15063.04531	10328.06757	12226.61059	11479.57614	10274.71525	11400.59845	16171.76667	8836.752	8820.519783	10133.57945	8799.722273	20231.95365	13910.42496	12496.354	16126.73139	18339.85125	9016.438773	8989.864071	9832.92019	8847.715455	9176.290625	8514.295714	10082.22689	9208.098043	23507.59364	14377.20493	12068.08942	10471.08954	9337.415917	23326.21113	12571.92	9516.746609
Creatinine	26868.10829	32816.22111	18143.19529	21142.8585	36626.27	17353.64647	31637.92278	27438.99411	26048.37706	17491.6445	15953.85688	18145.22671	17518.996	25744.17391	10854.72425	13141.70588	22304.90741	25689.63555	22488.56647	22484.90232	27327.38947	27070.2	25200.6875	14500.83106	21996.74511	19965.28407	11289.5776	21529.6995	22010.87714	14497.91718	13109.31864	21355.08925	34824.447	21426.156	23740.476	9175.604235	16834.2345	17229.94094	7216.540688
Creatinine	13318.61769	19636.90909	14209.21624	12353.10267	17151.89914	14968.81814	10459.01711	16254.64043	14976.603	10906.06187	17784.81007	17030.43188	12146.80853	9690.598286	8748.839619	11234.59957	16731.64143	9273.484118	17358.01264	9367.835826	19654.52268	18438.50852	16262.49255	6489.813647	17584.32511	13396.90495	8112.586125	10270.089	14854.61109	10017.02109	9001.823639	16607.82955	18581.23333	17787.69217	10608.2	9766.941429	17090.97362	9387.652174	8600.009985
.epsilon.-Caprolactam	4019.27	5369.96	3961.655619	4286.413143	3845.275	4074.652727	4010.806857	5175.308684	3715.6085	9331.283571	7214.961677	5300.68	4128.386571	5892.985333	4837.578818	3746.222773	5874.284625	4781.5235	2092.681111	5303.009684	4042.504762	9490.563745	4580.304	4315.0185	4249.485238	5917.6177	7171.283053	4805.992706	3314.8065	4562.750526	4957.062667	4680.302	4286.972455	3665.054556	5453.401765	5000.895	3411.8725	6528.987586	6196.84032
Proline	43698.2425	58474.15652	55479.765	80935.0763	61144.06138	63584.21209	100904.3187	66126.93809	57819.336	60016.36835	57639.69673	43017.68045	79701.0781	61756.728	46370.68343	27970.05267	69280.51296	45047.82432	63514.73306	51687.90238	49429.55165	66650.16087	46630.46455	43574.34574	85735.45461	35580.8253	46609.62675	59295.38345	48260.931	33095.54518	31818.78019	50340.17877	69644.3367	85536.738	64196.90661	89524.38786	56671.14174	28226.94925	61411.14429
Indole	6956.5362	8955.4526	8407.162565	10200.315	9424.980727	8875.390565	11263.49608	9470.499	9609.167955	7046.04681	9424.196	7952.030864	11509.18735	6451.288	5665.885875	4669.069692	6917.172182	7202.34496	6871.066526	7221.425792	6396.292174	8289.5068	7676.259455	7533.366727	7133.3625	7073.706	7409.971333	6752.241517	9109.531087	6289.782333	6749.484	8266.638222	4444.55496	8071.170609	9934.108667	10463.61113	8744.146138	6887.8755	8039.098261
Betaine	165112.4627	158912.5432	160390.932	218730.162	195973.6953	167885.4324	174073.9	182180.5	199341.3609	159130.8417	160372.0154	159189.8745	168822.7749	149830.073	118527.984	90106.10356	198203.2753	192485.609	194429.7804	145641.4121	177599.6532	193895.8476	188201.6409	172714.3431	143021.6323	193789.5778	240256.3811	188838.81	200559.7314	114449.8909	161495.1296	213950.7491	203544.2764	176565.5601	263651.9496	152128.288	144550.2011	133930.0203	164243.7675
Betaine	10733.39526	11588.01966	8085.857143	10790.79432	9810.476	10075.98114	11322.06532	9455.826111	9617.419333	10973.07881	10351.472	10206.99818	7964.790273	9456.196571	8111.0322	8627.189478	10382.92732	10548.19977	8835.425455	11580.36943	10462.662	12675.73043	9215.733882	13024.45882	11003.61676	9364.653455	12783.738	9467.93655	8765.526	10555.43033	11666.93086	8349.084444	9727.581222	10824.44	9212.066182	13178.06836	12043.59333	12948.51159	11245.39278
Phenylacetaldehyde	3163.754604	6374.305957	6329.3567	6964.934167	4617.127048	3434.915146	1683.654214	3645.398624	2362.650568	5380.546579	5016.601476	3629.098909	2750.371842	1686.154909	3037.811636	4352.140205	2411.553375	5747.010286	3029.687385	3792.360857	2512.685143	3840.232131	3911.408529	4244.996258	3314.216971	4020.636612	3291.821842	4220.845	5082.770647	5688.4005	9251.763582	2768.576476	4457.234375	3705.737123	3158.859769	3864.290206	3897.172405	4112.678604	4416.04023
1,2,4-Trimethylbenzene	5879.256087	7855.353436	10994.69874	7015.306286	5744.201217	10541.80117	7336.078609	9488.193167	8178.628341	9941.014667	8005.54664	10099.12514	5918.429	8873.214167	8017.77375	10461.79051	7350.32766	5930.98813	8014.70525	7662.004174	10948.39322	10270.41339	8854.062545	6545.918462	5884.335273	6209.541091	5930.438087	10695.34125	10128.82065	11433.80087	8841.85786	6369.816	9316.416261	12613.96783	8412.778957	6269.0983	9822.282609	8319.989375	11188.35233
2,6-Dimethylaniline	3303.576	2542.571731	3091.3365	5005.573684	4684.406602	4036.983043	3592.615452	2909.339739	3077.3925	7227.807394	3855.123317	5613.593327	3379.739	3159.7695	1817.794765	2496.4375	2486.496774	3757.13568	3328.263522	3532.14675	7361.687787	3373.4232	4775.492788	5390.724706	3527.341125	3189.023036	2615.928207	4312.963136	3494.140486	3795.939656	6823.213834	3870.761864	2249.383846	2672.37319	3436.265538	3759.878051	4434.533496	3292.008174	2828.233333
4-Hydroxybenzaldehyde	5749.200696	6665.573143	5462.834286	9594.381478	5711.229955	6729.121	6462.475364	5725.937091	6335.851435	5165.352103	5893.353864	7119.920455	5362.680909	6790.392	4464.236182	4578.982364	7114.309348	6730.043182	7392.135	5757.504	4221.21019	5144.166783	6226.598909	5059.814286	5490.251478	6174.557955	7777.259728	4969.026087	8272.386696	4008.661913	7941.995091	7387.394273	6362.800364	6258.458182	6891.678591	7408.970409	7113.464	3862.380909	4631.270455
4-Hydroxybenzaldehyde	5654.891818	6626.576476	7133.172909	9163.879636	5141.88981	7695.941727	7720.223773	6426.363091	8007.09	5233.013476	6842.056136	9066.463	6038.227371	6744.813474	3053.445905	2654.8962	6797.146364	7734.383926	9018.639311	6855.403182	4939.354636	4795.792143	5908.588636	5032.134579	4829.544615	3644.833185	5305.57	5951.897591	10171.27119	3317.965136	7624.306818	7451.418947	6930.066136	7487.149091	7230.987857	5996.893692	5788.845188	3487.4628	3608.012889
Pyrazinamide	459.5123785	526.8964603	425.0437326	1362.002941	902.9233333	529.1855221	453.6094284	793.4162632	1177.233353	747.9122857	399.3966124	734.1226667	523.1146667	725.945	1476.052588	561.3198662	519.4238968	1152.430275	406.9372762	390.5199	429.4547335	623.5894286	557.2901111	776.8002632	295.6459211	574.0899412	1553.051739	133492.9241	193657.2482	7717.471705	1728.446667	2713.20315	5861.503619	459.7706667	1611.928611	417.3274243	496.72	6140.072762	2668.39755
L-5-Oxoproline	28135.00833	37368.53522	38740.1837	28817.8275	36342.79296	35519.512	27778.85089	34122.25	34857.81842	34406.994	39710.72448	38613.83359	32043.13362	33259.42632	33888.78915	27281.54709	43548.20941	33292.66226	27697.50149	29460.29626	29979.98978	26666.91706	26384.72232	28954.50448	38998.47838	21234.25673	20798.71328	42528.4756	34388.71136	36327.57632	27636.01033	39879.5408	29602.39488	47716.40736	30789.76221	26366.53705	36253.54318	23532.99674	27846.9061
L-5-Oxoproline	10389.89318	12295.92236	10696.91455	11991.02476	9954.967091	13616.40762	14102.98295	14699.44457	13236.86591	12155.79232	14393.59807	11004.8475	9463.547818	11152.48255	12505.53886	14451.79214	10847.4625	11597.09218	9046.028409	11342.04177	11428.70309	11279.42251	9536.327667	10773.12225	11577.23005	9593.067	6787.575	16813.76327	12015.16267	9299.934	13176.48409	11835.95286	13208.20159	15416.12203	12947.465	9443.712909	15975.33045	10835.45336	9610.466667
L-5-Oxoproline	27470.84236	31677.59318	25080.82743	24649.82381	22091.80038	88090.74306	31945.82309	34243.09229	29458.8	29975.15619	30790.74405	31286.41886	49819.78029	25600.07695	19650.05382	26491.44087	26677.72036	27225.82609	22218.05943	27940.02636	21458.46686	23353.77841	23711.4675	17664.386	24917.58	17521.2858	20927.29091	31988.69162	30194.83381	20924.79973	29151.34964	30934.46836	34165.37357	43027.28182	26829.06286	18597.78273	24438.25171	14438.29029	21010.91167
1,1-Dimethylbiguanide	27190.89557	45571.02005	41990.79	36528.45809	41089.134	83971.42909	39649.27283	50826.90043	59896.007	36276.17191	74596.79348	38190.12464	45576.23	25624.65033	30807.8118	27626.12069	41461.60978	42665.69704	44968.91605	29447.50017	25667.50022	47800.46046	29763.7593	21751.45085	48764.65383	16078.71642	22237.94516	15671.81871	30671.79055	16461.29	80561.9611	25164.23173	30389.464	21015.23543	22387.63852	29440.36455	22935.11841	8637.537529	41780.28704
1,1-Dimethylbiguanide	15342.63	14498.272	14972.34993	22887.80956	13788.66747	16586.08535	15135.08842	18869.85164	23290.07718	13702.318	12677.47891	15354.36406	11411.71014	17996.13514	7872.90487	7142.960455	15697.45927	16089.63723	13343.38218	16663.90289	20270.68188	18698.55021	15214.02647	11621.01203	15044.90063	12001.2731	17211.0519	16748.36618	11407.07671	10380.00096	19961.33743	26158.53143	13334.88207	15482.49226	19691.54061	6973.3568	23733.18311	6100.431077	9443.658621
Metformin	6902.966491	11641.94207	9127.620408	7468.528746	7462.95488	18510.66857	5049.426844	12891.09615	13079.8811	8279.358807	16628.38917	8920.531792	10167.14191	9564.574718	6407.817188	8751.335738	10349.50517	9347.507574	8198.546262	2900.759378	9810.534698	10382.97427	5812.717235	8963.740238	15843.73531	12918.86208	11590.74917	5586.992993	6974.913125	7588.336835	10976.73321	6998.649357	7910.172439	6837.039331	6497.364264	10927.26412	8549.71405	9277.279435	17741.78713
N-Methylhydantoin	26039.88669	29854.92112	33345.78259	60977.15621	25817.764	35807.1675	32895.12632	15650.57082	36055.41411	36132.91644	19021.01576	36221.50271	26126.78817	23521.10682	21043.7328	14535.24171	19389.12553	51896.06147	14506.10206	24986.99824	15916.43835	37843.04333	15362.07475	58371.30794	34315.06653	30237.12988	48692.70726	12398.88922	8248.24	17943.30147	69260.96053	29636.20126	36068.73137	10843.5425	21306.3	48769.31583	30937.65705	53910.0522	20212.99
Isoleucine	447192.5261	363297.0389	330155.5606	581925.31	699269.4288	538823.0184	697583.5926	713913.1643	707350.0467	550330.99	660159.1943	310992.4762	438122.2549	403762.827	253459.6198	465067.0941	781297.4453	699787.5445	422184.913	379252.3295	517398.2775	610929.992	562811.4608	272751.5387	661471.3614	431938.398	620467.0215	659745.8767	584448.8403	502981.4082	784486.5375	756064.1138	442575.7822	371335.2288	767481.6646	634554.9836	697659.2145	388433.2004	502232.062
Leucine	99756.28571	79055.11636	95906.601	205294.8486	320512.2338	177354.6836	258588.0802	126175.3912	143473.9723	187958.7792	232398.7425	76618.98	227176.5633	168023.972	55958.28759	4151.88278	118008.2491	333513.54	242574.9182	164968.5199	175515.4046	199486.0725	136673.6229	49737.91745	222987.9103	12857.12004	343292.2739	138092.2055	104347.6713	4293.461471	350343.427	154286.4296	139971.9654	123146.283	113654.4666	313788.3611	226146.5977	181411.846	161999.9099
Oxalacetic acid	2604.831125	1744.561391	2350.181429	2426.00625	2400.082364	1739.088571	2866.140118	2340.9935	2130.500571	2136.108882	2314.671429	2914.725176	2489.275733	2181.231	3431.416375	6934.46	2778.764667	1601.852	1792.333125	529.3392	2504.973429	2607.253688	2148.7185	2839.317333	2719.124486	5697.3025	2039.0292	1935.373462	2310.368	2382.230286	2108.576	2600.46875	2665.665	2381.77	2945.388706	1984.225	2093.377778	1961.426571	2243.566875
DL-Ornithine	1476.897313	2256.822591	1998.422667	3864.328	912.992	2088.150686	702.8213636	2091.552277	1939.295294	2509.436625	2013.114887	2506.493094	587.6227895	1045.494286	1760.84256	1847.422101	2485.579559	2890.901	1851.353098	1416.355563	1824.091976	1620.5046	2148.579341	2794.311	2295.290008	2059.512	2510.313462	2066.368929	2404.7936	1512.430714	3403.178947	3008.764385	1982.297769	2283.874422	839.9805714	2466.340857	1820.468258	2809.524	1843.298462
trans-Cinnamaldehyde	675.9845714	632.9675385	1082.755227	908.2108636	885.108	1410.0552	1026.542647	724.7998333	841.4176087	1166.841773	1025.443529	713.4428571	1084.515122	2073.052689	915.057	1119.568956	986.8357692	774.1136667	1022.457143	1307.486316	1257.909714	967.8925714	1334.285878	1385.635905	602.4268	819.0696	2107.898211	2679.672709	730.33725	971.8942609	2637.146478	1115.77639	2238.865628	656.998	778.61225	2690.203949	770.5405333	974.2901667	852.93
DL-Ornithine	4579.102353	5034.6979	2488.177174	4406.357813	3423.254	3648.761591	5883.8312	7063.309375	5105.385429	3204.711111	3335.616444	3535.645091	1647.0075	5158.7935	1641.921214	2045.324308	4065.8555	3836.853813	6419.55375	4364.239654	5495.157267	4299.121667	4740.818133	3180.869143	4394.195455	3319.462824	3012.494625	4378.530214	12199.21763	2702.817	4411.695882	3470.376	5861.935455	5814.778387	4895.171867	5430.72768	3922.9482	1978.960235	2210.009846
2-Phenylacetamide	26149.3407	36053.22375	32319.84462	51287.893	28922.9459	36739.88267	33694.61288	35330.1345	38336.03163	24024.714	30231.54978	41544.11789	27198.4189	38142.45206	17627.42625	14757.63712	32553.65333	35225.56218	38360.27654	30816.895	21465.65667	23757.35267	29766.726	17772.32427	21438.32891	20852.23846	29860.55433	26755.2306	42639.11363	16033.18215	39075.685	32646.73263	33580.02294	35811.52531	33008.94067	29592.65231	29065.04354	11857.13333	19065.65
2-Phenylacetamide	27549.36395	26022.96078	30785.56003	52461.69713	26690.29673	35300.54691	34373.55783	30645.99273	35111.38827	22727.48833	28339.18409	35863.02614	26143.12873	31444.14477	19058.98218	20678.10995	32785.17845	32939.29909	38943.33211	28860.47722	18688.33623	23662.13793	30610.71218	21781.32445	25480.78609	30491.25705	13163.9833	26126.34067	43418.96962	15943.12173	41939.89482	35038.82078	28776.06	34082.19055	37493.37371	38124.22133	35591.01913	15320.44145	20575.28441
Hypoxanthine	46953.9619	12868.706	37036.8115	48010.07029	50241.26212	52261.17722	65341.941	80816.28368	44393.5	41384.903	32183.94225	37464.47143	66432.70271	51412.11238	16899.817	24279.68562	37234.66021	50042.73525	61619.27665	45804.81795	49753.03667	69398.388	52890.07124	5300.563182	7709.751125	4045.878737	85480.538	55267.47571	69189.44644	25867.1213	35175.72813	34310.166	30224.13469	34887.53077	38996.55728	10104.28109	7253.877273	14906.97731	9180.62775
Hypoxanthine	19330.66545	5297.598136	17968.2945	34136.87657	26893.69627	25664.68104	29640.85352	28141.87211	24021.888	20211.87727	19088.21552	19846.10667	31464.38676	19740.39628	12796.08655	28926.35076	19255.65571	24183.73818	16407.59189	26640.96882	15393.75508	42353.09986	12348.29179	6105.044545	5080.524273	8655.538727	23331.41787	31297.88	33253.43345	14528.97352	18768.65136	13479.44571	14825.11982	8888.4255	17591.788	7550.127	4443.675333	9278.826818	5539.400727
Trigonelline	5361.3534	7750.388739	5913.056773	7771.562333	5957.322	7454.252478	10935.27273	7053.157647	5746.17375	11814.669	7845.723368	5276.281091	16553.73	6028.843631	3680.9445	4265.027375	6431.74	5450.781875	7254.106813	4244.294353	5761.269353	5817.338947	5425.827654	1752.062	1772.066778	506.1893728	7219.9275	4156.793412	5436.716813	2773.9689	3046.9054	4238.435563	5844.736	7918.384091	6768.663909	2750.295	2336.290714	176.2120595	3746.436333
Isophorone	16128.70445	61805.86565	13942.69155	20369.0835	17408.07056	20162.13148	19093.56429	15292.6594	12238.8196	67101.54549	14491.7648	17065.41717	17937.53764	4399.302	23783.80714	41333.58709	13513.3544	16225.29319	17805.73686	15377.6145	17155.13861	24125.22764	15836.92957	48151.593	19365.61159	28010.0611	16994.54217	13606.63914	17696.16938	34275.336	16981.01854	50130.87408	33130.836	46774.73088	14855.55509	16623.28773	17267.27086	23465.385	15872.14952
1-Naphthalenamine	9920.164	11653.14118	10037.61995	15053.643	13122.29805	13179.95089	13099.75491	12554.78733	13113.57	9272.36545	10555.51362	10747.67571	12471.83625	9812.690875	6317.9365	3668.309	10539.72471	9692.342	5823.009	9794.513333	8331.988727	10096.93835	10500.1657	11631.56745	12165.91883	7589.020235	10064.329	6587.114182	9817.5875	5839.060174	5678.973182	10995.65312	10704.21753	11651.54963	11620.01595	13014.8304	11842.09843	8053.410263	10207.40482
