Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Amyloid Precursor Protein Catabolic Process (GO:0042987)	2/13	7.36129304247207e-05	0.0192865877712768	0	0	201.707070707071	1919.58363500098	ADAM19;ABCG1
Camera-Type Eye Development (GO:0043010)	2/26	0.000304341581174277	0.0398687471338303	0	0	92.3888888888889	748.106080866866	FBN2;CYP1B1
Icosanoid Metabolic Process (GO:0006690)	2/52	0.00122252374335008	0.0565645906001687	0	0	44.2888888888889	297.038399206162	CYP4F3;CYP1B1
Sterol Metabolic Process (GO:0016125)	2/60	0.00162407692482082	0.0565645906001687	0	0	38.1647509578544	245.125160526727	CYP1B1;ABCG1
Negative Regulation Of Cell Adhesion (GO:0007162)	2/72	0.00232849062320393	0.0565645906001687	0	0	31.6031746031746	191.595352854511	JAG1;CYP1B1
Negative Regulation Of NF-kappaB Transcription Factor Activity (GO:0032088)	2/81	0.00293575441537543	0.0565645906001687	0	0	27.9901547116737	163.204737079324	CYP1B1;NLRP3
Protein Complex Oligomerization (GO:0051259)	2/100	0.00443449984753605	0.0565645906001687	0	0	22.5419501133787	122.139959975335	NACC2;NLRP3
Osmosensory Signaling Pathway (GO:0007231)	1/5	0.00499044069595166	0.0565645906001687	0	0	262.842105263158	1393.12388948095	NLRP3
Regulation Of Immature T Cell Proliferation In Thymus (GO:0033084)	1/5	0.00499044069595166	0.0565645906001687	0	0	262.842105263158	1393.12388948095	TMEM131L
Regulation Of Type 2 Immune Response (GO:0002828)	1/5	0.00499044069595166	0.0565645906001687	0	0	262.842105263158	1393.12388948095	NLRP3
Positive Regulation Of T-helper 2 Cell Differentiation (GO:0045630)	1/5	0.00499044069595166	0.0565645906001687	0	0	262.842105263158	1393.12388948095	NLRP3
Response To Bile Acid (GO:1903412)	1/5	0.00499044069595166	0.0565645906001687	0	0	262.842105263158	1393.12388948095	GPBAR1
Negative Regulation Of T Cell Differentiation In Thymus (GO:0033085)	1/5	0.00499044069595166	0.0565645906001687	0	0	262.842105263158	1393.12388948095	TMEM131L
Negative Regulation Of Canonical Wnt Signaling Pathway (GO:0090090)	2/114	0.00572213976347082	0.0565645906001687	0	0	19.7103174603175	101.772498745837	TLE4;TMEM131L
Regulation Of Potassium Ion Export Across Plasma Membrane (GO:1903764)	1/6	0.00598569086674517	0.0565645906001687	0	0	210.263157894737	1076.20748088462	KCNE3
Maintenance Of Protein Location In Extracellular Region (GO:0071694)	1/6	0.00598569086674517	0.0565645906001687	0	0	210.263157894737	1076.20748088462	FBN2
Glomerular Epithelial Cell Development (GO:0072310)	1/6	0.00598569086674517	0.0565645906001687	0	0	210.263157894737	1076.20748088462	JAG1
Podocyte Development (GO:0072015)	1/6	0.00598569086674517	0.0565645906001687	0	0	210.263157894737	1076.20748088462	JAG1
Negative Regulation Of Acute Inflammatory Response (GO:0002674)	1/6	0.00598569086674517	0.0565645906001687	0	0	210.263157894737	1076.20748088462	NLRP3
Protein Maturation (GO:0051604)	2/117	0.00601783802246824	0.0565645906001687	0	0	19.1932367149758	98.1355416991869	ADAM19;NLRP3
Positive Regulation Of T-helper 2 Cell Cytokine Production (GO:2000553)	1/7	0.00697999589418079	0.0565645906001687	0	0	175.210526315789	869.868917789248	NLRP3
Regulation Of T-helper 2 Cell Differentiation (GO:0045628)	1/7	0.00697999589418079	0.0565645906001687	0	0	175.210526315789	869.868917789248	NLRP3
Positive Regulation Of Cardiac Epithelial To Mesenchymal Transition (GO:0062043)	1/7	0.00697999589418079	0.0565645906001687	0	0	175.210526315789	869.868917789248	JAG1
Protein Homooligomerization (GO:0051260)	2/129	0.00726914161333907	0.0565645906001687	0	0	17.3692038495188	85.5279931130271	NACC2;NLRP3
Negative Regulation Of Cell Motility (GO:2000146)	2/133	0.00771030598179584	0.0565645906001687	0	0	16.8354537743851	81.9078060292697	JAG1;CYP1B1
Negative Regulation Of Cholesterol Storage (GO:0010887)	1/8	0.0079733565142536	0.0565645906001687	0	0	150.172932330827	725.583008139666	ABCG1
Negative Regulation Of Wnt Signaling Pathway (GO:0030178)	2/140	0.00851086698953342	0.0565645906001687	0	0	15.975845410628	76.1474526911422	TLE4;TMEM131L
Negative Regulation Of Potassium Ion Transmembrane Transporter Activity (GO:1901017)	1/9	0.00896577349631742	0.0565645906001687	0	0	131.394736842105	619.439581424405	KCNE3
Negative Regulation Of Cell Adhesion Mediated By Integrin (GO:0033629)	1/9	0.00896577349631742	0.0565645906001687	0	0	131.394736842105	619.439581424405	CYP1B1
Embryonic Eye Morphogenesis (GO:0048048)	1/9	0.00896577349631742	0.0565645906001687	0	0	131.394736842105	619.439581424405	FBN2
Sequestering Of Extracellular Ligand From Receptor (GO:0035581)	1/9	0.00896577349631742	0.0565645906001687	0	0	131.394736842105	619.439581424405	FBN2
Negative Regulation Of Delayed Rectifier Potassium Channel Activity (GO:1902260)	1/9	0.00896577349631742	0.0565645906001687	0	0	131.394736842105	619.439581424405	KCNE3
Negative Regulation Of DNA-binding Transcription Factor Activity (GO:0043433)	2/149	0.0095928139492284	0.0565645906001687	0	0	14.9909297052154	69.6589678057452	CYP1B1;NLRP3
Omega-Hydroxylase P450 Pathway (GO:0097267)	1/10	0.0099572476243862	0.0565645906001687	0	0	116.789473684211	538.335775363175	CYP1B1
Notch Signaling Involved In Heart Development (GO:0061314)	1/10	0.0099572476243862	0.0565645906001687	0	0	116.789473684211	538.335775363175	JAG1
Regulation Of T-helper 2 Cell Cytokine Production (GO:2000551)	1/10	0.0099572476243862	0.0565645906001687	0	0	116.789473684211	538.335775363175	NLRP3
Cellular Response To Organic Cyclic Compound (GO:0071407)	2/152	0.00996646428845589	0.0565645906001687	0	0	14.6888888888889	67.6941761944541	GPBAR1;CYP1B1
Phospholipid Efflux (GO:0033700)	1/11	0.010947779702856	0.0565645906001687	0	0	105.105263157895	474.510177076512	ABCG1
Podocyte Differentiation (GO:0072112)	1/11	0.010947779702856	0.0565645906001687	0	0	105.105263157895	474.510177076512	JAG1
Negative Regulation Of Potassium Ion Transmembrane Transport (GO:1901380)	1/11	0.010947779702856	0.0565645906001687	0	0	105.105263157895	474.510177076512	KCNE3
Negative Regulation Of Voltage-Gated Potassium Channel Activity (GO:1903817)	1/11	0.010947779702856	0.0565645906001687	0	0	105.105263157895	474.510177076512	KCNE3
Intrinsic Apoptotic Signaling Pathway In Response To Oxidative Stress (GO:0008631)	1/11	0.010947779702856	0.0565645906001687	0	0	105.105263157895	474.510177076512	CYP1B1
Negative Regulation Of Cell Migration (GO:0030336)	2/163	0.0113913007147331	0.0565645906001687	0	0	13.6777087646653	61.2064515808089	JAG1;CYP1B1
Cardiac Right Ventricle Morphogenesis (GO:0003215)	1/12	0.0119373705403343	0.0565645906001687	0	0	95.5454545454545	423.083051849273	JAG1
Negative Regulation Of Macrophage Derived Foam Cell Differentiation (GO:0010745)	1/12	0.0119373705403343	0.0565645906001687	0	0	95.5454545454545	423.083051849273	ABCG1
Phospholipid Homeostasis (GO:0055091)	1/12	0.0119373705403343	0.0565645906001687	0	0	95.5454545454545	423.083051849273	ABCG1
Positive Regulation Of T-helper Cell Differentiation (GO:0045624)	1/12	0.0119373705403343	0.0565645906001687	0	0	95.5454545454545	423.083051849273	NLRP3
Negative Regulation Of Stem Cell Differentiation (GO:2000737)	1/12	0.0119373705403343	0.0565645906001687	0	0	95.5454545454545	423.083051849273	JAG1
Endothelium Development (GO:0003158)	1/12	0.0119373705403343	0.0565645906001687	0	0	95.5454545454545	423.083051849273	JAG1
Regulation Of Transcription By RNA Polymerase II (GO:0006357)	6/2028	0.0119730756764534	0.0565645906001687	0	0	3.80627384484951	16.8431227644584	ESRRA;JAG1;NACC2;NLRP3;ARID3A;RCOR1
Positive Regulation Of Type 2 Immune Response (GO:0002830)	1/13	0.0129260209528939	0.0565645906001687	0	0	87.5789473684211	380.838179873743	NLRP3
Potassium Ion Export Across Plasma Membrane (GO:0097623)	1/13	0.0129260209528939	0.0565645906001687	0	0	87.5789473684211	380.838179873743	KCNE3
Endothelial Cell Differentiation (GO:0045446)	1/13	0.0129260209528939	0.0565645906001687	0	0	87.5789473684211	380.838179873743	JAG1
Regulation Of Cholesterol Storage (GO:0010885)	1/14	0.01391373176082	0.0565645906001687	0	0	80.8380566801619	345.572913330578	ABCG1
Cardiac Cell Development (GO:0055006)	1/14	0.01391373176082	0.0565645906001687	0	0	80.8380566801619	345.572913330578	JAG1
Aorta Development (GO:0035904)	1/14	0.01391373176082	0.0565645906001687	0	0	80.8380566801619	345.572913330578	JAG1
Regulation Of Cholesterol Biosynthetic Process (GO:0045540)	1/15	0.0149005037888986	0.0565645906001687	0	0	75.0601503759399	315.730033295706	ABCG1
Membrane Repolarization During Action Potential (GO:0086011)	1/15	0.0149005037888986	0.0565645906001687	0	0	75.0601503759399	315.730033295706	KCNE3
Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage (GO:1902229)	1/15	0.0149005037888986	0.0565645906001687	0	0	75.0601503759399	315.730033295706	NACC2
High-Density Lipoprotein Particle Remodeling (GO:0034375)	1/15	0.0149005037888986	0.0565645906001687	0	0	75.0601503759399	315.730033295706	ABCG1
Intracellular Sterol Transport (GO:0032366)	1/15	0.0149005037888986	0.0565645906001687	0	0	75.0601503759399	315.730033295706	ABCG1
Nitric Oxide Biosynthetic Process (GO:0006809)	1/15	0.0149005037888986	0.0565645906001687	0	0	75.0601503759399	315.730033295706	CYP1B1
Lymphocyte Mediated Immunity (GO:0002449)	1/16	0.0158863378646896	0.0565645906001687	0	0	70.0526315789474	290.178721072392	JAG1
Cell Surface Receptor Signaling Pathway Involved In Heart Development (GO:0061311)	1/16	0.0158863378646896	0.0565645906001687	0	0	70.0526315789474	290.178721072392	JAG1
Innate Immune Response-Activating Signaling Pathway (GO:0002758)	1/16	0.0158863378646896	0.0565645906001687	0	0	70.0526315789474	290.178721072392	NLRP3
Intracellular Cholesterol Transport (GO:0032367)	1/16	0.0158863378646896	0.0565645906001687	0	0	70.0526315789474	290.178721072392	ABCG1
Retinal Metabolic Process (GO:0042574)	1/16	0.0158863378646896	0.0565645906001687	0	0	70.0526315789474	290.178721072392	CYP1B1
Reverse Cholesterol Transport (GO:0043691)	1/16	0.0158863378646896	0.0565645906001687	0	0	70.0526315789474	290.178721072392	ABCG1
Nitric Oxide Metabolic Process (GO:0046209)	1/16	0.0158863378646896	0.0565645906001687	0	0	70.0526315789474	290.178721072392	CYP1B1
Epoxygenase P450 Pathway (GO:0019373)	1/17	0.0168712348172724	0.0565645906001687	0	0	65.6710526315789	268.078771560398	CYP1B1
Regulation Of Delayed Rectifier Potassium Channel Activity (GO:1902259)	1/17	0.0168712348172724	0.0565645906001687	0	0	65.6710526315789	268.078771560398	KCNE3
Membrane Lipid Metabolic Process (GO:0006643)	1/17	0.0168712348172724	0.0565645906001687	0	0	65.6710526315789	268.078771560398	CYP1B1
Ventricular Cardiac Muscle Cell Action Potential (GO:0086005)	1/17	0.0168712348172724	0.0565645906001687	0	0	65.6710526315789	268.078771560398	KCNE3
