Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Cellular Response To Prostaglandin Stimulus (GO:0071379)	2/9	3.40565980013241e-05	0.0059258480522304	0	0	317.031746031746	3261.45989304756	PTGER2;AKR1C3
Regulation Of Natural Killer Cell Activation (GO:0032814)	2/16	0.000113047430261891	0.00983512643278454	0	0	158.460317460317	1440.0403167035	ZNF683;KLRD1
Natural Killer Cell Mediated Immunity (GO:0002228)	2/22	0.000216835630439027	0.0125764665654635	0	0	110.888888888889	935.499801438787	NKG7;KLRD1
Cellular Response To Ketone (GO:1901655)	2/44	0.000876366632994734	0.0381219485352709	0	0	52.7460317460317	371.317612333221	PTGER2;AKR1C3
Cellular Response To Alcohol (GO:0097306)	2/53	0.00126970524314654	0.0441857424614994	0	0	43.4183006535948	289.555366108661	PTGER2;AKR1C3
Inflammatory Response (GO:0006954)	3/236	0.00159423656142351	0.0462328602812819	0	0	14.9560716990659	96.337446519338	PTGER2;CCL4;KLRG1
CD4-positive, Alpha-Beta T Cell Activation (GO:0035710)	1/5	0.00499044069595166	0.0744965999302383	0	0	262.842105263158	1393.12388948095	NKG7
Natural Killer Cell Degranulation (GO:0043320)	1/5	0.00499044069595166	0.0744965999302383	0	0	262.842105263158	1393.12388948095	NKG7
Regulation Of Natural Killer Cell Chemotaxis (GO:2000501)	1/6	0.00598569086674517	0.0744965999302383	0	0	210.263157894737	1076.20748088462	CCL4
Neurotrophin TRK Receptor Signaling Pathway (GO:0048011)	1/6	0.00598569086674517	0.0744965999302383	0	0	210.263157894737	1076.20748088462	DDIT4
Cellular Response To Prostaglandin E Stimulus (GO:0071380)	1/6	0.00598569086674517	0.0744965999302383	0	0	210.263157894737	1076.20748088462	PTGER2
Deadenylation-Dependent Decapping Of Nuclear-Transcribed mRNA (GO:0000290)	1/7	0.00697999589418079	0.0744965999302383	0	0	175.210526315789	869.868917789248	PATL2
Negative Regulation Of T Cell Mediated Cytotoxicity (GO:0001915)	1/7	0.00697999589418079	0.0744965999302383	0	0	175.210526315789	869.868917789248	KLRD1
Regulation Of Alpha-Beta T Cell Differentiation (GO:0046637)	1/7	0.00697999589418079	0.0744965999302383	0	0	175.210526315789	869.868917789248	ZNF683
Negative Regulation Of Cellular Biosynthetic Process (GO:0031327)	2/137	0.00816334724446824	0.0744965999302383	0	0	16.3333333333333	78.5323162122673	AKR1C3;PATL2
Primary Alcohol Catabolic Process (GO:0034310)	1/9	0.00896577349631742	0.0744965999302383	0	0	131.394736842105	619.439581424405	AKR1C3
Response To Corticosteroid (GO:0031960)	1/10	0.0099572476243862	0.0744965999302383	0	0	116.789473684211	538.335775363175	AKR1C3
Response To Prostaglandin E (GO:0034695)	1/10	0.0099572476243862	0.0744965999302383	0	0	116.789473684211	538.335775363175	PTGER2
