Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821	3/131	0.000288550497940202	0.0232437218262049	0	0	27.3694852941176	223.078833965261	GPR27;GPBAR1;NLRP3
Signal Transduction R-HSA-162582	9/2465	0.000302512335137969	0.0232437218262049	0	0	5.83787385253183	47.3065598644621	GPR27;TLE4;JAG1;ATP6V1B2;GPBAR1;NLRP3;YWHAG;ABCG1;RCOR1
G Alpha (S) Signaling Events R-HSA-418555	3/153	0.000454820314959666	0.0232437218262049	0	0	23.3294117647059	179.53401082565	GPR27;GPBAR1;NLRP3
Anti-inflammatory Response Favoring Leishmania Infection R-HSA-9662851	3/165	0.000566920044541583	0.0232437218262049	0	0	21.5882352941176	161.378368613467	GPR27;GPBAR1;NLRP3
Disease R-HSA-1643685	7/1736	0.00103195160618192	0.0338480126827671	0	0	5.68389909685456	39.0842152889112	GPR27;JAG1;GPBAR1;CYP1B1;NLRP3;YWHAG;RCOR1
Arachidonic Acid Metabolism R-HSA-2142753	2/59	0.00157088129179789	0.0390077146574378	0	0	38.8362573099415	250.731478697401	CYP4F3;CYP1B1
Leishmania Infection R-HSA-9658195	3/247	0.00181598152358541	0.0390077146574378	0	0	14.2738669238187	90.0842179557438	GPR27;GPBAR1;NLRP3
Cytochrome P450 - Arranged By Substrate Type R-HSA-211897	2/65	0.00190281534914331	0.0390077146574378	0	0	35.1269841269841	220.050207436102	CYP4F3;CYP1B1
Infectious Disease R-HSA-5663205	5/961	0.00214768475674091	0.0391355889006121	0	0	6.63319386331939	40.7501301850007	GPR27;GPBAR1;NLRP3;YWHAG;RCOR1
Signaling By NOTCH1 R-HSA-1980143	2/74	0.00245764076669747	0.0403053085738386	0	0	30.7222222222222	184.596113622593	TLE4;JAG1
Phase I - Functionalization Of Compounds R-HSA-211945	2/104	0.00478675777140461	0.0713662067736688	0	0	21.6535947712418	115.671380591804	CYP4F3;CYP1B1
SARS-CoV Infections R-HSA-9679506	3/369	0.00562480412330955	0.0740509885266475	0	0	9.45708775313404	48.9930971007533	NLRP3;YWHAG;RCOR1
Vasopressin-like Receptors R-HSA-388479	1/6	0.00598569086674517	0.0740509885266475	0	0	210.263157894737	1076.20748088462	NLRP3
Constitutive Signaling By NOTCH1 t(7;9)(NOTCH1:M1580 K2555) Translocation Mutant R-HSA-2660826	1/7	0.00697999589418079	0.0740509885266475	0	0	175.210526315789	869.868917789248	JAG1
Synthesis Of Epoxy (EET) And Dihydroxyeicosatrienoic Acids (DHET) R-HSA-2142670	1/8	0.0079733565142536	0.0740509885266475	0	0	150.172932330827	725.583008139666	CYP1B1
Synthesis Of (16-20)-Hydroxyeicosatetraenoic Acids (HETE) R-HSA-2142816	1/9	0.00896577349631742	0.0740509885266475	0	0	131.394736842105	619.439581424405	CYP1B1
Phase 3 - Rapid Repolarisation R-HSA-5576890	1/9	0.00896577349631742	0.0740509885266475	0	0	131.394736842105	619.439581424405	KCNE3
HDL Remodeling R-HSA-8964058	1/10	0.0099572476243862	0.0740509885266475	0	0	116.789473684211	538.335775363175	ABCG1
Transport Of Organic Anions R-HSA-879518	1/11	0.010947779702856	0.0740509885266475	0	0	105.105263157895	474.510177076512	NLRP3
NOTCH4 Activation And Transmission Of Signal To Nucleus R-HSA-9013700	1/11	0.010947779702856	0.0740509885266475	0	0	105.105263157895	474.510177076512	JAG1
Regulation Of Localization Of FOXO Transcription Factors R-HSA-9614399	1/12	0.0119373705403343	0.0740509885266475	0	0	95.5454545454545	423.083051849273	YWHAG
Miscellaneous Substrates R-HSA-211958	1/12	0.0119373705403343	0.0740509885266475	0	0	95.5454545454545	423.083051849273	CYP4F3
Eicosanoids R-HSA-211979	1/12	0.0119373705403343	0.0740509885266475	0	0	95.5454545454545	423.083051849273	CYP4F3
Fatty Acid Metabolism R-HSA-8978868	2/173	0.0127601429711819	0.0740509885266475	0	0	12.8713450292398	56.1374548600871	CYP4F3;CYP1B1
Chk1/Chk2(Cds1) Mediated Inactivation Of Cyclin B:Cdk1 Complex R-HSA-75035	1/13	0.0129260209528939	0.0740509885266475	0	0	87.5789473684211	380.838179873743	YWHAG
SARS-CoV-2 Targets Host Intracellular Signaling And Regulatory Pathways R-HSA-9755779	1/13	0.0129260209528939	0.0740509885266475	0	0	87.5789473684211	380.838179873743	YWHAG
Repression Of WNT Target Genes R-HSA-4641265	1/14	0.01391373176082	0.0740509885266475	0	0	80.8380566801619	345.572913330578	TLE4
TP53 Regulates Transcription Of Genes Involved In G1 Cell Cycle Arrest R-HSA-6804116	1/14	0.01391373176082	0.0740509885266475	0	0	80.8380566801619	345.572913330578	ARID3A
RUNX3 Regulates NOTCH Signaling R-HSA-8941856	1/14	0.01391373176082	0.0740509885266475	0	0	80.8380566801619	345.572913330578	JAG1
Fatty Acids R-HSA-211935	1/15	0.0149005037888986	0.0740509885266475	0	0	75.0601503759399	315.730033295706	CYP4F3
Constitutive Signaling By NOTCH1 HD Domain Mutants R-HSA-2691232	1/15	0.0149005037888986	0.0740509885266475	0	0	75.0601503759399	315.730033295706	JAG1
Activation Of BAD And Translocation To Mitochondria R-HSA-111447	1/15	0.0149005037888986	0.0740509885266475	0	0	75.0601503759399	315.730033295706	YWHAG
Phase 2 - Plateau Phase R-HSA-5576893	1/15	0.0149005037888986	0.0740509885266475	0	0	75.0601503759399	315.730033295706	KCNE3
NLRP3 Inflammasome R-HSA-844456	1/16	0.0158863378646896	0.0757521820454165	0	0	70.0526315789474	290.178721072392	NLRP3
SARS-CoV-2-host Interactions R-HSA-9705683	2/196	0.0161666242170096	0.0757521820454165	0	0	11.3321878579611	46.7430809510973	NLRP3;YWHAG
Signaling By NOTCH R-HSA-157118	2/203	0.0172729137884516	0.078687718369613	0	0	10.9336650082919	44.3755442578229	TLE4;JAG1
ABC Transporters In Lipid Homeostasis R-HSA-1369062	1/18	0.0178551954764704	0.0791419475173284	0	0	61.8049535603715	248.793414712821	ABCG1
Biological Oxidations R-HSA-211859	2/218	0.0197495239828731	0.0832058720439812	0	0	10.1666666666667	39.9003632155945	CYP4F3;CYP1B1
Synthesis Of Leukotrienes (LT) And Eoxins (EX) R-HSA-2142691	1/21	0.0208014680109953	0.0832058720439812	0	0	52.5263157894737	203.420329151527	CYP4F3
NOTCH2 Activation And Transmission Of Signal To Nucleus R-HSA-2979096	1/21	0.0208014680109953	0.0832058720439812	0	0	52.5263157894737	203.420329151527	JAG1
Inflammasomes R-HSA-622312	1/21	0.0208014680109953	0.0832058720439812	0	0	52.5263157894737	203.420329151527	NLRP3
GPCR Downstream Signaling R-HSA-388396	3/619	0.0227233281613501	0.0887291861538433	0	0	5.54736440030558	20.9932417483272	GPR27;GPBAR1;NLRP3
Chromatin Modifying Enzymes R-HSA-3247509	2/238	0.0232701457172824	0.0887512534333562	0	0	9.29566854990584	34.9571427867847	PADI4;RCOR1
NOTCH3 Activation And Transmission Of Signal To Nucleus R-HSA-9013507	1/25	0.0247167737784927	0.0900789088816179	0	0	43.7631578947368	161.935638794938	JAG1
Cell Recruitment (Pro-Inflammatory Response) R-HSA-9664424	1/25	0.0247167737784927	0.0900789088816179	0	0	43.7631578947368	161.935638794938	NLRP3
Insulin Receptor Recycling R-HSA-77387	1/26	0.0256932740553108	0.090346811207151	0	0	42.0105263157895	153.822635691485	ATP6V1B2
BMAL1:CLOCK,NPAS2 Activates Circadian Gene Expression R-HSA-1368108	1/27	0.0266688455361458	0.090346811207151	0	0	40.3927125506073	146.393661234119	NLRP3
Endogenous Sterols R-HSA-211976	1/27	0.0266688455361458	0.090346811207151	0	0	40.3927125506073	146.393661234119	CYP1B1
Generic Transcription Pathway R-HSA-212436	4/1190	0.0281226614674025	0.090346811207151	0	0	3.96163575042159	14.147712654658	ESRRA;JAG1;ARID3A;YWHAG
Activation Of BH3-only Proteins R-HSA-114452	1/30	0.0295899955032417	0.090346811207151	0	0	36.2087114337568	127.46621354177	YWHAG
Signaling By GPCR R-HSA-372790	3/689	0.0299891311469157	0.090346811207151	0	0	4.96329960555651	17.4058959335846	GPR27;GPBAR1;NLRP3
Organelle Biogenesis And Maintenance R-HSA-1852241	2/275	0.0304095781275812	0.090346811207151	0	0	8.02075702075702	28.0164854263925	ESRRA;YWHAG
Activated NOTCH1 Transmits Signal To Nucleus R-HSA-2122948	1/31	0.0305618601074185	0.090346811207151	0	0	35	122.080085720138	JAG1
Metalloprotease DUBs R-HSA-5689901	1/31	0.0305618601074185	0.090346811207151	0	0	35	122.080085720138	NLRP3
Transferrin Endocytosis And Recycling R-HSA-917977	1/31	0.0305618601074185	0.090346811207151	0	0	35	122.080085720138	ATP6V1B2
Signaling By NOTCH2 R-HSA-1980145	1/32	0.0315328000758389	0.090346811207151	0	0	33.8692699490662	117.076819992966	JAG1
Transport Of Small Molecules R-HSA-382551	3/706	0.0319211868562961	0.090346811207151	0	0	4.8390092879257	16.6678964792035	ATP6V1B2;NLRP3;ABCG1
SARS-CoV-2 Infection R-HSA-9694516	2/283	0.032055350891531	0.090346811207151	0	0	7.78924476077501	26.7972698550673	NLRP3;YWHAG
Plasma Lipoprotein Remodeling R-HSA-8963899	1/33	0.0325028162269628	0.090346811207151	0	0	32.8092105263158	112.418415330875	ABCG1
Metabolic Disorders Of Biological Oxidation Enzymes R-HSA-5579029	1/34	0.0334719094011011	0.0907002659053479	0	0	31.8133971291866	108.071659909081	CYP1B1
Extracellular Matrix Organization R-HSA-1474244	2/291	0.0337360745135745	0.0907002659053479	0	0	7.57054978854287	25.6580131188624	FBN2;ADAM19
Metabolism Of Lipids R-HSA-556833	3/732	0.0350023625019918	0.0907312834449448	0	0	4.66013071895425	15.622341308209	ESRRA;CYP4F3;CYP1B1
NR1H3 And NR1H2 Regulate Gene Expression Linked To Cholesterol Transport And Efflux R-HSA-9029569	1/36	0.0354073301248565	0.0907312834449448	0	0	29.9924812030075	100.199973367323	ABCG1
ROS And RNS Production In Phagocytes R-HSA-1222556	1/36	0.0354073301248565	0.0907312834449448	0	0	29.9924812030075	100.199973367323	ATP6V1B2
Elastic Fibre Formation R-HSA-1566948	1/39	0.0383035595748703	0.0954396844556338	0	0	27.6204986149584	90.1039343967808	FBN2
RNA Polymerase II Transcription R-HSA-73857	4/1312	0.038408653500438	0.0954396844556338	0	0	3.56880733944954	11.6324293564746	ESRRA;JAG1;ARID3A;YWHAG
Deactivation Of Beta-Catenin Transactivating Complex R-HSA-3769402	1/42	0.0411915269172123	0.098756935526976	0	0	25.5956354300385	81.637860253859	TLE4
Vasopressin Regulates Renal Water Homeostasis Via Aquaporins R-HSA-432040	1/42	0.0411915269172123	0.098756935526976	0	0	25.5956354300385	81.637860253859	NLRP3
Class A/1 (Rhodopsin-like Receptors) R-HSA-373076	2/327	0.0417158802828728	0.098756935526976	0	0	6.71965811965812	21.3475031410677	GPBAR1;NLRP3
Transport Of Vitamins, Nucleosides, And Related Molecules R-HSA-425397	1/43	0.0421523505298068	0.098756935526976	0	0	24.984962406015	79.1140047439502	NLRP3
NR1H2 And NR1H3-mediated Signaling R-HSA-9024446	1/46	0.0450293363875486	0.104011424895183	0	0	23.3157894736842	72.2892315410458	ABCG1
NOTCH1 Intracellular Domain Regulates Transcription R-HSA-2122947	1/48	0.0469427643840033	0.105233907606528	0	0	22.3213885778275	68.277248167224	TLE4
TP53 Regulates Transcription Of Cell Cycle Genes R-HSA-6791312	1/49	0.0478981120694179	0.105233907606528	0	0	21.8552631578947	66.4111333354799	ARID3A
Signaling By NOTCH3 R-HSA-9012852	1/49	0.0478981120694179	0.105233907606528	0	0	21.8552631578947	66.4111333354799	JAG1
Transcriptional Regulation By TP53 R-HSA-3700989	2/354	0.0481252626249366	0.105233907606528	0	0	6.19570707070707	18.7974532569668	ARID3A;YWHAG
Aquaporin-mediated Transport R-HSA-445717	1/50	0.0488525499820278	0.105418660487534	0	0	21.4081632653061	64.6301466936404	NLRP3
Translocation Of SLC2A4 (GLUT4) To Plasma Membrane R-HSA-1445148	1/51	0.0498060789247287	0.105896957635389	0	0	20.9789473684211	62.9288330908361	YWHAG
Transcriptional Activation Of Mitochondrial Biogenesis R-HSA-2151201	1/52	0.0507586997365512	0.105896957635389	0	0	20.5665634674923	61.302185054186	ESRRA
Nucleotide-binding Domain, Leucine Rich Repeat Containing NLR Signaling Pathways R-HSA-168643	1/53	0.0517104132281891	0.105896957635389	0	0	20.17004048583	59.7455982870142	NLRP3
Nuclear Receptor Transcription Pathway R-HSA-383280	1/53	0.0517104132281891	0.105896957635389	0	0	20.17004048583	59.7455982870142	ESRRA
Gene Expression (Transcription) R-HSA-74160	4/1449	0.0523027656613812	0.105896957635389	0	0	3.20674740484429	9.4621688996543	ESRRA;JAG1;ARID3A;YWHAG
Intrinsic Pathway For Apoptosis R-HSA-109606	1/55	0.0536111215176	0.105930408781764	0	0	19.4210526315789	56.8259755572198	YWHAG
Amino Acids Regulate mTORC1 R-HSA-9639288	1/55	0.0536111215176	0.105930408781764	0	0	19.4210526315789	56.8259755572198	ATP6V1B2
Cytoprotection By HMOX1 R-HSA-9707564	1/57	0.0555082103235645	0.108373172536483	0	0	18.7255639097744	54.1398060702703	NLRP3
Constitutive Signaling By NOTCH1 HD+PEST Domain Mutants R-HSA-2894862	1/58	0.0564553994621354	0.108737723755286	0	0	18.3961218836565	52.8760530174289	JAG1
Iron Uptake And Transport R-HSA-917937	1/59	0.0574016861834188	0.108737723755286	0	0	18.0780399274047	51.6612820658813	ATP6V1B2
Formation Of beta-catenin:TCF Transactivating Complex R-HSA-201722	1/60	0.058347071283324	0.108737723755286	0	0	17.7707404103479	50.4928242032279	TLE4
HDACs Deacetylate Histones R-HSA-3214815	1/60	0.058347071283324	0.108737723755286	0	0	17.7707404103479	50.4928242032279	RCOR1
Regulation Of PTEN Gene Transcription R-HSA-8943724	1/61	0.0592915555925577	0.10925634963123	0	0	17.4736842105263	49.3681970360476	RCOR1
RHO GTPases Activate PKNs R-HSA-5625740	1/62	0.0602351399190366	0.109761810519133	0	0	17.1863675582399	48.2850889542995	YWHAG
FOXO-mediated Transcription R-HSA-9614085	1/65	0.0630605011079274	0.113647496502199	0	0	16.3782894736842	45.2640345973959	YWHAG
Circadian Clock R-HSA-400253	1/69	0.0668150987603724	0.117824475233345	0	0	15.4117647058824	41.7015566467034	NLRP3
Loss Of Nlp From Mitotic Centrosomes R-HSA-380259	1/69	0.0668150987603724	0.117824475233345	0	0	15.4117647058824	41.7015566467034	YWHAG
Plasma Lipoprotein Assembly, Remodeling, And Clearance R-HSA-174824	1/71	0.0686870333104677	0.118937006513926	0	0	14.9699248120301	40.092375405172	ABCG1
AURKA Activation By TPX2 R-HSA-8854518	1/72	0.0696216623496152	0.118937006513926	0	0	14.7583395107487	39.3262450348165	YWHAG
Regulation Of RUNX2 Expression And Activity R-HSA-8939902	1/72	0.0696216623496152	0.118937006513926	0	0	14.7583395107487	39.3262450348165	ESRRA
G2/M DNA Damage Checkpoint R-HSA-69473	1/77	0.0742814572247087	0.124183540197955	0	0	13.7839335180055	35.8367650118558	YWHAG
Signaling By Insulin Receptor R-HSA-74752	1/77	0.0742814572247087	0.124183540197955	0	0	13.7839335180055	35.8367650118558	ATP6V1B2
GPCR Ligand Binding R-HSA-500792	2/458	0.0758090923047026	0.124183540197955	0	0	4.75730994152047	12.2716572157495	GPBAR1;NLRP3
Recruitment Of NuMA To Mitotic Centrosomes R-HSA-380320	1/80	0.0770666828500711	0.124183540197955	0	0	13.2584943371086	33.9826376278017	YWHAG
TP53 Regulates Metabolic Genes R-HSA-5628897	1/81	0.0779933209779837	0.124183540197955	0	0	13.0921052631579	33.3996897897899	YWHAG
Signaling By NOTCH4 R-HSA-9013694	1/81	0.0779933209779837	0.124183540197955	0	0	13.0921052631579	33.3996897897899	JAG1
Centrosome Maturation R-HSA-380287	1/81	0.0779933209779837	0.124183540197955	0	0	13.0921052631579	33.3996897897899	YWHAG
Degradation Of Beta-Catenin By Destruction Complex R-HSA-195253	1/84	0.0807679353123667	0.127364821069501	0	0	12.6169942929613	31.7465685474136	TLE4
Regulation Of PLK1 Activity At G2/M Transition R-HSA-2565942	1/87	0.0835346163259223	0.130473115023345	0	0	12.1750305997552	30.2244424378913	YWHAG
Mitochondrial Biogenesis R-HSA-1592230	1/89	0.0853746735440269	0.132089117558683	0	0	11.8971291866029	29.2753346130257	ESRRA
RAC3 GTPase Cycle R-HSA-9013423	1/93	0.0890442642622752	0.136479059243113	0	0	11.3775743707094	27.5180480573171	JAG1
Transcriptional Regulation By RUNX3 R-HSA-8878159	1/95	0.0908738104379916	0.137993563998432	0	0	11.1343784994401	26.7033954953546	JAG1
Anchoring Of Basal Body To Plasma Membrane R-HSA-5620912	1/97	0.0926998655948556	0.138207072341421	0	0	10.9013157894737	25.9275614519572	YWHAG
Potential Therapeutics For SARS R-HSA-9679191	1/97	0.0926998655948556	0.138207072341421	0	0	10.9013157894737	25.9275614519572	RCOR1
SLC Transporter Disorders R-HSA-5619102	1/99	0.0945224360353158	0.139654770358485	0	0	10.6777658431794	25.1879746270486	NLRP3
ABC-family Proteins Mediated Transport R-HSA-382556	1/102	0.0972497716409989	0.142401451331463	0	0	10.3590411672746	24.1414620651458	ABCG1
Cargo Recognition For Clathrin-Mediated Endocytosis R-HSA-8856825	1/104	0.0990636578243203	0.143773804276005	0	0	10.1568727644354	23.4826149464007	NLRP3
PPARA Activates Gene Expression R-HSA-1989781	1/116	0.109874476796727	0.158065036795292	0	0	9.09153318077803	20.0778935667763	ESRRA
Regulation Of Lipid Metabolism By PPARalpha R-HSA-400206	1/118	0.111664255122004	0.159133528640993	0	0	8.93522267206478	19.5883190315039	ESRRA
Transcriptional Regulation By RUNX2 R-HSA-8878166	1/119	0.112557861721678	0.159133528640993	0	0	8.85905441570027	19.3507250391397	ESRRA
SARS-CoV-2 Activates/Modulates Innate And Adaptive Immune Responses R-HSA-9705671	1/121	0.114342513702119	0.160274976471346	0	0	8.71052631578947	18.8892713257411	NLRP3
Cardiac Conduction R-HSA-5576891	1/126	0.118789239207887	0.164602589224571	0	0	8.36	17.8101812455917	KCNE3
Membrane Trafficking R-HSA-199991	2/599	0.119437244620268	0.164602589224571	0	0	3.60748185371301	7.66576977386968	NLRP3;YWHAG
Factors Involved In Megakaryocyte Development And Platelet Production R-HSA-983231	1/136	0.127619140714562	0.174412825643235	0	0	7.73684210526316	15.9278748587899	RCOR1
PTEN Regulation R-HSA-6807070	1/139	0.130251677909176	0.176539464273594	0	0	7.5675057208238	15.4247463856095	RCOR1
Vesicle-mediated Transport R-HSA-5653656	2/637	0.132120094864512	0.177168889527539	0	0	3.38495188101487	6.85129141115495	NLRP3;YWHAG
Clathrin-mediated Endocytosis R-HSA-8856828	1/142	0.132876667145655	0.177168889527539	0	0	7.4053751399776	14.9465196552204	NLRP3
Signaling By Rho GTPases R-HSA-194315	2/644	0.134491716790586	0.177876141561743	0	0	3.34683281412253	6.71459225945959	JAG1;YWHAG
G2/M Checkpoints R-HSA-69481	1/148	0.138104083608942	0.181192557694932	0	0	7.10096670247046	14.0581221352864	YWHAG
Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542	2/660	0.139951143760991	0.182158631561925	0	0	3.26274907125971	6.41607170661558	JAG1;YWHAG
Cellular Response To Starvation R-HSA-9711097	1/153	0.142437381264274	0.183934886042054	0	0	6.86565096952909	13.380143154068	ATP6V1B2
Ion Channel Transport R-HSA-983712	1/175	0.161259208804384	0.202649694021551	0	0	5.99092558983666	10.931894837124	ATP6V1B2
Cellular Responses To Stress R-HSA-2262752	2/722	0.161566681215754	0.202649694021551	0	0	2.97222222222222	5.4178776338369	ATP6V1B2;NLRP3
Disorders Of Transmembrane Transporters R-HSA-5619115	1/176	0.162105352128227	0.202649694021551	0	0	5.95639097744361	10.8377059982743	NLRP3
Apoptosis R-HSA-109581	1/178	0.163795206668992	0.202649694021551	0	0	5.88849241748439	10.6530975816179	YWHAG
RAC1 GTPase Cycle R-HSA-9013149	1/178	0.163795206668992	0.202649694021551	0	0	5.88849241748439	10.6530975816179	JAG1
Cellular Responses To Stimuli R-HSA-8953897	2/736	0.166538166464421	0.202649694021551	0	0	2.91341204965183	5.22238073832628	ATP6V1B2;NLRP3
G2/M Transition R-HSA-69275	1/182	0.167165207600393	0.202649694021551	0	0	5.7571968595522	10.2983165046812	YWHAG
Cellular Response To Chemical Stress R-HSA-9711123	1/182	0.167165207600393	0.202649694021551	0	0	5.7571968595522	10.2983165046812	NLRP3
Mitotic G2-G2/M Phases R-HSA-453274	1/184	0.168845365743113	0.202649694021551	0	0	5.69370146678171	10.1277966232034	YWHAG
Cilium Assembly R-HSA-5617833	1/186	0.170522303505939	0.202649694021551	0	0	5.63157894736842	9.96163905765557	YWHAG
Mitotic Prometaphase R-HSA-68877	1/186	0.170522303505939	0.202649694021551	0	0	5.63157894736842	9.96163905765557	YWHAG
Peptide Ligand-Binding Receptors R-HSA-375276	1/196	0.178858890862964	0.209520415010901	0	0	5.34008097165992	9.19112363627508	NLRP3
Muscle Contraction R-HSA-397014	1/196	0.178858890862964	0.209520415010901	0	0	5.34008097165992	9.19112363627508	KCNE3
TCF Dependent Signaling In Response To WNT R-HSA-201681	1/198	0.180516628740409	0.209962603641326	0	0	5.28533262089233	9.04813204995822	TLE4
Programmed Cell Death R-HSA-5357801	1/208	0.188757738670154	0.21800189536553	0	0	5.02745995423341	8.38223819217373	YWHAG
G Alpha (Q) Signaling Events R-HSA-416476	1/212	0.192032086322938	0.220232602496236	0	0	4.93115490147169	8.13686322154003	NLRP3
SLC-mediated Transmembrane Transport R-HSA-425407	1/247	0.220151963295075	0.24899946193374	0	0	4.22207958921694	6.3898524334129	NLRP3
Diseases Of Metabolism R-HSA-5668914	1/247	0.220151963295075	0.24899946193374	0	0	4.22207958921694	6.3898524334129	CYP1B1
Signaling By Nuclear Receptors R-HSA-9006931	1/260	0.230357697269356	0.258757961316263	0	0	4.00751879699248	5.88352640155123	ABCG1
PIP3 Activates AKT Signaling R-HSA-1257604	1/268	0.236574945871298	0.262943830121574	0	0	3.88586635127144	5.60143836252701	RCOR1
RHO GTPase Effectors R-HSA-195258	1/269	0.237348738682399	0.262943830121574	0	0	3.87117046347211	5.5676131649356	YWHAG
Cell Cycle Checkpoints R-HSA-69620	1/271	0.238894089561674	0.262943830121574	0	0	3.84210526315789	5.50087644514777	YWHAG
Deubiquitination R-HSA-5688426	1/279	0.245045796713816	0.267916737740439	0	0	3.7300265051117	5.24557417323426	NLRP3
