Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933	2/123	0.00662986687072335	0.137959518289447	0	0	18.2359963269054	91.4748678127654	KLRD1;KLRG1
Prostanoid Ligand Receptors R-HSA-391908	1/9	0.00896577349631742	0.137959518289447	0	0	131.394736842105	619.439581424405	PTGER2
Synthesis Of Bile Acids And Bile Salts Via 24-Hydroxycholesterol R-HSA-193775	1/14	0.01391373176082	0.137959518289447	0	0	80.8380566801619	345.572913330578	AKR1C3
Synthesis Of Prostaglandins (PG) And Thromboxanes (TX) R-HSA-2162123	1/15	0.0149005037888986	0.137959518289447	0	0	75.0601503759399	315.730033295706	AKR1C3
Synthesis Of Bile Acids And Bile Salts Via 27-Hydroxycholesterol R-HSA-193807	1/15	0.0149005037888986	0.137959518289447	0	0	75.0601503759399	315.730033295706	AKR1C3
Eicosanoid Ligand-Binding Receptors R-HSA-391903	1/15	0.0149005037888986	0.137959518289447	0	0	75.0601503759399	315.730033295706	PTGER2
RA Biosynthesis Pathway R-HSA-5365859	1/22	0.0217816918149241	0.137959518289447	0	0	50.0225563909774	191.420590566052	AKR1C3
Synthesis Of Bile Acids And Bile Salts Via 7Alpha-Hydroxycholesterol R-HSA-193368	1/24	0.0237393438664972	0.137959518289447	0	0	45.6681922196796	170.827422984315	AKR1C3
Signaling By Nuclear Receptors R-HSA-9006931	2/260	0.0274200786674207	0.137959518289447	0	0	8.49354005167959	30.5468446816869	AKR1C3;FOSB
DAP12 Signaling R-HSA-2424491	1/28	0.0276434890482457	0.137959518289447	0	0	38.8947368421053	139.5685145544	KLRD1
Synthesis Of Bile Acids And Bile Salts R-HSA-192105	1/34	0.0334719094011011	0.137959518289447	0	0	31.8133971291866	108.071659909081	AKR1C3
Gene And Protein Expression By JAK-STAT Signaling After Interleukin-12 Stimulation R-HSA-8950505	1/35	0.0344400804224879	0.137959518289447	0	0	30.8761609907121	104.007406246565	HNRNPDL
Defective B3GALTL Causes PpS R-HSA-5083635	1/37	0.0363736593292806	0.137959518289447	0	0	29.1578947368421	96.6266509340829	SPON2
O-glycosylation Of TSR Domain-Containing Proteins R-HSA-5173214	1/38	0.0373390688738263	0.137959518289447	0	0	28.3684210526316	93.2672856226179	SPON2
NGF-stimulated Transcription R-HSA-9031628	1/39	0.0383035595748703	0.137959518289447	0	0	27.6204986149584	90.1039343967808	FOSB
Signaling By Retinoic Acid R-HSA-5362517	1/41	0.0402297877766736	0.137959518289447	0	0	26.2368421052632	84.3028454099992	AKR1C3
Class A/1 (Rhodopsin-like Receptors) R-HSA-373076	2/327	0.0417158802828728	0.137959518289447	0	0	6.71965811965812	21.3475031410677	PTGER2;CCL4
DAP12 Interactions R-HSA-2172127	1/43	0.0421523505298068	0.137959518289447	0	0	24.984962406015	79.1140047439502	KLRD1
Retinoid Metabolism And Transport R-HSA-975634	1/43	0.0421523505298068	0.137959518289447	0	0	24.984962406015	79.1140047439502	AKR1C3
Interleukin-12 Signaling R-HSA-9020591	1/44	0.0431122594296054	0.137959518289447	0	0	24.4026927784578	76.7207942465503	HNRNPDL
Bile Acid And Bile Salt Metabolism R-HSA-194068	1/45	0.044071254437806	0.137959518289447	0	0	23.8468899521531	74.4487393242376	AKR1C3
Interleukin-10 Signaling R-HSA-6783783	1/45	0.044071254437806	0.137959518289447	0	0	23.8468899521531	74.4487393242376	CCL4
Metabolism Of Fat-Soluble Vitamins R-HSA-6806667	1/47	0.0459865060964823	0.137959518289447	0	0	22.8077803203661	70.2344445597441	AKR1C3
Interleukin-12 Family Signaling R-HSA-447115	1/54	0.0526612202157059	0.150585925541777	0	0	19.7884806355511	58.2548323012124	HNRNPDL
Chemokine Receptors Bind Chemokines R-HSA-380108	1/56	0.0545601179499192	0.150585925541777	0	0	19.066985645933	55.4554145114264	CCL4
Arachidonic Acid Metabolism R-HSA-2142753	1/59	0.0574016861834188	0.151522864292092	0	0	18.0780399274047	51.6612820658813	AKR1C3
Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725	1/61	0.0592915555925577	0.151522864292092	0	0	17.4736842105263	49.3681970360476	FOSB
Diseases Associated With O-glycosylation Of Proteins R-HSA-3906995	1/69	0.0668150987603724	0.164651493373775	0	0	15.4117647058824	41.7015566467034	SPON2
Signaling By Interleukins R-HSA-449147	2/453	0.0743797670437493	0.173598037015512	0	0	4.81128356738113	12.502463502441	HNRNPDL;CCL4
GPCR Ligand Binding R-HSA-500792	2/458	0.0758090923047026	0.173598037015512	0	0	4.75730994152047	12.2716572157495	PTGER2;CCL4
TP53 Regulates Metabolic Genes R-HSA-5628897	1/81	0.0779933209779837	0.173598037015512	0	0	13.0921052631579	33.3996897897899	DDIT4
Visual Phototransduction R-HSA-2187338	1/98	0.093611586019575	0.201849982354709	0	0	10.7883884970157	25.5533890867207	AKR1C3
O-linked Glycosylation R-HSA-5173105	1/107	0.101777996490172	0.209905201589075	0	0	9.86792452830189	22.5478260801039	SPON2
Signaling By NTRK1 (TRKA) R-HSA-187037	1/114	0.108081273165397	0.209905201589075	0	0	9.25337680484397	20.5875771592915	FOSB
PPARA Activates Gene Expression R-HSA-1989781	1/116	0.109874476796727	0.209905201589075	0	0	9.09153318077803	20.0778935667763	G0S2
Regulation Of Lipid Metabolism By PPARalpha R-HSA-400206	1/118	0.111664255122004	0.209905201589075	0	0	8.93522267206478	19.5883190315039	G0S2
Estrogen-dependent Gene Expression R-HSA-9018519	1/119	0.112557861721678	0.209905201589075	0	0	8.85905441570027	19.3507250391397	FOSB
