X	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene.name
ENSG00000176083	125.263617201062	2.37804200692317	0.31521096724043	7.54428701431984	4.547685934233e-14	6.40950855570799e-10	ZNF683
ENSG00000275302	321.951842739319	1.58561445769782	0.223561572661856	7.09251790823692	1.3169359250645e-12	9.28044746392956e-09	CCL4
ENSG00000123689	419.277272139478	3.33047875148768	0.524450773138477	6.35041251165873	2.14738309999903e-10	1.00884058037954e-06	G0S2
ENSG00000125740	139.211549275702	3.794068054912	0.605660169955205	6.26435127010682	3.74380688288257e-10	1.31913035518367e-06	FOSB
ENSG00000105374	4714.32782271787	1.37944628906212	0.240750552198409	5.72977414367581	1.00564441771216e-08	2.0247932033193e-05	NKG7
ENSG00000149557	33.6133481018646	1.98144573556706	0.356912754857578	5.55162489599939	2.83026393462953e-08	2.84926713533347e-05	FEZ1
ENSG00000152795	882.492075289249	0.7194242091004	0.129377451791287	5.56066145328772	2.68754091796583e-08	2.84926713533347e-05	HNRNPDL
ENSG00000157985	53.2210670729937	1.52912670969434	0.274375485760154	5.57311709337993	2.50221264575558e-08	2.84926713533347e-05	AGAP1
ENSG00000196139	80.2978659646752	2.0953770165381	0.376750793683747	5.56170564645712	2.67150623576715e-08	2.84926713533347e-05	AKR1C3
ENSG00000211695	73.8877653357307	2.47998645320963	0.441892637693027	5.61219228760363	1.99779259000082e-08	2.84926713533347e-05	TRGV9
ENSG00000229474	99.3785193293603	0.902742210365869	0.164435175633596	5.48995801468543	4.02029296364905e-08	3.77746726864465e-05	PATL2
ENSG00000125384	339.368466085703	0.831438515549672	0.152995931407453	5.43438317542846	5.49863078398417e-08	4.84360639184206e-05	PTGER2
ENSG00000110848	134.673171605913	1.28464496631298	0.237796739466497	5.4022816679283	6.57985212287753e-08	4.87434725712586e-05	CD69
ENSG00000134539	671.951445105267	1.44932620327637	0.268296819076353	5.40195075091039	6.592005075004e-08	4.87434725712586e-05	KLRD1
ENSG00000139187	225.8139245011	1.39808363782346	0.257840431352436	5.42228241897584	5.88428168310561e-08	4.87434725712586e-05	KLRG1
ENSG00000156475	69.0253792298974	1.45027117933327	0.269477761627674	5.38178427256288	7.37511191355022e-08	4.87434725712586e-05	PPP2R2B
ENSG00000159674	596.708540516159	1.40936707553293	0.262310223963523	5.37290180396824	7.74795274310049e-08	4.87434725712586e-05	SPON2
ENSG00000168209	332.336799648629	1.43069111750265	0.265502955475129	5.38860712470176	7.10058345452864e-08	4.87434725712586e-05	DDIT4
