ID	HC_1	HC_11	HC_12	HC_13	HC_2	HC_3	HC_4	HC_5	HC_6	HC_7	HC_8	HC_9	PTB_1	PTB_12	PTB_13	PTB_2	PTB_4	PTB_5	PTB_6	PTB_7	PTB_8	PTB_9
ENSG00000000003	5	0	3	4	5	9	0	8	0	3	2	3	5	1	1	3	1	1	1	4	0	1
ENSG00000000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419	274	294	256	220	192	177	37	198	99	162	132	140	321	245	210	230	249	301	146	103	86	315
ENSG00000000457	164	167	129	122	82	97	34	128	48	69	53	78	235	132	143	173	206	164	83	57	42	129
ENSG00000000460	29	29	25	22	19	27	3	46	11	23	26	13	39	20	34	41	36	30	24	5	13	41
ENSG00000000938	8546	8256	8186	6108	5729	5221	1883	5229	3271	5110	4646	5277	9865	6523	10273	16091	10116	8474	8425	4444	3802	12097
ENSG00000000971	35	59	9	51	30	12	16	37	3	77	12	15	17	21	24	8	35	51	6	8	34	18
ENSG00000001036	76	208	102	96	95	98	35	90	38	80	82	89	190	125	178	323	153	133	92	63	44	268
ENSG00000001084	147	177	93	151	124	125	90	149	43	92	91	87	177	102	117	142	125	122	68	38	48	148
ENSG00000001167	399	319	300	335	284	288	75	254	118	255	167	192	546	269	359	437	523	422	237	154	130	366
ENSG00000001460	19	18	14	26	10	24	2	27	8	20	22	16	41	16	22	24	21	17	11	8	15	28
ENSG00000001461	224	341	202	295	183	174	59	291	83	191	106	99	452	295	306	413	352	307	140	126	150	329
ENSG00000001497	194	318	174	236	221	223	37	235	82	184	163	138	316	251	254	269	231	250	151	63	104	327
ENSG00000001561	102	160	94	187	87	123	25	124	43	118	115	76	114	100	91	53	74	146	53	34	22	115
ENSG00000001617	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	1	0	1	0	0	0
ENSG00000001626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001629	273	309	227	299	234	186	60	206	66	171	95	92	335	215	216	226	190	267	116	78	114	313
ENSG00000001630	3	3	3	4	3	2	1	7	0	5	5	1	7	5	8	10	6	1	1	3	1	12
ENSG00000001631	21	12	14	28	18	16	6	16	10	16	17	8	23	17	20	26	30	26	15	8	11	14
ENSG00000002016	62	81	47	62	25	41	9	37	26	56	26	17	45	33	37	44	53	52	33	19	20	57
ENSG00000002079	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000002330	58	64	17	38	40	31	13	57	30	28	39	13	71	29	50	88	39	41	50	16	19	49
ENSG00000002549	469	570	986	381	444	426	134	426	156	325	277	289	1056	607	430	1847	506	639	463	308	186	2170
ENSG00000002586	1671	2999	1686	2363	1591	1733	459	2517	867	1594	1895	1437	1572	1746	2655	3707	1842	1795	959	741	1045	3455
ENSG00000002587	16	7	5	9	4	1	0	14	0	9	8	1	9	15	6	10	24	5	2	9	9	10
ENSG00000002726	14	5	60	40	0	0	1	13	1	2	4	21	68	0	5	6	0	26	3	2	20	42
ENSG00000002745	15	4	6	14	2	3	4	22	0	3	0	5	8	18	14	1	3	4	1	3	1	13
ENSG00000002746	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000002822	61	68	21	58	47	58	4	53	37	41	23	50	54	71	69	100	37	45	41	38	25	49
ENSG00000002834	5177	6048	4704	4111	3699	3768	1124	3821	1902	3280	2531	2616	9630	4568	6522	10330	6443	5878	5725	2829	1959	7122
ENSG00000002919	619	830	710	587	423	421	129	562	358	391	414	595	1237	778	1076	1636	1155	871	738	438	400	1147
ENSG00000002933	304	67	452	511	30	19	15	304	13	19	36	293	501	110	57	279	42	148	400	236	170	1122
ENSG00000003056	746	1065	648	875	651	620	150	837	223	582	355	421	898	748	720	1314	814	954	485	324	354	1289
ENSG00000003096	2	1	2	4	4	2	4	7	1	2	8	2	9	7	2	8	2	0	0	0	4	8
ENSG00000003137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003147	29	30	44	18	19	13	3	23	16	11	15	23	29	16	23	29	28	26	6	12	17	40
