Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Constitutive Signaling By NOTCH1 t(7;9)(NOTCH1:M1580 K2555) Translocation Mutant R-HSA-2660826	1/7	0.00697999589418079	0.132692212268651	0	0	175.210526315789	869.868917789248	JAG1
Synthesis Of Epoxy (EET) And Dihydroxyeicosatrienoic Acids (DHET) R-HSA-2142670	1/8	0.0079733565142536	0.132692212268651	0	0	150.172932330827	725.583008139666	CYP1B1
Synthesis Of (16-20)-Hydroxyeicosatetraenoic Acids (HETE) R-HSA-2142816	1/9	0.00896577349631742	0.132692212268651	0	0	131.394736842105	619.439581424405	CYP1B1
Nef Mediated Downregulation Of MHC Class I Complex Cell Surface Expression R-HSA-164940	1/10	0.0099572476243862	0.132692212268651	0	0	116.789473684211	538.335775363175	AP1G1
NOTCH4 Activation And Transmission Of Signal To Nucleus R-HSA-9013700	1/11	0.010947779702856	0.132692212268651	0	0	105.105263157895	474.510177076512	JAG1
Regulation Of Localization Of FOXO Transcription Factors R-HSA-9614399	1/12	0.0119373705403343	0.132692212268651	0	0	95.5454545454545	423.083051849273	YWHAG
Chk1/Chk2(Cds1) Mediated Inactivation Of Cyclin B:Cdk1 Complex R-HSA-75035	1/13	0.0129260209528939	0.132692212268651	0	0	87.5789473684211	380.838179873743	YWHAG
SARS-CoV-2 Targets Host Intracellular Signaling And Regulatory Pathways R-HSA-9755779	1/13	0.0129260209528939	0.132692212268651	0	0	87.5789473684211	380.838179873743	YWHAG
TP53 Regulates Transcription Of Genes Involved In G1 Cell Cycle Arrest R-HSA-6804116	1/14	0.01391373176082	0.132692212268651	0	0	80.8380566801619	345.572913330578	ARID3A
RUNX3 Regulates NOTCH Signaling R-HSA-8941856	1/14	0.01391373176082	0.132692212268651	0	0	80.8380566801619	345.572913330578	JAG1
Constitutive Signaling By NOTCH1 HD Domain Mutants R-HSA-2691232	1/15	0.0149005037888986	0.132692212268651	0	0	75.0601503759399	315.730033295706	JAG1
Activation Of BAD And Translocation To Mitochondria R-HSA-111447	1/15	0.0149005037888986	0.132692212268651	0	0	75.0601503759399	315.730033295706	YWHAG
Nef-mediated Downmodulation Of Cell Surface Receptors By Recruitment To Clathrin Adapters R-HSA-164938	1/20	0.0198203112382321	0.132692212268651	0	0	55.2936288088643	216.808975250484	AP1G1
NOTCH2 Activation And Transmission Of Signal To Nucleus R-HSA-2979096	1/21	0.0208014680109953	0.132692212268651	0	0	52.5263157894737	203.420329151527	JAG1
NOTCH3 Activation And Transmission Of Signal To Nucleus R-HSA-9013507	1/25	0.0247167737784927	0.132692212268651	0	0	43.7631578947368	161.935638794938	JAG1
Disease R-HSA-1643685	5/1736	0.0251902322527269	0.132692212268651	0	0	3.51415366839977	12.9366502750639	JAG1;AP1G1;CYP1B1;YWHAG;RCOR1
Role Of Nef In HIV-1 Replication And Disease Pathogenesis R-HSA-164952	1/27	0.0266688455361458	0.132692212268651	0	0	40.3927125506073	146.393661234119	AP1G1
Endogenous Sterols R-HSA-211976	1/27	0.0266688455361458	0.132692212268651	0	0	40.3927125506073	146.393661234119	CYP1B1
Generic Transcription Pathway R-HSA-212436	4/1190	0.0281226614674025	0.132692212268651	0	0	3.96163575042159	14.147712654658	ESRRA;JAG1;ARID3A;YWHAG
Activation Of BH3-only Proteins R-HSA-114452	1/30	0.0295899955032417	0.132692212268651	0	0	36.2087114337568	127.46621354177	YWHAG
HS-GAG Biosynthesis R-HSA-2022928	1/30	0.0295899955032417	0.132692212268651	0	0	36.2087114337568	127.46621354177	NDST1
Organelle Biogenesis And Maintenance R-HSA-1852241	2/275	0.0304095781275812	0.132692212268651	0	0	8.02075702075702	28.0164854263925	ESRRA;YWHAG
Activated NOTCH1 Transmits Signal To Nucleus R-HSA-2122948	1/31	0.0305618601074185	0.132692212268651	0	0	35	122.080085720138	JAG1
Gluconeogenesis R-HSA-70263	1/32	0.0315328000758389	0.132692212268651	0	0	33.8692699490662	117.076819992966	SLC37A2
Signaling By NOTCH2 R-HSA-1980145	1/32	0.0315328000758389	0.132692212268651	0	0	33.8692699490662	117.076819992966	JAG1
Metabolism Of Carbohydrates R-HSA-71387	2/285	0.032472278751328	0.132692212268651	0	0	7.73341185708677	26.5052523134557	NDST1;SLC37A2
Lysosome Vesicle Biogenesis R-HSA-432720	1/34	0.0334719094011011	0.132692212268651	0	0	31.8133971291866	108.071659909081	AP1G1
Metabolic Disorders Of Biological Oxidation Enzymes R-HSA-5579029	1/34	0.0334719094011011	0.132692212268651	0	0	31.8133971291866	108.071659909081	CYP1B1
Elastic Fibre Formation R-HSA-1566948	1/39	0.0383035595748703	0.142112017951621	0	0	27.6204986149584	90.1039343967808	FBN2
RNA Polymerase II Transcription R-HSA-73857	4/1312	0.038408653500438	0.142112017951621	0	0	3.56880733944954	11.6324293564746	ESRRA;JAG1;ARID3A;YWHAG
TP53 Regulates Transcription Of Cell Cycle Genes R-HSA-6791312	1/49	0.0478981120694179	0.145142304596429	0	0	21.8552631578947	66.4111333354799	ARID3A
Signaling By NOTCH3 R-HSA-9012852	1/49	0.0478981120694179	0.145142304596429	0	0	21.8552631578947	66.4111333354799	JAG1
Transcriptional Regulation By TP53 R-HSA-3700989	2/354	0.0481252626249366	0.145142304596429	0	0	6.19570707070707	18.7974532569668	ARID3A;YWHAG
Translocation Of SLC2A4 (GLUT4) To Plasma Membrane R-HSA-1445148	1/51	0.0498060789247287	0.145142304596429	0	0	20.9789473684211	62.9288330908361	YWHAG
Transcriptional Activation Of Mitochondrial Biogenesis R-HSA-2151201	1/52	0.0507586997365512	0.145142304596429	0	0	20.5665634674923	61.302185054186	ESRRA
Heparan Sulfate/Heparin (HS-GAG) Metabolism R-HSA-1638091	1/53	0.0517104132281891	0.145142304596429	0	0	20.17004048583	59.7455982870142	NDST1
