Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Synthesis Of Prostaglandins (PG) And Thromboxanes (TX) R-HSA-2162123	2/15	9.89757503698104e-05	0.00633444802366786	0	0	170.65811965812	1573.57634781459	AKR1C3;PTGS2
NGF-stimulated Transcription R-HSA-9031628	2/39	0.00068851543924297	0.0195536786244835	0	0	59.8888888888889	436.049371955513	ID2;FOSB
Interleukin-10 Signaling R-HSA-6783783	2/45	0.000916578685522665	0.0195536786244835	0	0	51.5167958656331	360.352910733431	CCL4;PTGS2
Arachidonic Acid Metabolism R-HSA-2142753	2/59	0.00157088129179789	0.0214800045271462	0	0	38.8362573099415	250.731478697401	AKR1C3;PTGS2
Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725	2/61	0.0016781253536833	0.0214800045271462	0	0	37.5160075329567	239.73021324017	ID2;FOSB
Signaling By NTRK1 (TRKA) R-HSA-187037	2/114	0.00572213976347082	0.0478855269339614	0	0	19.7103174603175	101.772498745837	ID2;FOSB
Synthesis Of 15-Eicosatetraenoic Acid Derivatives R-HSA-2142770	1/6	0.00598569086674517	0.0478855269339614	0	0	210.263157894737	1076.20748088462	PTGS2
Biosynthesis Of EPA-derived SPMs R-HSA-9018679	1/6	0.00598569086674517	0.0478855269339614	0	0	210.263157894737	1076.20748088462	PTGS2
Signaling By NTRKs R-HSA-166520	2/132	0.00759889782323582	0.0540366067430103	0	0	16.965811965812	82.7889559824649	ID2;FOSB
Fatty Acid Metabolism R-HSA-8978868	2/173	0.0127601429711819	0.0733563263453468	0	0	12.8713450292398	56.1374548600871	AKR1C3;PTGS2
Synthesis Of Bile Acids And Bile Salts Via 24-Hydroxycholesterol R-HSA-193775	1/14	0.01391373176082	0.0733563263453468	0	0	80.8380566801619	345.572913330578	AKR1C3
Metabolism Of Vitamins And Cofactors R-HSA-196854	2/186	0.014642007150812	0.0733563263453468	0	0	11.9541062801932	50.4924794740506	AKR1C3;PTGS2
Synthesis Of Bile Acids And Bile Salts Via 27-Hydroxycholesterol R-HSA-193807	1/15	0.0149005037888986	0.0733563263453468	0	0	75.0601503759399	315.730033295706	AKR1C3
Biosynthesis Of DHA-derived SPMs R-HSA-9018677	1/17	0.0168712348172724	0.0753528826880571	0	0	65.6710526315789	268.078771560398	PTGS2
Biosynthesis Of Specialized Proresolving Mediators (SPMs) R-HSA-9018678	1/19	0.0188382206720143	0.0753528826880571	0	0	58.3684210526316	231.831632180327	PTGS2
Nicotinamide Salvaging R-HSA-197264	1/19	0.0188382206720143	0.0753528826880571	0	0	58.3684210526316	231.831632180327	PTGS2
RA Biosynthesis Pathway R-HSA-5365859	1/22	0.0217816918149241	0.0820016633032437	0	0	50.0225563909774	191.420590566052	AKR1C3
Synthesis Of Bile Acids And Bile Salts Via 7Alpha-Hydroxycholesterol R-HSA-193368	1/24	0.0237393438664972	0.084406555969768	0	0	45.6681922196796	170.827422984315	AKR1C3
Signaling By Nuclear Receptors R-HSA-9006931	2/260	0.0274200786674207	0.0884591649543864	0	0	8.49354005167959	30.5468446816869	AKR1C3;FOSB
DAP12 Signaling R-HSA-2424491	1/28	0.0276434890482457	0.0884591649543864	0	0	38.8947368421053	139.5685145544	KLRD1
Nicotinate Metabolism R-HSA-196807	1/31	0.0305618601074185	0.0931409069940372	0	0	35	122.080085720138	PTGS2
Synthesis Of Bile Acids And Bile Salts R-HSA-192105	1/34	0.0334719094011011	0.0973728273486579	0	0	31.8133971291866	108.071659909081	AKR1C3
Defective B3GALTL Causes PpS R-HSA-5083635	1/37	0.0363736593292806	0.0995708503302034	0	0	29.1578947368421	96.6266509340829	SPON2
O-glycosylation Of TSR Domain-Containing Proteins R-HSA-5173214	1/38	0.0373390688738263	0.0995708503302034	0	0	28.3684210526316	93.2672856226179	SPON2
Signaling By Retinoic Acid R-HSA-5362517	1/41	0.0402297877766736	0.0999166827373199	0	0	26.2368421052632	84.3028454099992	AKR1C3
DAP12 Interactions R-HSA-2172127	1/43	0.0421523505298068	0.0999166827373199	0	0	24.984962406015	79.1140047439502	KLRD1
Retinoid Metabolism And Transport R-HSA-975634	1/43	0.0421523505298068	0.0999166827373199	0	0	24.984962406015	79.1140047439502	AKR1C3
Bile Acid And Bile Salt Metabolism R-HSA-194068	1/45	0.044071254437806	0.100734295857842	0	0	23.8468899521531	74.4487393242376	AKR1C3
Metabolism Of Fat-Soluble Vitamins R-HSA-6806667	1/47	0.0459865060964823	0.101487461730168	0	0	22.8077803203661	70.2344445597441	AKR1C3
Chemokine Receptors Bind Chemokines R-HSA-380108	1/56	0.0545601179499192	0.116394918293161	0	0	19.066985645933	55.4554145114264	CCL4
Diseases Associated With O-glycosylation Of Proteins R-HSA-3906995	1/69	0.0668150987603724	0.137940849053672	0	0	15.4117647058824	41.7015566467034	SPON2
Signaling By Interleukins R-HSA-449147	2/453	0.0743797670437493	0.148759534087499	0	0	4.81128356738113	12.502463502441	CCL4;PTGS2
Signaling By Receptor Tyrosine Kinases R-HSA-9006934	2/496	0.0869599777859057	0.168649653887817	0	0	4.38281601439496	10.7041835097905	ID2;FOSB
Visual Phototransduction R-HSA-2187338	1/98	0.093611586019575	0.176210044272141	0	0	10.7883884970157	25.5533890867207	AKR1C3
Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807	1/107	0.101777996490172	0.180938660426973	0	0	9.86792452830189	22.5478260801039	PTGS2
O-linked Glycosylation R-HSA-5173105	1/107	0.101777996490172	0.180938660426973	0	0	9.86792452830189	22.5478260801039	SPON2
Estrogen-dependent Gene Expression R-HSA-9018519	1/119	0.112557861721678	0.188642551040353	0	0	8.85905441570027	19.3507250391397	FOSB
Metabolism Of Water-Soluble Vitamins And Cofactors R-HSA-196849	1/122	0.115233560636148	0.188642551040353	0	0	8.63810352327099	18.6651644082731	PTGS2
Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933	1/123	0.116123755882744	0.188642551040353	0	0	8.56686798964625	18.4453131497958	KLRD1
Platelet Degranulation R-HSA-114608	1/125	0.117901594400221	0.188642551040353	0	0	8.42784380305603	18.0179289692399	CTSW
Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005	1/130	0.122331340101836	0.190956238207744	0	0	8.09914320685434	17.0164781654488	CTSW
Diseases Of Glycosylation R-HSA-3781865	1/143	0.133749989760905	0.203809508207093	0	0	7.35285396590067	14.7923463877313	SPON2
Metabolism Of Steroids R-HSA-8957322	1/153	0.142437381264274	0.211999823277059	0	0	6.86565096952909	13.380143154068	AKR1C3
Cytokine Signaling In Immune System R-HSA-1280215	2/702	0.154519379981639	0.224755461791474	0	0	3.06031746031746	5.71494624318094	CCL4;PTGS2
Metabolism Of Lipids R-HSA-556833	2/732	0.16511464214707	0.234829713275833	0	0	2.92998477929985	5.27724025494108	AKR1C3;PTGS2
ESR-mediated Signaling R-HSA-8939211	1/188	0.172196026752203	0.239577080698718	0	0	5.5707852518998	9.79968956082028	FOSB
Peptide Ligand-Binding Receptors R-HSA-375276	1/196	0.178858890862964	0.24355253223893	0	0	5.34008097165992	9.19112363627508	CCL4
