X	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene.name
ENSG00000170027	530.085354320348	-0.775588476299625	0.13334708556758	-5.81631366743712	6.01595327186427e-09	1.07251078052291e-05	YWHAG
ENSG00000148411	548.215251903307	-0.934193566347607	0.163023887495455	-5.73040908727964	1.00188713554451e-08	1.4613890081647e-05	NACC2
ENSG00000138829	67.5684807132519	-1.72535564452272	0.307869738930789	-5.60417418910596	2.09250193196981e-08	2.31014198370515e-05	FBN2
ENSG00000138061	220.798634375009	-1.51572549247109	0.275301215927197	-5.50569850324205	3.67707366998017e-08	2.80945938261104e-05	CYP1B1
ENSG00000101384	30.2264140917426	-1.73851255010802	0.321413467528726	-5.40895987798843	6.33918280688352e-08	4.06848752545784e-05	JAG1
ENSG00000166747	499.732454368204	-0.746753414139687	0.140450498801998	-5.3168441586842	1.05582421701687e-07	5.29644737102745e-05	AP1G1
ENSG00000173153	262.003009240212	-0.728231855847126	0.136888414568348	-5.31989400376554	1.03827725505624e-07	5.29644737102745e-05	ESRRA
ENSG00000070444	297.037132235865	-0.539268002215464	0.102539500906972	-5.25912450758571	1.44742865295397e-07	6.83058609901367e-05	MNT
ENSG00000058091	136.792188221017	-0.885841884243352	0.170008732776914	-5.2105669501446	1.88264426171408e-07	8.42469888176734e-05	CDK14
ENSG00000116017	445.959738160596	-0.784809459141686	0.150640422135966	-5.20981983463461	1.89024094573776e-07	8.42469888176734e-05	ARID3A
ENSG00000089902	583.945546853584	-0.752467356393739	0.145085520929731	-5.18637112491867	2.14431289649053e-07	8.82192318568987e-05	RCOR1
ENSG00000211640	50.5592708899144	-1.96393072660599	0.381983726355511	-5.14139894215852	2.72700319594085e-07	0.000106718942143588	IGLV6-57
ENSG00000170476	121.95264304619	-1.52973346515852	0.298430491112278	-5.12592885350645	2.96074404059828e-07	0.000113107471741427	MZB1
ENSG00000070614	626.727899890991	-1.11153118170909	0.217379299363582	-5.11332580868234	3.16535646414987e-07	0.000118111963877406	NDST1
ENSG00000134955	274.730427089917	-1.16610941804668	0.228970611303278	-5.09283445333575	3.52749689302971e-07	0.000120712124513414	SLC37A2
ENSG00000148358	406.249089467994	-0.544293870486584	0.10688399527666	-5.09237953800029	3.53597373146181e-07	0.000120712124513414	GPR107
ENSG00000132005	288.981988907069	-0.748628760554897	0.147151667848311	-5.08746364551307	3.62883919286019e-07	0.000121301510103003	RFX1
ENSG00000066084	696.222123915482	-0.779125678014815	0.154141416597604	-5.05461604812398	4.31257470084444e-07	0.00013306780975971	DIP2B
ENSG00000144711	2521.79900014784	-0.735605350453334	0.145518205555421	-5.05507436437687	4.30223099029166e-07	0.00013306780975971	IQSEC1
ENSG00000168612	73.1831240779615	-0.833070892547397	0.166005868427602	-5.01832194511071	5.21247727086857e-07	0.000154878144094604	ZSWIM1
ENSG00000166716	925.728979148251	-0.603369097367747	0.12098083584749	-4.98731136333331	6.12253506441298e-07	0.000175421562693761	ZNF592
ENSG00000140455	350.67422568994	-0.527385689667082	0.10625924050581	-4.96319837368163	6.93416935116247e-07	0.000191825426274831	USP3
ENSG00000211965	41.0725451708044	-2.08043262668989	0.420326272502456	-4.94956599858443	7.43791529784279e-07	0.000193512255515611	IGHV3-49
ENSG00000245848	136.11061477032	-0.957958664134859	0.19370557545773	-4.94543671172697	7.59733508070023e-07	0.000193512255515611	CEBPA
ENSG00000179921	237.757980240307	-1.14699198267812	0.233401265175027	-4.91424920862356	8.91233274320546e-07	0.000213430416216017	GPBAR1
ENSG00000198113	293.632289106671	-1.11948655931887	0.232152460092448	-4.82220416218318	1.41980512931352e-06	0.000299747017103098	TOR4A
ENSG00000121807	814.340379641147	-1.42360010477149	0.29549012428076	-4.81775865855623	1.45179823007576e-06	0.000300446729391085	CCR2
ENSG00000196730	367.878670313348	-0.83172728782091	0.172680903609824	-4.81655626322303	1.46056995278932e-06	0.000300446729391085	DAPK1
ENSG00000114853	78.2059625912224	-0.99385434052938	0.208148563650067	-4.77473552111664	1.79943580836889e-06	0.000345327718064102	ZBTB47
ENSG00000197063	117.403540171766	-0.968041337172451	0.202653359283357	-4.7768334095015	1.78077182053661e-06	0.000345327718064102	MAFG
ENSG00000033627	440.252178860148	-0.883105342010424	0.185152429867194	-4.76961248979478	1.84580646994824e-06	0.000348423115415524	ATP6V0A1
ENSG00000159339	965.281302747164	-1.00997828592947	0.212112064385733	-4.76153154632823	1.92129257337653e-06	0.000358455108602632	PADI4
ENSG00000172725	777.070274388641	-0.825528323068322	0.173591617314148	-4.75557711738101	1.97880303188988e-06	0.000360794257348559	CORO1B
ENSG00000160179	326.261969461714	-1.28151319717847	0.271166627653355	-4.72592519318671	2.29069972828952e-06	0.00041296940607197	ABCG1
ENSG00000132205	738.436929467659	-1.04828982748361	0.221965608860778	-4.72275787615874	2.32667786767455e-06	0.000414794959853757	EMILIN2
ENSG00000170837	270.024034245009	-1.0225272174011	0.217261721336768	-4.70643061791876	2.52091728583733e-06	0.000444484811552308	GPR27
ENSG00000186407	968.599238529829	-1.388027624211	0.295390642704678	-4.69895597064903	2.61494816027784e-06	0.000451148851953312	CD300E
ENSG00000126003	350.11710379615	-0.725449745643874	0.154701356065871	-4.68935608641324	2.74066104398237e-06	0.000465891638551192	PLAGL2
ENSG00000185670	31.7436541667736	-1.10886628729615	0.236712362990633	-4.68444602253424	2.8071812979161e-06	0.000465891638551192	ZBTB3
ENSG00000205730	51.5887303487242	-1.54804615867457	0.330338591302455	-4.68624072219644	2.78268949595769e-06	0.000465891638551192	ITPRIPL2
ENSG00000211893	1243.63702161996	-1.49483161739316	0.319295070530952	-4.68166205919629	2.84558308370313e-06	0.000465891638551192	IGHG2
ENSG00000175538	402.804976307068	-0.901962389644413	0.193553038959983	-4.66002701115375	3.16167890946748e-06	0.000508738257830956	KCNE3
ENSG00000211653	155.564346550303	-1.4636837283108	0.314638601345432	-4.65195218276433	3.28807334223042e-06	0.000511270703543972	IGLV1-40
ENSG00000213694	96.0316824861546	-1.14312848072617	0.245920678172975	-4.64836259081118	3.34580391848657e-06	0.000511270703543972	S1PR3
