Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Camera-Type Eye Development (GO:0043010)	2/26	0.000304341581174277	0.0578249004231127	0	0	92.3888888888889	748.106080866866	FBN2;CYP1B1
Regulation Of DNA-templated Transcription (GO:0006355)	7/1922	0.00188196521623984	0.0649286057804155	0	0	5.07953404298052	31.876304614543	ESRRA;MNT;NACC2;ARID3A;RFX1;CDK14;RCOR1
Negative Regulation Of Cell Adhesion (GO:0007162)	2/72	0.00232849062320393	0.0649286057804155	0	0	31.6031746031746	191.595352854511	JAG1;CYP1B1
Regulation Of Transcription By RNA Polymerase II (GO:0006357)	7/2028	0.00257044862435235	0.0649286057804155	0	0	4.78487420545807	28.5354338796176	ESRRA;MNT;JAG1;NACC2;ARID3A;RFX1;RCOR1
Positive Regulation Of Focal Adhesion Disassembly (GO:0120183)	1/5	0.00499044069595166	0.0649286057804155	0	0	262.842105263158	1393.12388948095	IQSEC1
Regulation Of Focal Adhesion Disassembly (GO:0120182)	1/5	0.00499044069595166	0.0649286057804155	0	0	262.842105263158	1393.12388948095	IQSEC1
Maintenance Of Protein Location In Extracellular Region (GO:0071694)	1/6	0.00598569086674517	0.0649286057804155	0	0	210.263157894737	1076.20748088462	FBN2
Glomerular Epithelial Cell Development (GO:0072310)	1/6	0.00598569086674517	0.0649286057804155	0	0	210.263157894737	1076.20748088462	JAG1
Podocyte Development (GO:0072015)	1/6	0.00598569086674517	0.0649286057804155	0	0	210.263157894737	1076.20748088462	JAG1
Regulation Of Cell Population Proliferation (GO:0042127)	4/766	0.00633605746390273	0.0649286057804155	0	0	6.30511811023622	31.9133462045823	JAG1;NACC2;MZB1;CYP1B1
Positive Regulation Of Cardiac Epithelial To Mesenchymal Transition (GO:0062043)	1/7	0.00697999589418079	0.0649286057804155	0	0	175.210526315789	869.868917789248	JAG1
Heparan Sulfate Proteoglycan Biosynthetic Process, Polysaccharide Chain Biosynthetic Process (GO:0015014)	1/7	0.00697999589418079	0.0649286057804155	0	0	175.210526315789	869.868917789248	NDST1
Negative Regulation Of Cell Motility (GO:2000146)	2/133	0.00771030598179584	0.0649286057804155	0	0	16.8354537743851	81.9078060292697	JAG1;CYP1B1
Integrin Activation (GO:0033622)	1/8	0.0079733565142536	0.0649286057804155	0	0	150.172932330827	725.583008139666	MZB1
Positive Regulation Of Protein Acetylation (GO:1901985)	1/9	0.00896577349631742	0.0649286057804155	0	0	131.394736842105	619.439581424405	DIP2B
Positive Regulation Of Keratinocyte Migration (GO:0051549)	1/9	0.00896577349631742	0.0649286057804155	0	0	131.394736842105	619.439581424405	IQSEC1
Negative Regulation Of Cell Adhesion Mediated By Integrin (GO:0033629)	1/9	0.00896577349631742	0.0649286057804155	0	0	131.394736842105	619.439581424405	CYP1B1
Embryonic Eye Morphogenesis (GO:0048048)	1/9	0.00896577349631742	0.0649286057804155	0	0	131.394736842105	619.439581424405	FBN2
Sequestering Of Extracellular Ligand From Receptor (GO:0035581)	1/9	0.00896577349631742	0.0649286057804155	0	0	131.394736842105	619.439581424405	FBN2
Omega-Hydroxylase P450 Pathway (GO:0097267)	1/10	0.0099572476243862	0.0649286057804155	0	0	116.789473684211	538.335775363175	CYP1B1
Phosphate Ion Transmembrane Transport (GO:0035435)	1/10	0.0099572476243862	0.0649286057804155	0	0	116.789473684211	538.335775363175	SLC37A2
Notch Signaling Involved In Heart Development (GO:0061314)	1/10	0.0099572476243862	0.0649286057804155	0	0	116.789473684211	538.335775363175	JAG1
Regulation Of Peptidyl-Lysine Acetylation (GO:2000756)	1/10	0.0099572476243862	0.0649286057804155	0	0	116.789473684211	538.335775363175	DIP2B
Heparan Sulfate Proteoglycan Biosynthetic Process, Enzymatic Modification (GO:0015015)	1/10	0.0099572476243862	0.0649286057804155	0	0	116.789473684211	538.335775363175	NDST1
Regulation Of Keratinocyte Migration (GO:0051547)	1/11	0.010947779702856	0.0649286057804155	0	0	105.105263157895	474.510177076512	IQSEC1
Golgi To Lysosome Transport (GO:0090160)	1/11	0.010947779702856	0.0649286057804155	0	0	105.105263157895	474.510177076512	AP1G1
Intrinsic Apoptotic Signaling Pathway In Response To Oxidative Stress (GO:0008631)	1/11	0.010947779702856	0.0649286057804155	0	0	105.105263157895	474.510177076512	CYP1B1
Podocyte Differentiation (GO:0072112)	1/11	0.010947779702856	0.0649286057804155	0	0	105.105263157895	474.510177076512	JAG1
Negative Regulation Of Cell Migration (GO:0030336)	2/163	0.0113913007147331	0.0649286057804155	0	0	13.6777087646653	61.2064515808089	JAG1;CYP1B1
Cardiac Right Ventricle Morphogenesis (GO:0003215)	1/12	0.0119373705403343	0.0649286057804155	0	0	95.5454545454545	423.083051849273	JAG1
Negative Regulation Of Stem Cell Differentiation (GO:2000737)	1/12	0.0119373705403343	0.0649286057804155	0	0	95.5454545454545	423.083051849273	JAG1
Polysaccharide Biosynthetic Process (GO:0000271)	1/12	0.0119373705403343	0.0649286057804155	0	0	95.5454545454545	423.083051849273	NDST1
Endothelium Development (GO:0003158)	1/12	0.0119373705403343	0.0649286057804155	0	0	95.5454545454545	423.083051849273	JAG1
Endothelial Cell Differentiation (GO:0045446)	1/13	0.0129260209528939	0.0649286057804155	0	0	87.5789473684211	380.838179873743	JAG1
Heparan Sulfate Proteoglycan Metabolic Process (GO:0030201)	1/13	0.0129260209528939	0.0649286057804155	0	0	87.5789473684211	380.838179873743	NDST1
Cardiac Cell Development (GO:0055006)	1/14	0.01391373176082	0.0649286057804155	0	0	80.8380566801619	345.572913330578	JAG1
Aorta Development (GO:0035904)	1/14	0.01391373176082	0.0649286057804155	0	0	80.8380566801619	345.572913330578	JAG1
Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage (GO:1902229)	1/15	0.0149005037888986	0.0649286057804155	0	0	75.0601503759399	315.730033295706	NACC2
Nitric Oxide Biosynthetic Process (GO:0006809)	1/15	0.0149005037888986	0.0649286057804155	0	0	75.0601503759399	315.730033295706	CYP1B1
Regulation Of Signal Transduction (GO:0009966)	2/193	0.0157023000244154	0.0649286057804155	0	0	11.5119255381035	47.8199409744501	MZB1;YWHAG
Lymphocyte Mediated Immunity (GO:0002449)	1/16	0.0158863378646896	0.0649286057804155	0	0	70.0526315789474	290.178721072392	JAG1
Cell Surface Receptor Signaling Pathway Involved In Heart Development (GO:0061311)	1/16	0.0158863378646896	0.0649286057804155	0	0	70.0526315789474	290.178721072392	JAG1
Retinal Metabolic Process (GO:0042574)	1/16	0.0158863378646896	0.0649286057804155	0	0	70.0526315789474	290.178721072392	CYP1B1
Nitric Oxide Metabolic Process (GO:0046209)	1/16	0.0158863378646896	0.0649286057804155	0	0	70.0526315789474	290.178721072392	CYP1B1
Epoxygenase P450 Pathway (GO:0019373)	1/17	0.0168712348172724	0.0649286057804155	0	0	65.6710526315789	268.078771560398	CYP1B1
