Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Organophosphate Catabolic Process (GO:0046434)	2/12	6.23251550199447e-05	0.00853854623773242	0	0	221.888888888889	2148.58238291385	PON1;PLD1
Phosphatidic Acid Biosynthetic Process (GO:0006654)	2/29	0.000379510134877263	0.0224848398745476	0	0	82.1111111111111	646.758779988934	PLD1;DGKH
Phosphatidic Acid Metabolic Process (GO:0046473)	2/33	0.000492368756376956	0.0224848398745476	0	0	71.5017921146953	544.577856394618	PLD1;DGKH
Glycerophospholipid Metabolic Process (GO:0006650)	2/62	0.00173302499307072	0.0593561060126723	0	0	36.8888888888889	234.535381448665	PON1;DGKH
Negative Regulation Of Cellular Component Organization (GO:0051129)	2/79	0.00279502765742324	0.0631576800736507	0	0	28.7200577200577	168.871448707322	SCAMP5;PON1
Cytoskeleton-Dependent Cytokinesis (GO:0061640)	2/81	0.00293575441537543	0.0631576800736507	0	0	27.9901547116737	163.204737079324	CECR2;SEPTIN10
Calcium-Mediated Signaling (GO:0019722)	2/85	0.00322703474828872	0.0631576800736507	0	0	26.6358768406961	152.788492938563	ANK2;PPP1R9A
Glycerophospholipid Biosynthetic Process (GO:0046474)	2/108	0.00515157484487764	0.0856324196748829	0	0	20.832285115304	109.753911177989	PLD1;DGKH
Regulation Of Microvillus Organization (GO:0032530)	1/7	0.00697999589418079	0.0856324196748829	0	0	175.210526315789	869.868917789248	PLD1
Aromatic Compound Catabolic Process (GO:0019439)	1/7	0.00697999589418079	0.0856324196748829	0	0	175.210526315789	869.868917789248	PON1
Positive Regulation Of Calcium Ion-Dependent Exocytosis (GO:0045956)	1/8	0.0079733565142536	0.0856324196748829	0	0	150.172932330827	725.583008139666	SCAMP5
Regulation Of Postsynaptic Neurotransmitter Receptor Activity (GO:0098962)	1/9	0.00896577349631742	0.0856324196748829	0	0	131.394736842105	619.439581424405	NPTX1
Lipid Phosphorylation (GO:0046834)	1/9	0.00896577349631742	0.0856324196748829	0	0	131.394736842105	619.439581424405	DGKH
Protein Kinase C-activating G Protein-Coupled Receptor Signaling Pathway (GO:0007205)	1/10	0.0099572476243862	0.0856324196748829	0	0	116.789473684211	538.335775363175	DGKH
Positive Regulation Of Gene Expression (GO:0010628)	3/480	0.0115582415035192	0.0856324196748829	0	0	7.21531631520533	32.1828833607424	SCAMP5;ANK2;PLD1
Positive Regulation Of Regulated Secretory Pathway (GO:1903307)	1/12	0.0119373705403343	0.0856324196748829	0	0	95.5454545454545	423.083051849273	SCAMP5
Positive Regulation Of Potassium Ion Transmembrane Transporter Activity (GO:1901018)	1/13	0.0129260209528939	0.0856324196748829	0	0	87.5789473684211	380.838179873743	ANK2
Photoreceptor Cell Development (GO:0042461)	1/14	0.01391373176082	0.0856324196748829	0	0	80.8380566801619	345.572913330578	CDHR1
Positive Regulation Of Transporter Activity (GO:0032411)	1/14	0.01391373176082	0.0856324196748829	0	0	80.8380566801619	345.572913330578	PON1
Positive Regulation Of Potassium Ion Transport (GO:0043268)	1/15	0.0149005037888986	0.0856324196748829	0	0	75.0601503759399	315.730033295706	ANK2
Stabilization Of Membrane Potential (GO:0030322)	1/16	0.0158863378646896	0.0856324196748829	0	0	70.0526315789474	290.178721072392	KCNK9
Apoptotic Nuclear Changes (GO:0030262)	1/16	0.0158863378646896	0.0856324196748829	0	0	70.0526315789474	290.178721072392	CECR2
Positive Regulation Of Potassium Ion Transmembrane Transport (GO:1901381)	1/17	0.0168712348172724	0.0856324196748829	0	0	65.6710526315789	268.078771560398	ANK2
Carboxylic Acid Catabolic Process (GO:0046395)	1/17	0.0168712348172724	0.0856324196748829	0	0	65.6710526315789	268.078771560398	PON1
Regulation Of Translation (GO:0006417)	2/202	0.0171129243458788	0.0856324196748829	0	0	10.9888888888889	44.7019350783282	MSI2;PLD1
Positive Regulation Of Cation Transmembrane Transport (GO:1904064)	1/18	0.0178551954764704	0.0856324196748829	0	0	61.8049535603715	248.793414712821	ANK2
Regulation Of Nervous System Process (GO:0031644)	1/18	0.0178551954764704	0.0856324196748829	0	0	61.8049535603715	248.793414712821	NPTX1
Regulation Of Ventricular Cardiac Muscle Cell Membrane Repolarization (GO:0060307)	1/18	0.0178551954764704	0.0856324196748829	0	0	61.8049535603715	248.793414712821	ANK2
DNA Catabolic Process (GO:0006308)	1/19	0.0188382206720143	0.0856324196748829	0	0	58.3684210526316	231.831632180327	CECR2
Regulation Of Cardiac Conduction (GO:1903779)	1/21	0.0208014680109953	0.0856324196748829	0	0	52.5263157894737	203.420329151527	ANK2
Regulation Of Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum (GO:0010880)	1/22	0.0217816918149241	0.0856324196748829	0	0	50.0225563909774	191.420590566052	ANK2
Positive Regulation Of Cholesterol Efflux (GO:0010875)	1/22	0.0217816918149241	0.0856324196748829	0	0	50.0225563909774	191.420590566052	PON1
Regulation Of Cardiac Muscle Cell Membrane Repolarization (GO:0099623)	1/22	0.0217816918149241	0.0856324196748829	0	0	50.0225563909774	191.420590566052	ANK2
Cellular Lipid Catabolic Process (GO:0044242)	1/23	0.0227609834903901	0.0856324196748829	0	0	47.7464114832536	180.610706872738	PLD1
Diacylglycerol Metabolic Process (GO:0046339)	1/23	0.0227609834903901	0.0856324196748829	0	0	47.7464114832536	180.610706872738	DGKH
Regulation Of Potassium Ion Transmembrane Transporter Activity (GO:1901016)	1/26	0.0256932740553108	0.0856324196748829	0	0	42.0105263157895	153.822635691485	ANK2
Protein Localization To Cell Surface (GO:0034394)	1/26	0.0256932740553108	0.0856324196748829	0	0	42.0105263157895	153.822635691485	ANK2
Regulation Of Cardiac Muscle Cell Contraction (GO:0086004)	1/26	0.0256932740553108	0.0856324196748829	0	0	42.0105263157895	153.822635691485	ANK2
Positive Regulation Of Calcium Ion Transmembrane Transporter Activity (GO:1901021)	1/27	0.0266688455361458	0.0856324196748829	0	0	40.3927125506073	146.393661234119	ANK2
Phospholipid Catabolic Process (GO:0009395)	1/28	0.0276434890482457	0.0856324196748829	0	0	38.8947368421053	139.5685145544	PLD1
Regulation Of Calcium Ion-Dependent Exocytosis (GO:0017158)	1/28	0.0276434890482457	0.0856324196748829	0	0	38.8947368421053	139.5685145544	SCAMP5
Regulation Of Cardiac Muscle Cell Action Potential (GO:0098901)	1/28	0.0276434890482457	0.0856324196748829	0	0	38.8947368421053	139.5685145544	ANK2
Modified Amino Acid Transport (GO:0072337)	1/29	0.0286172054274548	0.0856324196748829	0	0	37.5037593984962	133.278878214163	SLC16A9
Regulation Of Potassium Ion Transport (GO:0043266)	1/30	0.0295899955032417	0.0856324196748829	0	0	36.2087114337568	127.46621354177	ANK2
Positive Regulation Of Cholesterol Transport (GO:0032376)	1/31	0.0305618601074185	0.0856324196748829	0	0	35	122.080085720138	PON1
Muscle Cell Development (GO:0055001)	1/32	0.0315328000758389	0.0856324196748829	0	0	33.8692699490662	117.076819992966	ANK2
Regulation Of Cholesterol Efflux (GO:0010874)	1/32	0.0315328000758389	0.0856324196748829	0	0	33.8692699490662	117.076819992966	PON1
Regulation Of Calcium Ion Transmembrane Transporter Activity (GO:1901019)	1/32	0.0315328000758389	0.0856324196748829	0	0	33.8692699490662	117.076819992966	ANK2
Central Nervous System Development (GO:0007417)	2/283	0.032055350891531	0.0856324196748829	0	0	7.78924476077501	26.7972698550673	MSI2;NPTX1
Negative Regulation Of Endocytosis (GO:0045806)	1/33	0.0325028162269628	0.0856324196748829	0	0	32.8092105263158	112.418415330875	SCAMP5
Carboxylic Acid Metabolic Process (GO:0019752)	1/33	0.0325028162269628	0.0856324196748829	0	0	32.8092105263158	112.418415330875	PON1
Positive Regulation Of Ion Transmembrane Transporter Activity (GO:0032414)	1/33	0.0325028162269628	0.0856324196748829	0	0	32.8092105263158	112.418415330875	ANK2
Regulation Of Cardiac Muscle Contraction (GO:0055117)	1/35	0.0344400804224879	0.0881756123071576	0	0	30.8761609907121	104.007406246565	ANK2
Positive Regulation Of Cation Channel Activity (GO:2001259)	1/38	0.0373390688738263	0.0881756123071576	0	0	28.3684210526316	93.2672856226179	ANK2
Carboxylic Acid Transmembrane Transport (GO:1905039)	1/39	0.0383035595748703	0.0881756123071576	0	0	27.6204986149584	90.1039343967808	SLC16A9
Negative Regulation Of Transport (GO:0051051)	1/39	0.0383035595748703	0.0881756123071576	0	0	27.6204986149584	90.1039343967808	SCAMP5
