Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Cell Chemotaxis (GO:0060326)	2/50	0.00113075900599833	0.0648893646818168	0	0	46.1388888888889	313.046187036353	EGR3;CCR6
Metanephric Collecting Duct Development (GO:0072205)	1/5	0.00499044069595166	0.0648893646818168	0	0	262.842105263158	1393.12388948095	PTCH1
Cellular Response To Molecule Of Bacterial Origin (GO:0071219)	2/117	0.00601783802246824	0.0648893646818168	0	0	19.1932367149758	98.1355416991869	CD274;NUGGC
Cellular Response To Lipopolysaccharide (GO:0071222)	2/124	0.00673452910886872	0.0648893646818168	0	0	18.0856102003643	90.4372274339782	CD274;NUGGC
Regulation Of Lymphocyte Apoptotic Process (GO:0070228)	1/7	0.00697999589418079	0.0648893646818168	0	0	175.210526315789	869.868917789248	CD274
Collecting Duct Development (GO:0072044)	1/7	0.00697999589418079	0.0648893646818168	0	0	175.210526315789	869.868917789248	PTCH1
Regulation Of Dendritic Cell Chemotaxis (GO:2000508)	1/7	0.00697999589418079	0.0648893646818168	0	0	175.210526315789	869.868917789248	CCR6
Plasma Membrane To Endosome Transport (GO:0048227)	1/7	0.00697999589418079	0.0648893646818168	0	0	175.210526315789	869.868917789248	USP6NL
Positive Regulation Of Dendritic Cell Chemotaxis (GO:2000510)	1/7	0.00697999589418079	0.0648893646818168	0	0	175.210526315789	869.868917789248	CCR6
Somite Development (GO:0061053)	1/8	0.0079733565142536	0.0648893646818168	0	0	150.172932330827	725.583008139666	PTCH1
Regulation Of Nuclear Cell Cycle DNA Replication (GO:0033262)	1/8	0.0079733565142536	0.0648893646818168	0	0	150.172932330827	725.583008139666	NUGGC
Endothelial Cell Chemotaxis (GO:0035767)	1/8	0.0079733565142536	0.0648893646818168	0	0	150.172932330827	725.583008139666	EGR3
Positive Regulation Of T Cell Apoptotic Process (GO:0070234)	1/9	0.00896577349631742	0.0648893646818168	0	0	131.394736842105	619.439581424405	CD274
Smooth Muscle Tissue Development (GO:0048745)	1/9	0.00896577349631742	0.0648893646818168	0	0	131.394736842105	619.439581424405	PTCH1
Negative Regulation Of Activated T Cell Proliferation (GO:0046007)	1/10	0.0099572476243862	0.0648893646818168	0	0	116.789473684211	538.335775363175	CD274
Cellular Response To Cholesterol (GO:0071397)	1/10	0.0099572476243862	0.0648893646818168	0	0	116.789473684211	538.335775363175	PTCH1
Embryonic Appendage Morphogenesis (GO:0035113)	1/10	0.0099572476243862	0.0648893646818168	0	0	116.789473684211	538.335775363175	PTCH1
Mitotic DNA Replication (GO:1902969)	1/10	0.0099572476243862	0.0648893646818168	0	0	116.789473684211	538.335775363175	LIG1
