Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Atorvastatin ADME R-HSA-9754706	1/9	0.00896577349631742	0.155185817024346	0	0	131.394736842105	619.439581424405	PON1
Synthesis Of 5-Eicosatetraenoic Acids R-HSA-2142688	1/9	0.00896577349631742	0.155185817024346	0	0	131.394736842105	619.439581424405	PON1
Tandem Pore Domain Potassium Channels R-HSA-1296346	1/12	0.0119373705403343	0.155185817024346	0	0	95.5454545454545	423.083051849273	KCNK9
Phase 4 - Resting Membrane Potential R-HSA-5576886	1/19	0.0188382206720143	0.159438715952963	0	0	58.3684210526316	231.831632180327	KCNK9
RHOBTB2 GTPase Cycle R-HSA-9013418	1/23	0.0227609834903901	0.159438715952963	0	0	47.7464114832536	180.610706872738	MSI2
Effects Of PIP2 Hydrolysis R-HSA-114508	1/27	0.0266688455361458	0.159438715952963	0	0	40.3927125506073	146.393661234119	DGKH
Interaction Between L1 And Ankyrins R-HSA-445095	1/29	0.0286172054274548	0.159438715952963	0	0	37.5037593984962	133.278878214163	ANK2
RHOBTB GTPase Cycle R-HSA-9706574	1/35	0.0344400804224879	0.167895392059629	0	0	30.8761609907121	104.007406246565	MSI2
Arachidonic Acid Metabolism R-HSA-2142753	1/59	0.0574016861834188	0.248740640128148	0	0	18.0780399274047	51.6612820658813	PON1
COPI-mediated Anterograde Transport R-HSA-6807878	1/80	0.0770666828500711	0.291749314922997	0	0	13.2584943371086	33.9826376278017	ANK2
Drug ADME R-HSA-9748784	1/95	0.0908738104379916	0.291749314922997	0	0	11.1343784994401	26.7033954953546	PON1
L1CAM Interactions R-HSA-373760	1/99	0.0945224360353158	0.291749314922997	0	0	10.6777658431794	25.1879746270486	ANK2
Potassium Channels R-HSA-1296071	1/102	0.0972497716409989	0.291749314922997	0	0	10.3590411672746	24.1414620651458	KCNK9
Cardiac Conduction R-HSA-5576891	1/126	0.118789239207887	0.324945490925904	0	0	8.36	17.8101812455917	KCNK9
ER To Golgi Anterograde Transport R-HSA-199977	1/133	0.124979034971502	0.324945490925904	0	0	7.91387559808612	16.4577691026876	ANK2
Transport To Golgi And Subsequent Modification R-HSA-948021	1/164	0.151897896711038	0.366059703737939	0	0	6.39877300613497	12.0587866552257	ANK2
Fatty Acid Metabolism R-HSA-8978868	1/173	0.159564486244743	0.366059703737939	0	0	6.06119951040392	11.124162714107	PON1
Muscle Contraction R-HSA-397014	1/196	0.178858890862964	0.387527596869756	0	0	5.34008097165992	9.19112363627508	KCNK9
G Alpha (Q) Signaling Events R-HSA-416476	1/212	0.192032086322938	0.394171124557609	0	0	4.93115490147169	8.13686322154003	DGKH
Neddylation R-HSA-8951664	1/237	0.212214051313895	0.413817400062096	0	0	4.40321141837645	6.82568149758628	WSB2
Platelet Activation, Signaling And Aggregation R-HSA-76002	1/254	0.225663226605349	0.419088849409934	0	0	4.10380694820054	6.10938475699149	DGKH
Asparagine N-linked Glycosylation R-HSA-446203	1/282	0.247340485502451	0.438467224299799	0	0	3.68964225510395	5.15439114885982	ANK2
Neuronal System R-HSA-112316	1/386	0.322915932854966	0.547553103536681	0	0	2.67874231032126	3.0279518890796	KCNK9
RHO GTPase Cycle R-HSA-9012999	1/441	0.35991107920622	0.577953235301043	0	0	2.33732057416268	2.38850387512276	MSI2
Post-translational Protein Modification R-HSA-597592	2/1383	0.407062989461655	0.577953235301043	0	0	1.49641966368976	1.3449630494291	WSB2;ANK2
Axon Guidance R-HSA-422475	1/519	0.409097998989335	0.577953235301043	0	0	1.97744360902256	1.76744017606306	ANK2
Nervous System Development R-HSA-9675108	1/545	0.424679838738255	0.577953235301043	0	0	1.88041795665635	1.61042700969717	ANK2
Hemostasis R-HSA-109582	1/576	0.442748133763676	0.577953235301043	0	0	1.77620137299771	1.44716755965463	DGKH
Membrane Trafficking R-HSA-199991	1/599	0.455803883937055	0.577953235301043	0	0	1.70586164407675	1.34028294042391	ANK2
GPCR Downstream Signaling R-HSA-388396	1/619	0.46692000872613	0.577953235301043	0	0	1.64895247828309	1.25583779405388	DGKH
Vesicle-mediated Transport R-HSA-5653656	1/637	0.476739783674928	0.577953235301043	0	0	1.60079443892751	1.18584365015043	ANK2
Signaling By Rho GTPases R-HSA-194315	1/644	0.480511975400811	0.577953235301043	0	0	1.58279446672669	1.16003501579056	MSI2
Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542	1/660	0.489037352947036	0.577953235301043	0	0	1.54308761281048	1.1037958853847	MSI2
Signaling By GPCR R-HSA-372790	1/689	0.504151901154889	0.578291886618843	0	0	1.47582619339045	1.01076039748116	DGKH
Metabolism Of Lipids R-HSA-556833	1/732	0.52578353242354	0.585873078986231	0	0	1.3859169126647	0.890958427166169	PON1
Metabolism Of Proteins R-HSA-392499	2/1890	0.576143792191278	0.624155774873884	0	0	1.06473634651601	0.5870935028778	WSB2;ANK2
Developmental Biology R-HSA-1266738	1/1073	0.668256222226834	0.704378180185041	0	0	0.928318931657502	0.374190148784919	ANK2
Signal Transduction R-HSA-162582	2/2465	0.725600983930988	0.744695746666014	0	0	0.790228718365137	0.253469831649687	MSI2;DGKH
Metabolism R-HSA-1430728	1/2049	0.884997681429992	0.884997681429992	0	0	0.460834703947368	0.0563002927552712	PON1
