Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
GLI Proteins Bind Promoters Of Hh Responsive Genes To Promote Transcription R-HSA-5635851	1/7	0.00697999589418079	0.17816398629532	0	0	175.210526315789	869.868917789248	PTCH1
Ligand-receptor Interactions R-HSA-5632681	1/8	0.0079733565142536	0.17816398629532	0	0	150.172932330827	725.583008139666	PTCH1
STAT3 Nuclear Events Downstream Of ALK Signaling R-HSA-9701898	1/10	0.0099572476243862	0.17816398629532	0	0	116.789473684211	538.335775363175	CD274
Activation Of SMO R-HSA-5635838	1/18	0.0178551954764704	0.17816398629532	0	0	61.8049535603715	248.793414712821	PTCH1
PD-1 Signaling R-HSA-389948	1/21	0.0208014680109953	0.17816398629532	0	0	52.5263157894737	203.420329151527	CD274
Signaling By ALK R-HSA-201556	1/26	0.0256932740553108	0.17816398629532	0	0	42.0105263157895	153.822635691485	CD274
PIWI-interacting RNA (piRNA) Biogenesis R-HSA-5601884	1/29	0.0286172054274548	0.17816398629532	0	0	37.5037593984962	133.278878214163	MYBL1
Signal Transduction R-HSA-162582	6/2465	0.0292226836497652	0.17816398629532	0	0	3.05368035786905	10.7880726088142	CD274;PPP1R14A;EGR3;PTCH1;CCR6;KALRN
Signaling By GPCR R-HSA-372790	3/689	0.0299891311469157	0.17816398629532	0	0	4.96329960555651	17.4058959335846	PTCH1;CCR6;KALRN
EPHB-mediated Forward Signaling R-HSA-3928662	1/34	0.0334719094011011	0.17816398629532	0	0	31.8133971291866	108.071659909081	KALRN
Beta Defensins R-HSA-1461957	1/35	0.0344400804224879	0.17816398629532	0	0	30.8761609907121	104.007406246565	CCR6
NGF-stimulated Transcription R-HSA-9031628	1/39	0.0383035595748703	0.17816398629532	0	0	27.6204986149584	90.1039343967808	EGR3
Defensins R-HSA-1461973	1/43	0.0421523505298068	0.17816398629532	0	0	24.984962406015	79.1140047439502	CCR6
Retrograde Transport At Trans-Golgi-Network R-HSA-6811440	1/48	0.0469427643840033	0.17816398629532	0	0	22.3213885778275	68.277248167224	USP6NL
Chemokine Receptors Bind Chemokines R-HSA-380108	1/56	0.0545601179499192	0.17816398629532	0	0	19.066985645933	55.4554145114264	CCR6
NRAGE Signals Death Thru JNK R-HSA-193648	1/57	0.0555082103235645	0.17816398629532	0	0	18.7255639097744	54.1398060702703	KALRN
Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725	1/61	0.0592915555925577	0.17816398629532	0	0	17.4736842105263	49.3681970360476	EGR3
RHO GTPases Activate PKNs R-HSA-5625740	1/62	0.0602351399190366	0.17816398629532	0	0	17.1863675582399	48.2850889542995	PPP1R14A
Costimulation By CD28 Family R-HSA-388841	1/68	0.0658777916264094	0.17816398629532	0	0	15.6425765907306	42.5470871318629	CD274
RHOG GTPase Cycle R-HSA-9013408	1/74	0.0714882479432861	0.17816398629532	0	0	14.352559480894	37.8652411529557	KALRN
Cell Death Signaling Via NRAGE, NRIF And NADE R-HSA-204998	1/74	0.0714882479432861	0.17816398629532	0	0	14.352559480894	37.8652411529557	KALRN
G Alpha (12/13) Signaling Events R-HSA-416482	1/78	0.0752107517706809	0.17816398629532	0	0	13.6042378673958	35.2004360399448	KALRN
GPCR Ligand Binding R-HSA-500792	2/458	0.0758090923047026	0.17816398629532	0	0	4.75730994152047	12.2716572157495	PTCH1;CCR6
Hedgehog On State R-HSA-5632684	1/85	0.0816910427282764	0.17816398629532	0	0	12.4661654135338	31.2253872490644	PTCH1
Antimicrobial Peptides R-HSA-6803157	1/89	0.0853746735440269	0.17816398629532	0	0	11.8971291866029	29.2753346130257	CCR6
MAPK6/MAPK4 Signaling R-HSA-5687128	1/90	0.0862933855050247	0.17816398629532	0	0	11.762862211709	28.8190398166856	KALRN
Signaling By Receptor Tyrosine Kinases R-HSA-9006934	2/496	0.0869599777859057	0.17816398629532	0	0	4.38281601439496	10.7041835097905	CD274;EGR3
EPH-Ephrin Signaling R-HSA-2682334	1/91	0.0872112207421384	0.17816398629532	0	0	11.6315789473684	28.3743328138059	KALRN
Class B/2 (Secretin Family Receptors) R-HSA-373080	1/92	0.0881281800641534	0.17816398629532	0	0	11.5031810294968	27.9408003283993	PTCH1
P75 NTR Receptor-Mediated Signaling R-HSA-193704	1/95	0.0908738104379916	0.17816398629532	0	0	11.1343784994401	26.7033954953546	KALRN
Hedgehog Off State R-HSA-5610787	1/98	0.093611586019575	0.17816398629532	0	0	10.7883884970157	25.5533890867207	PTCH1
Gene Silencing By RNA R-HSA-211000	1/108	0.102681048336428	0.189318182870288	0	0	9.77520905066404	22.2496242234017	MYBL1
Signaling By NTRK1 (TRKA) R-HSA-187037	1/114	0.108081273165397	0.193236215659346	0	0	9.25337680484397	20.5875771592915	EGR3
Signaling By NTRKs R-HSA-166520	1/132	0.124097314266769	0.206427937047462	0	0	7.97468862997188	16.6406968663328	EGR3
GPCR Downstream Signaling R-HSA-388396	2/619	0.126070990109399	0.206427937047462	0	0	3.48694399423735	7.22114759550335	CCR6;KALRN
Signaling By Hedgehog R-HSA-5358351	1/135	0.126739947422252	0.206427937047462	0	0	7.79497250589159	16.101435127413	PTCH1
Death Receptor Signaling R-HSA-73887	1/139	0.130251677909176	0.206427937047462	0	0	7.5675057208238	15.4247463856095	KALRN
Signaling By Rho GTPases R-HSA-194315	2/644	0.134491716790586	0.206427937047462	0	0	3.34683281412253	6.71459225945959	PPP1R14A;KALRN
RHOA GTPase Cycle R-HSA-8980692	1/147	0.137234931573511	0.206427937047462	0	0	7.14996395097332	14.2002645028885	KALRN
Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542	2/660	0.139951143760991	0.206427937047462	0	0	3.26274907125971	6.41607170661558	PPP1R14A;KALRN
RAC1 GTPase Cycle R-HSA-9013149	1/178	0.163795206668992	0.233645505318645	0	0	5.88849241748439	10.6530975816179	KALRN
Intra-Golgi And Retrograde Golgi-to-ER Traffic R-HSA-6811442	1/181	0.166323919040391	0.233645505318645	0	0	5.78947368421053	10.3852625247457	USP6NL
Peptide Ligand-Binding Receptors R-HSA-375276	1/196	0.178858890862964	0.245411036300346	0	0	5.34008097165992	9.19112363627508	CCR6
G Alpha (Q) Signaling Events R-HSA-416476	1/212	0.192032086322938	0.257497570296666	0	0	4.93115490147169	8.13686322154003	KALRN
RHO GTPase Effectors R-HSA-195258	1/269	0.237348738682399	0.311190568494701	0	0	3.87117046347211	5.5676131649356	PPP1R14A
G Alpha (I) Signaling Events R-HSA-418594	1/312	0.26992586503101	0.33831761631589	0	0	3.32865121001862	4.35922802632116	CCR6
MAPK Family Signaling Cascades R-HSA-5683057	1/318	0.274364997838109	0.33831761631589	0	0	3.26465216669434	4.22216142588564	KALRN
