Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Phosphatidic Acid Biosynthetic Process (GO:0006654)	2/29	0.000379510134877263	0.0211718565242091	0	0	82.1111111111111	646.758779988934	PLD1;DGKH
Negative Regulation Of Intracellular Steroid Hormone Receptor Signaling Pathway (GO:0033144)	2/31	0.000434140102652416	0.0211718565242091	0	0	76.4406130268199	591.814176843113	KANK2;CRY1
Phosphatidic Acid Metabolic Process (GO:0046473)	2/33	0.000492368756376956	0.0211718565242091	0	0	71.5017921146953	544.577856394618	PLD1;DGKH
Negative Regulation Of Glucocorticoid Receptor Signaling Pathway (GO:2000323)	1/5	0.00499044069595166	0.0682946475793698	0	0	262.842105263158	1393.12388948095	CRY1
Podocyte Cell Migration (GO:0090521)	1/5	0.00499044069595166	0.0682946475793698	0	0	262.842105263158	1393.12388948095	KANK2
Glycerophospholipid Biosynthetic Process (GO:0046474)	2/108	0.00515157484487764	0.0682946475793698	0	0	20.832285115304	109.753911177989	PLD1;DGKH
Regulation Of Vitamin D Receptor Signaling Pathway (GO:0070562)	1/6	0.00598569086674517	0.0682946475793698	0	0	210.263157894737	1076.20748088462	KANK2
Regulation Of Glucocorticoid Receptor Signaling Pathway (GO:2000322)	1/6	0.00598569086674517	0.0682946475793698	0	0	210.263157894737	1076.20748088462	CRY1
Positive Regulation Of Fibroblast Apoptotic Process (GO:2000271)	1/6	0.00598569086674517	0.0682946475793698	0	0	210.263157894737	1076.20748088462	TP63
Regulation Of Microvillus Organization (GO:0032530)	1/7	0.00697999589418079	0.0682946475793698	0	0	175.210526315789	869.868917789248	PLD1
Kidney Epithelium Development (GO:0072073)	1/7	0.00697999589418079	0.0682946475793698	0	0	175.210526315789	869.868917789248	KANK2
Negative Regulation Of Circadian Rhythm (GO:0042754)	1/7	0.00697999589418079	0.0682946475793698	0	0	175.210526315789	869.868917789248	CRY1
Regulation Of Fibroblast Apoptotic Process (GO:2000269)	1/8	0.0079733565142536	0.0682946475793698	0	0	150.172932330827	725.583008139666	TP63
Regulation Of Generation Of Precursor Metabolites And Energy (GO:0043467)	1/8	0.0079733565142536	0.0682946475793698	0	0	150.172932330827	725.583008139666	PRDM16
Brown Fat Cell Differentiation (GO:0050873)	1/8	0.0079733565142536	0.0682946475793698	0	0	150.172932330827	725.583008139666	PRDM16
Lipid Phosphorylation (GO:0046834)	1/9	0.00896577349631742	0.0682946475793698	0	0	131.394736842105	619.439581424405	DGKH
Protein Kinase C-activating G Protein-Coupled Receptor Signaling Pathway (GO:0007205)	1/10	0.0099572476243862	0.0682946475793698	0	0	116.789473684211	538.335775363175	DGKH
Negative Regulation Of Intracellular Estrogen Receptor Signaling Pathway (GO:0033147)	1/10	0.0099572476243862	0.0682946475793698	0	0	116.789473684211	538.335775363175	KANK2
Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507)	3/456	0.0100589015814576	0.0682946475793698	0	0	7.60693416439423	34.986551816868	PRDM16;CRY1;TP63
Regulation Of Cell Cycle Checkpoint (GO:1901976)	1/11	0.010947779702856	0.0706131790834211	0	0	105.105263157895	474.510177076512	CRY1
Organophosphate Catabolic Process (GO:0046434)	1/12	0.0119373705403343	0.0733295618906253	0	0	95.5454545454545	423.083051849273	PLD1
Negative Regulation Of Gluconeogenesis (GO:0045721)	1/15	0.0149005037888986	0.0873711358530871	0	0	75.0601503759399	315.730033295706	CRY1
Regulation Of Cellular Respiration (GO:0043457)	1/17	0.0168712348172724	0.0921328086585874	0	0	65.6710526315789	268.078771560398	PRDM16
Negative Regulation Of DNA-templated Transcription (GO:0045892)	4/1025	0.0172133235393947	0.0921328086585874	0	0	4.6422624877571	18.8572024749942	KANK2;PRDM16;CRY1;TP63
Regulation Of DNA Damage Checkpoint (GO:2000001)	1/18	0.0178551954764704	0.0921328086585874	0	0	61.8049535603715	248.793414712821	CRY1
Establishment Of Skin Barrier (GO:0061436)	1/19	0.0188382206720143	0.0934665564111477	0	0	58.3684210526316	231.831632180327	TP63
Skin Epidermis Development (GO:0098773)	1/21	0.0208014680109953	0.09377834757134	0	0	52.5263157894737	203.420329151527	TP63
Negative Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0045744)	1/22	0.0217816918149241	0.09377834757134	0	0	50.0225563909774	191.420590566052	CRY1
Cellular Lipid Catabolic Process (GO:0044242)	1/23	0.0227609834903901	0.09377834757134	0	0	47.7464114832536	180.610706872738	PLD1
Diacylglycerol Metabolic Process (GO:0046339)	1/23	0.0227609834903901	0.09377834757134	0	0	47.7464114832536	180.610706872738	DGKH
Entrainment Of Circadian Clock By Photoperiod (GO:0043153)	1/23	0.0227609834903901	0.09377834757134	0	0	47.7464114832536	180.610706872738	CRY1
Photoperiodism (GO:0009648)	1/24	0.0237393438664972	0.09377834757134	0	0	45.6681922196796	170.827422984315	CRY1
Organophosphate Ester Transport (GO:0015748)	1/25	0.0247167737784927	0.09377834757134	0	0	43.7631578947368	161.935638794938	PRELID2
Regulation Of Intracellular Estrogen Receptor Signaling Pathway (GO:0033146)	1/25	0.0247167737784927	0.09377834757134	0	0	43.7631578947368	161.935638794938	KANK2
Phospholipid Catabolic Process (GO:0009395)	1/28	0.0276434890482457	0.0987282305444653	0	0	38.8947368421053	139.5685145544	PLD1
Negative Regulation Of Signal Transduction (GO:0009968)	2/267	0.0287993639897494	0.0987282305444653	0	0	8.26624737945493	29.3237022861096	KANK2;CRY1
Negative Regulation Of Carbohydrate Metabolic Process (GO:0045912)	1/30	0.0295899955032417	0.0987282305444653	0	0	36.2087114337568	127.46621354177	CRY1
Regulation Of Gluconeogenesis (GO:0006111)	1/31	0.0305618601074185	0.0987282305444653	0	0	35	122.080085720138	CRY1
Negative Regulation Of G1/S Transition Of Mitotic Cell Cycle (GO:2000134)	1/32	0.0315328000758389	0.0987282305444653	0	0	33.8692699490662	117.076819992966	KANK2
Gluconeogenesis (GO:0006094)	1/32	0.0315328000758389	0.0987282305444653	0	0	33.8692699490662	117.076819992966	CRY1
Negative Regulation Of Small Molecule Metabolic Process (GO:0062014)	1/33	0.0325028162269628	0.0987282305444653	0	0	32.8092105263158	112.418415330875	CRY1
Positive Regulation Of Notch Signaling Pathway (GO:0045747)	1/33	0.0325028162269628	0.0987282305444653	0	0	32.8092105263158	112.418415330875	TP63
Hexose Biosynthetic Process (GO:0019319)	1/35	0.0344400804224879	0.0987282305444653	0	0	30.8761609907121	104.007406246565	CRY1
Dendrite Morphogenesis (GO:0048813)	1/35	0.0344400804224879	0.0987282305444653	0	0	30.8761609907121	104.007406246565	FARP1
