Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Heat Acclimation (GO:0010286)	3/5	8.53897543276231e-09	2.2793140461031e-06	0	0	1762.76470588235	32749.7440972901	HSPA6;HSPA1B;HSPA1A
Cellular Heat Acclimation (GO:0070370)	3/5	8.53897543276231e-09	2.2793140461031e-06	0	0	1762.76470588235	32749.7440972901	HSPA6;HSPA1B;HSPA1A
Chaperone Cofactor-Dependent Protein Refolding (GO:0051085)	4/27	1.25697465777745e-08	2.2793140461031e-06	0	0	216.923913043478	3946.27396381032	DNAJB1;HSPA6;HSPA1B;HSPA1A
'De Novo' Post-Translational Protein Folding (GO:0051084)	4/32	2.56733976368636e-08	3.49158207861345e-06	0	0	178.142857142857	3113.54709774411	DNAJB1;HSPA6;HSPA1B;HSPA1A
Cellular Response To Heat (GO:0034605)	4/40	6.49146992195593e-08	7.06271927508805e-06	0	0	138.5	2292.20155718047	DNAJB1;HSPA6;HSPA1B;HSPA1A
Negative Regulation Of Inclusion Body Assembly (GO:0090084)	3/10	1.02145638779893e-07	7.93817535660884e-06	0	0	503.521008403361	8105.11030663044	DNAJB1;HSPA1B;HSPA1A
Regulation Of Inclusion Body Assembly (GO:0090083)	3/10	1.02145638779893e-07	7.93817535660884e-06	0	0	503.521008403361	8105.11030663044	DNAJB1;HSPA1B;HSPA1A
Negative Regulation Of Cellular Component Organization (GO:0051129)	4/79	1.04093101132306e-06	6.43364734775702e-05	0	0	66.35	913.997461041421	DNAJB1;TNF;HSPA1B;HSPA1A
Regulation Of Interleukin-8 Production (GO:0032677)	4/81	1.15116186802844e-06	6.43364734775702e-05	0	0	64.6201298701299	883.6633975576	IL10;TNF;HSPA1B;HSPA1A
Negative Regulation Of Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand (GO:2001240)	3/22	1.30092133870087e-06	6.43364734775702e-05	0	0	185.396284829721	2512.57162266693	TNF;HSPA1B;HSPA1A
Negative Regulation Of Signal Transduction In Absence Of Ligand (GO:1901099)	3/22	1.30092133870087e-06	6.43364734775702e-05	0	0	185.396284829721	2512.57162266693	TNF;HSPA1B;HSPA1A
Cellular Response To Steroid Hormone Stimulus (GO:0071383)	3/25	1.93923039411542e-06	8.79117778665657e-05	0	0	160.090909090909	2105.71084604102	GPER1;HSPA1B;HSPA1A
Regulation Of Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand (GO:2001239)	3/27	2.46305875380829e-06	0.000103069535543978	0	0	146.735294117647	1894.95522794903	TNF;HSPA1B;HSPA1A
Negative Regulation Of Cellular Process (GO:0048523)	6/537	1.02466374835883e-05	0.000373063310524845	0	0	15.6973365617433	180.339807945568	IL10;NR4A1;GPER1;IRF1;HSPA1B;HSPA1A
Regulation Of Endothelial Cell Apoptotic Process (GO:2000351)	3/43	1.02866721652071e-05	0.000373063310524845	0	0	87.9705882352941	1010.31242477393	IL10;GPER1;TNF
Response To Unfolded Protein (GO:0006986)	3/44	1.10323259528131e-05	0.000375099082395645	0	0	85.8206599713056	979.6154457787	DNAJB1;HSPA6;HSPA1A
Positive Regulation Of Cytokine Production (GO:0001819)	5/320	1.29334977184826e-05	0.00040701776195652	0	0	20.8095238095238	234.225546756324	IL10;IRF1;TNF;HSPA1B;HSPA1A
Cellular Response To Organic Cyclic Compound (GO:0071407)	4/152	1.41310192143521e-05	0.00040701776195652	0	0	33.5	374.099130793241	GPER1;TNF;HSPA1B;HSPA1A
Regulation Of Nucleotide-Binding Oligomerization Domain Containing 2 Signaling Pathway (GO:0070432)	2/6	1.42156938918638e-05	0.00040701776195652	0	0	554.888888888889	6193.20589066257	HSPA1B;HSPA1A
Negative Regulation Of Gene Expression (GO:0010629)	5/336	1.6365752584686e-05	0.000445148470303459	0	0	19.7875125881168	218.064714068842	IL10;GPER1;TNF;HSPA1B;HSPA1A
Positive Regulation Of Microtubule Nucleation (GO:0090063)	2/7	1.98901004712407e-05	0.000515248316969283	0	0	443.888888888889	4805.22524588867	HSPA1B;HSPA1A
Negative Regulation Of Production Of Molecular Mediator Of Immune Response (GO:0002701)	2/8	2.65043002514317e-05	0.000626884318990385	0	0	369.888888888889	3897.96440735713	IL10;TNF
Positive Regulation Of Tumor Necrosis Factor-Mediated Signaling Pathway (GO:1903265)	2/8	2.65043002514317e-05	0.000626884318990385	0	0	369.888888888889	3897.96440735713	HSPA1B;HSPA1A
Negative Regulation Of Cell Population Proliferation (GO:0008285)	5/379	2.91835458989318e-05	0.000645334429035343	0	0	17.4741532976827	182.463457499012	IL10;GPER1;IRF1;HSPA1B;HSPA1A
Positive Regulation Of Interleukin-8 Production (GO:0032757)	3/61	2.96569130990507e-05	0.000645334429035343	0	0	60.6146044624746	631.956670784081	TNF;HSPA1B;HSPA1A
Regulation Of Microtubule Nucleation (GO:0010968)	2/10	4.25453003464976e-05	0.000857209014388692	0	0	277.388888888889	2791.90284487866	HSPA1B;HSPA1A
Response To Corticosteroid (GO:0031960)	2/10	4.25453003464976e-05	0.000857209014388692	0	0	277.388888888889	2791.90284487866	IL10;TNF
Negative Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001237)	3/70	4.48495536771173e-05	0.000871362757155422	0	0	52.4486391571554	525.12610347817	TNF;HSPA1B;HSPA1A
Cellular Response To Lipid (GO:0071396)	4/228	6.9046574974507e-05	0.00129521850986661	0	0	22.0491071428571	211.246526433317	IL10;GPER1;HSPA1B;HSPA1A
Negative Regulation Of Cell Cycle (GO:0045786)	3/85	8.01542768819023e-05	0.00145346422079183	0	0	42.8220946915351	403.879040618292	IL10;NR4A1;GPER1
Positive Regulation Of Heterotypic Cell-Cell Adhesion (GO:0034116)	2/14	8.58303566585628e-05	0.00150618432329865	0	0	184.888888888889	1731.14014561946	IL10;TNF
Positive Regulation Of Gene Expression (GO:0010628)	5/480	8.97153620869656e-05	0.00152516115547842	0	0	13.6877192982456	127.554056791627	IL10;GPER1;TNF;HSPA1B;HSPA1A
Positive Regulation Of DNA-binding Transcription Factor Activity (GO:0051091)	4/246	9.26758525014539e-05	0.00152774738669063	0	0	20.3904958677686	189.354354048516	IL10;TNF;HSPA1B;HSPA1A
Cellular Response To Hormone Stimulus (GO:0032870)	3/94	0.000108157805915216	0.00173052489464345	0	0	38.5694893341952	352.213461397085	GPER1;HSPA1B;HSPA1A
Negative Regulation Of Cytokine Production Involved In Immune Response (GO:0002719)	2/16	0.000113047430261891	0.00175708005892768	0	0	158.460317460317	1440.0403167035	IL10;TNF
Negative Regulation Of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904706)	2/17	0.000128043717126548	0.00193488283657895	0	0	147.888888888889	1325.54863990867	IL10;GPER1
Regulation Of Mitotic Spindle Assembly (GO:1901673)	2/20	0.000178563458922017	0.00262536545009668	0	0	123.222222222222	1063.47758412237	HSPA1B;HSPA1A
Regulation Of Membrane Protein Ectodomain Proteolysis (GO:0051043)	2/21	0.000197241423521882	0.00282366669462905	0	0	116.730994152047	995.841692324286	IL10;TNF
Regulation Of Cytokine Production Involved In Immune Response (GO:0002718)	2/24	0.000258766107087523	0.00351921905639032	0	0	100.79797979798	832.549579311163	IL10;TNF
Regulation Of Heterotypic Cell-Cell Adhesion (GO:0034114)	2/24	0.000258766107087523	0.00351921905639032	0	0	100.79797979798	832.549579311163	IL10;TNF
Negative Regulation Of Lipid Metabolic Process (GO:0045833)	2/26	0.000304341581174277	0.00385027488741411	0	0	92.3888888888889	748.106080866866	GPER1;TNF
