Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
RHOF GTPase Cycle R-HSA-9035034	2/42	0.000798579474022515	0.0335403379089457	0	0	55.3888888888889	395.07100210657	FARP1;SOWAHC
Activation Of PUMA And Translocation To Mitochondria R-HSA-139915	1/9	0.00896577349631742	0.0730470917443052	0	0	131.394736842105	619.439581424405	TP63
RHOA GTPase Cycle R-HSA-8980692	2/147	0.00934730868647747	0.0730470917443052	0	0	15.1992337164751	71.0209550480393	FARP1;SOWAHC
TP53 Regulates Transcription Of Caspase Activators And Caspases R-HSA-6803207	1/12	0.0119373705403343	0.0730470917443052	0	0	95.5454545454545	423.083051849273	TP63
TP53 Regulates Transcription Of Death Receptors And Ligands R-HSA-6803211	1/12	0.0119373705403343	0.0730470917443052	0	0	95.5454545454545	423.083051849273	TP63
Lysine Catabolism R-HSA-71064	1/12	0.0119373705403343	0.0730470917443052	0	0	95.5454545454545	423.083051849273	AASS
TP53 Regulates Transcription Of Additional Cell Death Genes With Uncertain Roles In P53-Dependent Apoptosis R-HSA-6803205	1/14	0.01391373176082	0.0730470917443052	0	0	80.8380566801619	345.572913330578	TP63
Regulation Of TP53 Activity Thru Association With Co-factors R-HSA-6804759	1/14	0.01391373176082	0.0730470917443052	0	0	80.8380566801619	345.572913330578	TP63
Gastrulation R-HSA-9758941	1/17	0.0168712348172724	0.078732429147271	0	0	65.6710526315789	268.078771560398	TP63
TP53 Regulates Transcription Of Genes Involved In Cytochrome C Release R-HSA-6803204	1/20	0.0198203112382321	0.0832453072005748	0	0	55.2936288088643	216.808975250484	TP63
Pyroptosis R-HSA-5620971	1/26	0.0256932740553108	0.0933409593765104	0	0	42.0105263157895	153.822635691485	TP63
Effects Of PIP2 Hydrolysis R-HSA-114508	1/27	0.0266688455361458	0.0933409593765104	0	0	40.3927125506073	146.393661234119	DGKH
Activation Of BH3-only Proteins R-HSA-114452	1/30	0.0295899955032417	0.0955984470104733	0	0	36.2087114337568	127.46621354177	TP63
TP53 Regulates Transcription Of Cell Death Genes R-HSA-5633008	1/44	0.0431122594296054	0.12876221707015	0	0	24.4026927784578	76.7207942465503	TP63
PKMTs Methylate Histone Lysines R-HSA-3214841	1/47	0.0459865060964823	0.12876221707015	0	0	22.8077803203661	70.2344445597441	PRDM16
