Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Attenuation Phase R-HSA-3371568	4/26	1.07143930836554e-08	8.74952322481607e-07	0	0	226.795454545455	4162.07711997422	DNAJB1;HSPA6;HSPA1B;HSPA1A
HSF1 Activation R-HSA-3371511	4/29	1.69893654850797e-08	8.74952322481607e-07	0	0	199.55	3570.08484445535	DNAJB1;HSPA6;HSPA1B;HSPA1A
HSF1-dependent Transactivation R-HSA-3371571	4/36	4.19475351288503e-08	1.44019870609053e-06	0	0	155.84375	2647.29380673327	DNAJB1;HSPA6;HSPA1B;HSPA1A
Regulation Of HSF1-mediated Heat Shock Response R-HSA-3371453	4/81	1.15116186802844e-06	2.96424181017322e-05	0	0	64.6201298701299	883.6633975576	DNAJB1;HSPA6;HSPA1B;HSPA1A
Cellular Response To Heat Stress R-HSA-3371556	4/99	2.57475745151725e-06	5.30400035012555e-05	0	0	52.3289473684211	673.460743649729	DNAJB1;HSPA6;HSPA1B;HSPA1A
HSP90 Chaperone Cycle For Steroid Hormone Receptors (SHR) In Presence Of Ligand R-HSA-3371497	3/38	7.05414102539876e-06	0.000121096087602679	0	0	100.563025210084	1192.86811974675	DNAJB1;HSPA1B;HSPA1A
Immune System R-HSA-168256	9/1943	4.69782429733945e-05	0.000691251289465661	0	0	7.63438939550625	76.0829961707164	IL10;PTPRB;VNN1;IRF1;HSPA6;IFI30;TNF;HSPA1B;HSPA1A
Neutrophil Degranulation R-HSA-6798695	5/468	7.96071711704456e-05	0.00102494232881949	0	0	14.0511159107271	132.620142045152	PTPRB;VNN1;HSPA6;HSPA1B;HSPA1A
Interleukin-10 Signaling R-HSA-6783783	2/45	0.000916578685522665	0.0104897338454261	0	0	51.5167958656331	360.352910733431	IL10;TNF
Innate Immune System R-HSA-168249	5/1035	0.00297039658396508	0.0305950848148403	0	0	6.13268608414239	35.6864670896965	PTPRB;VNN1;HSPA6;HSPA1B;HSPA1A
Interferon Gamma Signaling R-HSA-877300	2/89	0.00353133542895987	0.0330661408348061	0	0	25.4061302681992	143.445022925287	IRF1;IFI30
Cytokine Signaling In Immune System R-HSA-1280215	4/702	0.00465481903478317	0.0377957552996171	0	0	6.90616045845272	37.0850612384105	IL10;IRF1;IFI30;TNF
Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807	2/107	0.00505919839545095	0.0377957552996171	0	0	21.031746031746	111.185318686312	IL10;TNF
Cellular Responses To Stress R-HSA-2262752	4/722	0.00514274035362412	0.0377957552996171	0	0	6.70682451253482	35.3460999680983	DNAJB1;HSPA6;HSPA1B;HSPA1A
Cellular Responses To Stimuli R-HSA-8953897	4/736	0.0055042362086821	0.0377957552996171	0	0	6.57377049180328	34.1983138138293	DNAJB1;HSPA6;HSPA1B;HSPA1A
TNFR1-mediated Ceramide Production R-HSA-5626978	1/6	0.00598569086674517	0.038532884954672	0	0	210.263157894737	1076.20748088462	TNF
CD163 Mediating An Anti-Inflammatory Response R-HSA-9662834	1/9	0.00896577349631742	0.0543220394188644	0	0	131.394736842105	619.439581424405	IL10
AKT Phosphorylates Targets In Nucleus R-HSA-198693	1/10	0.0099572476243862	0.0569775836284321	0	0	116.789473684211	538.335775363175	NR4A1
TNFR1-induced Proapoptotic Signaling R-HSA-5357786	1/13	0.0129260209528939	0.0700726399025299	0	0	87.5789473684211	380.838179873743	TNF
Interferon Signaling R-HSA-913531	2/200	0.016794888254869	0.0827493898180501	0	0	11.1010101010101	45.3662838348314	IRF1;IFI30
Vitamin B5 (Pantothenate) Metabolism R-HSA-199220	1/17	0.0168712348172724	0.0827493898180501	0	0	65.6710526315789	268.078771560398	VNN1
Constitutive Signaling By AKT1 E17K In Cancer R-HSA-5674400	1/26	0.0256932740553108	0.110266967820709	0	0	42.0105263157895	153.822635691485	NR4A1
TNFR1-induced NFkappaB Signaling Pathway R-HSA-5357956	1/26	0.0256932740553108	0.110266967820709	0	0	42.0105263157895	153.822635691485	TNF
Pyroptosis R-HSA-5620971	1/26	0.0256932740553108	0.110266967820709	0	0	42.0105263157895	153.822635691485	IRF1
Regulation Of TNFR1 Signaling R-HSA-5357905	1/35	0.0344400804224879	0.116856913717088	0	0	30.8761609907121	104.007406246565	TNF
Gene And Protein Expression By JAK-STAT Signaling After Interleukin-12 Stimulation R-HSA-8950505	1/35	0.0344400804224879	0.116856913717088	0	0	30.8761609907121	104.007406246565	IL10
Impaired BRCA2 Binding To RAD51 R-HSA-9709570	1/35	0.0344400804224879	0.116856913717088	0	0	30.8761609907121	104.007406246565	RRAD
Activation Of ATR In Response To Replication Stress R-HSA-176187	1/36	0.0354073301248565	0.116856913717088	0	0	29.9924812030075	100.199973367323	RRAD
