X	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene.name
ENSG00000186522	1143.76331021458	-7.17086881660985	0.761770289867189	-9.41342674031046	4.80219898546303e-21	2.61635661915744e-17	SEPTIN10
ENSG00000247516	106.270920161172	-6.39527759679449	0.750811892429355	-8.51781606189228	1.62590160186626e-17	6.11478365296158e-14	MIR4458HG
ENSG00000008405	1792.95738100654	-4.02157496301339	0.473228304885513	-8.49817080148305	1.9260157418308e-17	6.3380363024297e-14	CRY1
ENSG00000211973	28737.331331407	-11.1693983465299	1.3365365412979	-8.3569719206355	6.43486088839601e-17	1.88226830831015e-13	IGHV1-69
ENSG00000198142	586.990958193349	-5.98817752158669	0.74278840062742	-8.06175421765955	7.52072970715957e-16	1.97990730270683e-12	SOWAHC
ENSG00000161103	396.971173843909	-6.57956937758888	0.852684222251959	-7.71630247855659	1.19752925746513e-14	2.86601411200244e-11	AC008132.1
ENSG00000075651	319.312989123296	-4.38625020389852	0.594073673828662	-7.38334384627784	1.54362687791426e-13	3.38646009899757e-10	PLD1
ENSG00000158528	2438.69585633461	-6.86023361783953	0.970543478200506	-7.06844543488062	1.56678934600313e-12	2.94623545163417e-09	PPP1R9A
ENSG00000176381	38.610612078275	-5.68791358338528	0.808780645341745	-7.03270239730068	2.02571142472712e-12	3.55525859782441e-09	PRR18
ENSG00000152767	2056.6950015758	-3.60938123985258	0.521682312210598	-6.91873417091341	4.55697039990658e-12	7.05687074987886e-09	FARP1
ENSG00000186417	114.441621312306	-4.20679512655888	0.641524902608929	-6.55749310658221	5.47198393129031e-11	6.85978328453089e-08	GLDN
ENSG00000197210	48.3397444911698	-5.23279059404012	0.819417260942032	-6.38599019506168	1.70291912630377e-10	1.6011088899669e-07	AP000550.1
ENSG00000102780	1559.95286622837	-3.58104285934598	0.573708100011736	-6.24192487307173	4.32218551164102e-10	3.79286185931538e-07	DGKH
ENSG00000142611	184.392645816575	-8.25012234265662	1.3587238912685	-6.07196384465891	1.26355385348275e-09	9.78362316081968e-07	PRDM16
ENSG00000222037	3770.12326456042	-6.95941746096965	1.15593410050435	-6.02060053244657	1.73771135755772e-09	1.27074969997401e-06	IGLC6
ENSG00000198185	91.5050115975767	-5.92401764326786	1.00443175488285	-5.89787968617024	3.68202285607858e-09	2.42332334272811e-06	ZNF334
ENSG00000073282	216.347971086086	-4.99336855722994	0.862222781741229	-5.7912742077471	6.98544222473125e-09	3.91273940443138e-06	TP63
ENSG00000197256	1918.68298736819	-3.91988019074107	0.676813213734562	-5.79167207612824	6.96891084968972e-09	3.91273940443138e-06	KANK2
ENSG00000186314	48.5498434906456	-4.53268758720555	0.795794431757247	-5.69580208948763	1.22793253196758e-08	6.33853957579972e-06	PRELID2
ENSG00000008311	136.702573197332	-4.28875070719174	0.764497872739608	-5.60989227062574	2.02452602117629e-08	9.69048582427035e-06	AASS
ENSG00000182195	525.979377877175	-4.05022251607263	0.727522298907087	-5.56714553238716	2.58946119637164e-08	1.13696360524833e-05	LDOC1
ENSG00000005421	27.3859152019423	-6.47685662756317	1.16591507242853	-5.55517016695929	2.77341442815985e-08	1.19693292189732e-05	PON1
ENSG00000273123	10.1448039230286	-4.62058534412654	0.837765960145731	-5.51536534537973	3.4805614970549e-08	1.47789132212044e-05	AC020634.2
ENSG00000272049	7.00418761580906	-4.60506014939792	0.837011202981396	-5.50179033804435	3.7595387320364e-08	1.57100978824747e-05	AC091965.4
ENSG00000176834	2212.10661902481	-1.89255273907067	0.344964565304059	-5.48622359923414	4.10617092716998e-08	1.6701192953824e-05	VSIG10
ENSG00000197421	21.2505403847045	-4.04007969184844	0.736504963470689	-5.48547517291677	4.12359470484904e-08	1.6701192953824e-05	GGT3P
ENSG00000237916	8.30179294522973	-5.44962016150149	0.998392117803196	-5.45839662025028	4.8045347156591e-08	1.83310407136872e-05	RPL37P12
ENSG00000211685	2081.99571268328	-6.87963269106306	1.26762802023885	-5.42716994356657	5.72546087530044e-08	2.06477373976931e-05	IGLC7
ENSG00000249159	4.48516747195815	-4.6583889594533	0.858236722310652	-5.42786021426746	5.70336792532146e-08	2.06477373976931e-05	AC091965.1
ENSG00000151090	194.368839241797	-4.95155082750989	0.916432892831651	-5.40306973510115	6.55099762735365e-08	2.30318773307524e-05	THRB
ENSG00000172292	460.66221043003	-2.31204059351171	0.429892094311296	-5.37818821073156	7.52391409445796e-08	2.53941746731667e-05	CERS6
ENSG00000145362	135.046349813067	-3.05698695106918	0.571657484516859	-5.34758493305273	8.9135587368578e-08	2.93322934133148e-05	ANK2
ENSG00000257548	2.91636646914366	-3.98920308441691	0.747701443607277	-5.33528872857467	9.53926419863209e-08	3.10037863324924e-05	AC078929.1
ENSG00000169427	236.72400281747	-4.36937478381936	0.828751854850136	-5.27223529968386	1.34772134159919e-07	4.17413082811063e-05	KCNK9
ENSG00000260032	17030.9215306946	-0.563523687170142	0.107330215863541	-5.25037318369507	1.51791376380037e-07	4.51811814683143e-05	NORAD
