ID	CONDITION
H016	mutated
H028	mutated
H029	mutated
H031	mutated
H035	mutated
H063	mutated
H094	mutated
H100	mutated
H118	mutated
H173	mutated
H013	unmutated
H014	unmutated
H015	unmutated
H019	unmutated
H023	unmutated
H027	unmutated
H030	unmutated
H042	unmutated
H043	unmutated
H045	unmutated
H048	unmutated
H060	unmutated
H065	unmutated
H066	unmutated
H072	unmutated
H077	unmutated
H078	unmutated
H080	unmutated
H095	unmutated
H102	unmutated
H104	unmutated
H107	unmutated
H109	unmutated
H111	unmutated
H148	unmutated
H164	unmutated
H165	unmutated
H167	unmutated
H171	unmutated
H187	unmutated
H228	unmutated
H231	unmutated
H233	unmutated
H234	unmutated
H238	unmutated
H239	unmutated
H242	unmutated
H246	unmutated
H249	unmutated
H255	unmutated
H257	unmutated
H260	unmutated
H265	unmutated
H272	unmutated
