Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Cell Chemotaxis (GO:0060326)	2/50	0.00113075900599833	0.0812318713424225	0	0	46.1388888888889	313.046187036353	EGR3;CCR6
Cellular Response To Lipid (GO:0071396)	3/228	0.00144424184933571	0.0812318713424225	0	0	15.4941176470588	101.334175293369	CD274;GPER1;NUGGC
Positive Regulation Of Secretion By Cell (GO:1903532)	2/73	0.00239264952259941	0.0812318713424225	0	0	31.1564945226917	188.040471980525	RAB3A;GPER1
Positive Regulation Of Vascular Associated Smooth Muscle Cell Differentiation (GO:1905065)	1/5	0.00499044069595166	0.0812318713424225	0	0	262.842105263158	1393.12388948095	GPER1
Presynaptic Active Zone Organization (GO:1990709)	1/5	0.00499044069595166	0.0812318713424225	0	0	262.842105263158	1393.12388948095	RAB3A
Regulation Of Plasma Membrane Repair (GO:1905684)	1/5	0.00499044069595166	0.0812318713424225	0	0	262.842105263158	1393.12388948095	RAB3A
Positive Regulation Of Neurotransmitter Secretion (GO:0001956)	1/6	0.00598569086674517	0.0812318713424225	0	0	210.263157894737	1076.20748088462	GPER1
Cellular Response To Molecule Of Bacterial Origin (GO:0071219)	2/117	0.00601783802246824	0.0812318713424225	0	0	19.1932367149758	98.1355416991869	CD274;NUGGC
Cellular Response To Lipopolysaccharide (GO:0071222)	2/124	0.00673452910886872	0.0812318713424225	0	0	18.0856102003643	90.4372274339782	CD274;NUGGC
Regulation Of Dendritic Cell Chemotaxis (GO:2000508)	1/7	0.00697999589418079	0.0812318713424225	0	0	175.210526315789	869.868917789248	CCR6
Plasma Membrane To Endosome Transport (GO:0048227)	1/7	0.00697999589418079	0.0812318713424225	0	0	175.210526315789	869.868917789248	USP6NL
Regulation Of Lymphocyte Apoptotic Process (GO:0070228)	1/7	0.00697999589418079	0.0812318713424225	0	0	175.210526315789	869.868917789248	CD274
Positive Regulation Of Dendritic Cell Chemotaxis (GO:2000510)	1/7	0.00697999589418079	0.0812318713424225	0	0	175.210526315789	869.868917789248	CCR6
Cellular Response To Oxygen-Containing Compound (GO:1901701)	3/406	0.0073231871869184	0.0812318713424225	0	0	8.5726171361845	42.1490692939837	CD274;GPER1;NUGGC
Regulation Of Cell Cycle Process (GO:0010564)	2/130	0.00737831419266763	0.0812318713424225	0	0	17.2326388888889	84.5986448078777	GPER1;NUGGC
Vesicle-Mediated Transport (GO:0016192)	3/411	0.00757363804385288	0.0812318713424225	0	0	8.46539792387543	41.3372300234276	USP6NL;RAB3A;KALRN
Positive Regulation Of Inositol Phosphate Biosynthetic Process (GO:0060732)	1/8	0.0079733565142536	0.0812318713424225	0	0	150.172932330827	725.583008139666	GPER1
Regulation Of Vesicle Fusion (GO:0031338)	1/8	0.0079733565142536	0.0812318713424225	0	0	150.172932330827	725.583008139666	RAB3A
Neuronal Action Potential (GO:0019228)	1/8	0.0079733565142536	0.0812318713424225	0	0	150.172932330827	725.583008139666	GPER1
Regulation Of Nuclear Cell Cycle DNA Replication (GO:0033262)	1/8	0.0079733565142536	0.0812318713424225	0	0	150.172932330827	725.583008139666	NUGGC
Endothelial Cell Chemotaxis (GO:0035767)	1/8	0.0079733565142536	0.0812318713424225	0	0	150.172932330827	725.583008139666	EGR3
Positive Regulation Of T Cell Apoptotic Process (GO:0070234)	1/9	0.00896577349631742	0.0812318713424225	0	0	131.394736842105	619.439581424405	CD274
Positive Regulation Of Cardiocyte Differentiation (GO:1905209)	1/9	0.00896577349631742	0.0812318713424225	0	0	131.394736842105	619.439581424405	GPER1
Positive Regulation Of Smooth Muscle Contraction (GO:0045987)	1/9	0.00896577349631742	0.0812318713424225	0	0	131.394736842105	619.439581424405	GPER1
Steroid Hormone Mediated Signaling Pathway (GO:0043401)	1/10	0.0099572476243862	0.0812318713424225	0	0	116.789473684211	538.335775363175	GPER1
Maintenance Of Synapse Structure (GO:0099558)	1/10	0.0099572476243862	0.0812318713424225	0	0	116.789473684211	538.335775363175	RAB3A
Mitotic DNA Replication (GO:1902969)	1/10	0.0099572476243862	0.0812318713424225	0	0	116.789473684211	538.335775363175	LIG1
