Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
STAT3 Nuclear Events Downstream Of ALK Signaling R-HSA-9701898	1/10	0.0099572476243862	0.143317991801343	0	0	116.789473684211	538.335775363175	CD274
Peptide Ligand-Binding Receptors R-HSA-375276	2/196	0.0161666242170096	0.143317991801343	0	0	11.3321878579611	46.7430809510973	GPER1;CCR6
Acetylcholine Neurotransmitter Release Cycle R-HSA-264642	1/17	0.0168712348172724	0.143317991801343	0	0	65.6710526315789	268.078771560398	RAB3A
Serotonin Neurotransmitter Release Cycle R-HSA-181429	1/18	0.0178551954764704	0.143317991801343	0	0	61.8049535603715	248.793414712821	RAB3A
Norepinephrine Neurotransmitter Release Cycle R-HSA-181430	1/18	0.0178551954764704	0.143317991801343	0	0	61.8049535603715	248.793414712821	RAB3A
GABA Synthesis, Release, Reuptake And Degradation R-HSA-888590	1/19	0.0188382206720143	0.143317991801343	0	0	58.3684210526316	231.831632180327	RAB3A
PD-1 Signaling R-HSA-389948	1/21	0.0208014680109953	0.143317991801343	0	0	52.5263157894737	203.420329151527	CD274
GPCR Downstream Signaling R-HSA-388396	3/619	0.0227233281613501	0.143317991801343	0	0	5.54736440030558	20.9932417483272	GPER1;CCR6;KALRN
Dopamine Neurotransmitter Release Cycle R-HSA-212676	1/23	0.0227609834903901	0.143317991801343	0	0	47.7464114832536	180.610706872738	RAB3A
Glutamate Neurotransmitter Release Cycle R-HSA-210500	1/23	0.0227609834903901	0.143317991801343	0	0	47.7464114832536	180.610706872738	RAB3A
Signaling By ALK R-HSA-201556	1/26	0.0256932740553108	0.143317991801343	0	0	42.0105263157895	153.822635691485	CD274
Signal Transduction R-HSA-162582	6/2465	0.0292226836497652	0.143317991801343	0	0	3.05368035786905	10.7880726088142	PPP1R14A;CD274;EGR3;GPER1;CCR6;KALRN
Signaling By GPCR R-HSA-372790	3/689	0.0299891311469157	0.143317991801343	0	0	4.96329960555651	17.4058959335846	GPER1;CCR6;KALRN
EPHB-mediated Forward Signaling R-HSA-3928662	1/34	0.0334719094011011	0.143317991801343	0	0	31.8133971291866	108.071659909081	KALRN
Beta Defensins R-HSA-1461957	1/35	0.0344400804224879	0.143317991801343	0	0	30.8761609907121	104.007406246565	CCR6
NGF-stimulated Transcription R-HSA-9031628	1/39	0.0383035595748703	0.143317991801343	0	0	27.6204986149584	90.1039343967808	EGR3
G Alpha (I) Signaling Events R-HSA-418594	2/312	0.0383098732629744	0.143317991801343	0	0	7.05017921146953	22.9980203770769	GPER1;CCR6
Class A/1 (Rhodopsin-like Receptors) R-HSA-373076	2/327	0.0417158802828728	0.143317991801343	0	0	6.71965811965812	21.3475031410677	GPER1;CCR6
GPER1 Signaling R-HSA-9634597	1/43	0.0421523505298068	0.143317991801343	0	0	24.984962406015	79.1140047439502	GPER1
Defensins R-HSA-1461973	1/43	0.0421523505298068	0.143317991801343	0	0	24.984962406015	79.1140047439502	CCR6
Retrograde Transport At Trans-Golgi-Network R-HSA-6811440	1/48	0.0469427643840033	0.144643000255254	0	0	22.3213885778275	68.277248167224	USP6NL
Neurotransmitter Release Cycle R-HSA-112310	1/50	0.0488525499820278	0.144643000255254	0	0	21.4081632653061	64.6301466936404	RAB3A
Chemokine Receptors Bind Chemokines R-HSA-380108	1/56	0.0545601179499192	0.144643000255254	0	0	19.066985645933	55.4554145114264	CCR6
NRAGE Signals Death Thru JNK R-HSA-193648	1/57	0.0555082103235645	0.144643000255254	0	0	18.7255639097744	54.1398060702703	KALRN
Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725	1/61	0.0592915555925577	0.144643000255254	0	0	17.4736842105263	49.3681970360476	EGR3
RAB Geranylgeranylation R-HSA-8873719	1/62	0.0602351399190366	0.144643000255254	0	0	17.1863675582399	48.2850889542995	RAB3A
RHO GTPases Activate PKNs R-HSA-5625740	1/62	0.0602351399190366	0.144643000255254	0	0	17.1863675582399	48.2850889542995	PPP1R14A
Sensory Processing Of Sound By Inner Hair Cells Of Cochlea R-HSA-9662360	1/67	0.0649395901837057	0.144643000255254	0	0	15.8803827751196	43.4216960507128	RAB3A
Costimulation By CD28 Family R-HSA-388841	1/68	0.0658777916264094	0.144643000255254	0	0	15.6425765907306	42.5470871318629	CD274
RHOG GTPase Cycle R-HSA-9013408	1/74	0.0714882479432861	0.144643000255254	0	0	14.352559480894	37.8652411529557	KALRN
