X	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene.name
ENSG00000222037	2000.24255830631	-7.08395949633723	0.555781539462829	-12.7459424132439	3.28398188967825e-37	9.7728017054935e-33	IGLC6
ENSG00000165449	110.689388718192	-6.74344498386159	0.580821691592686	-11.610181027107	3.65840259979813e-31	5.44352014836962e-27	SLC16A9
ENSG00000273123	5.70578960906665	-4.06715419540432	0.369948837861234	-10.9938288194593	4.09191014499834e-28	4.05903846683352e-24	AC020634.2
ENSG00000198794	313.809541222278	-4.67974233786744	0.429764130902633	-10.8890947414308	1.2992528578534e-27	9.66611644921481e-24	SCAMP5
ENSG00000176871	5243.6415900542	-1.04976572728084	0.102094464186984	-10.2822982190123	8.46838036463752e-25	5.04021062542496e-21	WSB2
ENSG00000169427	136.079807681611	-4.08998090643864	0.401545629807172	-10.1855943704398	2.29950335164457e-24	9.77584574879869e-21	KCNK9
ENSG00000186522	638.869485723045	-5.77241569935727	0.566170764694583	-10.1955382709864	2.07591358747031e-24	9.77584574879869e-21	SEPTIN10
ENSG00000005421	14.6287657457662	-6.59689377297461	0.661533376856446	-9.97212537381337	2.01862163901434e-23	7.50902016942848e-20	PON1
ENSG00000075651	183.348394331407	-3.74529262470028	0.379460896537776	-9.8700357767363	5.61445819956198e-23	1.85645179511961e-19	PLD1
ENSG00000158528	1325.99590201095	-5.78760619927048	0.588418969100878	-9.83585931655826	7.88911990633931e-23	2.34772319292751e-19	PPP1R9A
ENSG00000153944	19147.851422423	-1.24356919900347	0.126806273719428	-9.80684285191602	1.05208772657716e-22	2.84627987774633e-19	MSI2
ENSG00000102780	932.595053697395	-3.0812884804901	0.314969447731368	-9.7828170404581	1.33443701331103e-22	3.3092925899269e-19	DGKH
ENSG00000211973	15914.8269667111	-7.39710996386808	0.78066311256558	-9.47541883919446	2.65692645003086e-21	6.08211340203603e-18	IGHV1-69
ENSG00000145362	83.3577654791404	-2.81999494926962	0.304603667967941	-9.25791527095605	2.08462473960666e-20	4.43116768756818e-17	ANK2
ENSG00000114541	242.970172068702	-3.37474764811883	0.366767250890619	-9.20133310682441	3.53536071532884e-20	7.01391996849807e-17	FRMD4B
