Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Organophosphate Catabolic Process (GO:0046434)	2/12	6.23251550199447e-05	0.0120910800738693	0	0	221.888888888889	2148.58238291385	PON1;PLD1
Regulation Of Potassium Ion Transmembrane Transporter Activity (GO:1901016)	2/26	0.000304341581174277	0.0238798846842824	0	0	92.3888888888889	748.106080866866	NETO1;ANK2
Phosphatidic Acid Biosynthetic Process (GO:0006654)	2/29	0.000379510134877263	0.0238798846842824	0	0	82.1111111111111	646.758779988934	PLD1;DGKH
Phosphatidic Acid Metabolic Process (GO:0046473)	2/33	0.000492368756376956	0.0238798846842824	0	0	71.5017921146953	544.577856394618	PLD1;DGKH
Positive Regulation Of Monoatomic Ion Transport (GO:0043270)	2/40	0.000724319056808222	0.028103579404159	0	0	58.3099415204678	421.597120969666	ANK2;MYLK
Regulation Of Cation Channel Activity (GO:2001257)	2/56	0.00141642705105328	0.0406583748933977	0	0	41	268.944327317563	NETO1;ANK2
Regulation Of Calcium Ion Transport (GO:0051924)	2/57	0.00146705476419476	0.0406583748933977	0	0	40.2525252525253	262.627538609776	ANK2;MYLK
Glycerophospholipid Metabolic Process (GO:0006650)	2/62	0.00173302499307072	0.0420258560819651	0	0	36.8888888888889	234.535381448665	PON1;DGKH
Negative Regulation Of Cellular Component Organization (GO:0051129)	2/79	0.00279502765742324	0.060248373948901	0	0	28.7200577200577	168.871448707322	SCAMP5;PON1
Calcium-Mediated Signaling (GO:0019722)	2/85	0.00322703474828872	0.0626044741168012	0	0	26.6358768406961	152.788492938563	ANK2;PPP1R9A
Podocyte Cell Migration (GO:0090521)	1/5	0.00499044069595166	0.0712694317616354	0	0	262.842105263158	1393.12388948095	KANK2
Glycerophospholipid Biosynthetic Process (GO:0046474)	2/108	0.00515157484487764	0.0712694317616354	0	0	20.832285115304	109.753911177989	PLD1;DGKH
Cellular Hypotonic Response (GO:0071476)	1/6	0.00598569086674517	0.0712694317616354	0	0	210.263157894737	1076.20748088462	MYLK
Regulation Of Vitamin D Receptor Signaling Pathway (GO:0070562)	1/6	0.00598569086674517	0.0712694317616354	0	0	210.263157894737	1076.20748088462	KANK2
Hypotonic Response (GO:0006971)	1/6	0.00598569086674517	0.0712694317616354	0	0	210.263157894737	1076.20748088462	MYLK
Bleb Assembly (GO:0032060)	1/6	0.00598569086674517	0.0712694317616354	0	0	210.263157894737	1076.20748088462	MYLK
Regulation Of Microvillus Organization (GO:0032530)	1/7	0.00697999589418079	0.0712694317616354	0	0	175.210526315789	869.868917789248	PLD1
Aromatic Compound Catabolic Process (GO:0019439)	1/7	0.00697999589418079	0.0712694317616354	0	0	175.210526315789	869.868917789248	PON1
Kidney Epithelium Development (GO:0072073)	1/7	0.00697999589418079	0.0712694317616354	0	0	175.210526315789	869.868917789248	KANK2
Positive Regulation Of Calcium Ion-Dependent Exocytosis (GO:0045956)	1/8	0.0079733565142536	0.0772682415652369	0	0	150.172932330827	725.583008139666	SCAMP5
Lipid Phosphorylation (GO:0046834)	1/9	0.00896577349631742	0.0772682415652369	0	0	131.394736842105	619.439581424405	DGKH
Smooth Muscle Tissue Development (GO:0048745)	1/9	0.00896577349631742	0.0772682415652369	0	0	131.394736842105	619.439581424405	MYLK
Protein Kinase C-activating G Protein-Coupled Receptor Signaling Pathway (GO:0007205)	1/10	0.0099572476243862	0.0772682415652369	0	0	116.789473684211	538.335775363175	DGKH
Negative Regulation Of Intracellular Estrogen Receptor Signaling Pathway (GO:0033147)	1/10	0.0099572476243862	0.0772682415652369	0	0	116.789473684211	538.335775363175	KANK2
Regulation Of Long-Term Neuronal Synaptic Plasticity (GO:0048169)	1/10	0.0099572476243862	0.0772682415652369	0	0	116.789473684211	538.335775363175	NETO1
Visual Learning (GO:0008542)	1/11	0.010947779702856	0.0805559981961689	0	0	105.105263157895	474.510177076512	NETO1
Positive Regulation Of Gene Expression (GO:0010628)	3/480	0.0115582415035192	0.0805559981961689	0	0	7.21531631520533	32.1828833607424	SCAMP5;ANK2;PLD1
Positive Regulation Of Regulated Secretory Pathway (GO:1903307)	1/12	0.0119373705403343	0.0805559981961689	0	0	95.5454545454545	423.083051849273	SCAMP5
Positive Regulation Of Potassium Ion Transmembrane Transporter Activity (GO:1901018)	1/13	0.0129260209528939	0.0805559981961689	0	0	87.5789473684211	380.838179873743	ANK2
Negative Regulation Of Cartilage Development (GO:0061037)	1/13	0.0129260209528939	0.0805559981961689	0	0	87.5789473684211	380.838179873743	ADAMTS7
Positive Regulation Of Transporter Activity (GO:0032411)	1/14	0.01391373176082	0.0805559981961689	0	0	80.8380566801619	345.572913330578	PON1
Negative Regulation Of Chondrocyte Differentiation (GO:0032331)	1/14	0.01391373176082	0.0805559981961689	0	0	80.8380566801619	345.572913330578	ADAMTS7
