Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Negative Regulation Of Protein Kinase B Signaling (GO:0051898)	2/36	0.000586430503116779	0.0988537832297552	0	0	65.1830065359477	485.056500581384	BANK1;GPER1
Positive Regulation Of Secretion By Cell (GO:1903532)	2/73	0.00239264952259941	0.0988537832297552	0	0	31.1564945226917	188.040471980525	RAB3A;GPER1
Positive Regulation Of Vascular Associated Smooth Muscle Cell Differentiation (GO:1905065)	1/5	0.00499044069595166	0.0988537832297552	0	0	262.842105263158	1393.12388948095	GPER1
Presynaptic Active Zone Organization (GO:1990709)	1/5	0.00499044069595166	0.0988537832297552	0	0	262.842105263158	1393.12388948095	RAB3A
Regulation Of Plasma Membrane Repair (GO:1905684)	1/5	0.00499044069595166	0.0988537832297552	0	0	262.842105263158	1393.12388948095	RAB3A
Positive Regulation Of Neurotransmitter Secretion (GO:0001956)	1/6	0.00598569086674517	0.0988537832297552	0	0	210.263157894737	1076.20748088462	GPER1
Plasma Membrane To Endosome Transport (GO:0048227)	1/7	0.00697999589418079	0.0988537832297552	0	0	175.210526315789	869.868917789248	USP6NL
Regulation Of Cell Cycle Process (GO:0010564)	2/130	0.00737831419266763	0.0988537832297552	0	0	17.2326388888889	84.5986448078777	GPER1;NUGGC
Vesicle-Mediated Transport (GO:0016192)	3/411	0.00757363804385288	0.0988537832297552	0	0	8.46539792387543	41.3372300234276	USP6NL;RAB3A;KALRN
Positive Regulation Of Inositol Phosphate Biosynthetic Process (GO:0060732)	1/8	0.0079733565142536	0.0988537832297552	0	0	150.172932330827	725.583008139666	GPER1
Regulation Of Vesicle Fusion (GO:0031338)	1/8	0.0079733565142536	0.0988537832297552	0	0	150.172932330827	725.583008139666	RAB3A
Neuronal Action Potential (GO:0019228)	1/8	0.0079733565142536	0.0988537832297552	0	0	150.172932330827	725.583008139666	GPER1
Regulation Of Nuclear Cell Cycle DNA Replication (GO:0033262)	1/8	0.0079733565142536	0.0988537832297552	0	0	150.172932330827	725.583008139666	NUGGC
Endothelial Cell Chemotaxis (GO:0035767)	1/8	0.0079733565142536	0.0988537832297552	0	0	150.172932330827	725.583008139666	EGR3
Regulation Of Protein Kinase B Signaling (GO:0051896)	2/136	0.00804897851392083	0.0988537832297552	0	0	16.4560530679934	79.3545451178123	BANK1;GPER1
Positive Regulation Of Cardiocyte Differentiation (GO:1905209)	1/9	0.00896577349631742	0.0988537832297552	0	0	131.394736842105	619.439581424405	GPER1
Positive Regulation Of Smooth Muscle Contraction (GO:0045987)	1/9	0.00896577349631742	0.0988537832297552	0	0	131.394736842105	619.439581424405	GPER1
Steroid Hormone Mediated Signaling Pathway (GO:0043401)	1/10	0.0099572476243862	0.0988537832297552	0	0	116.789473684211	538.335775363175	GPER1
Maintenance Of Synapse Structure (GO:0099558)	1/10	0.0099572476243862	0.0988537832297552	0	0	116.789473684211	538.335775363175	RAB3A
Mitotic DNA Replication (GO:1902969)	1/10	0.0099572476243862	0.0988537832297552	0	0	116.789473684211	538.335775363175	LIG1
V(D)J Recombination (GO:0033151)	1/12	0.0119373705403343	0.0988537832297552	0	0	95.5454545454545	423.083051849273	LIG1
Positive Regulation Of Regulated Secretory Pathway (GO:1903307)	1/12	0.0119373705403343	0.0988537832297552	0	0	95.5454545454545	423.083051849273	RAB3A
Base-Excision Repair, Gap-Filling (GO:0006287)	1/12	0.0119373705403343	0.0988537832297552	0	0	95.5454545454545	423.083051849273	LIG1
Regulation Of Short-Term Neuronal Synaptic Plasticity (GO:0048172)	1/13	0.0129260209528939	0.0988537832297552	0	0	87.5789473684211	380.838179873743	RAB3A
Negative Regulation Of Cell Activation (GO:0050866)	1/13	0.0129260209528939	0.0988537832297552	0	0	87.5789473684211	380.838179873743	GPER1
Regulation Of Leukocyte Activation (GO:0002694)	1/14	0.01391373176082	0.0988537832297552	0	0	80.8380566801619	345.572913330578	GPER1
Cellular Response To Corticosteroid Stimulus (GO:0071384)	1/15	0.0149005037888986	0.0988537832297552	0	0	75.0601503759399	315.730033295706	GPER1
Vasodilation (GO:0042311)	1/15	0.0149005037888986	0.0988537832297552	0	0	75.0601503759399	315.730033295706	GPER1
Positive Regulation Of Endothelial Cell Apoptotic Process (GO:2000353)	1/15	0.0149005037888986	0.0988537832297552	0	0	75.0601503759399	315.730033295706	GPER1
Axonogenesis (GO:0007409)	2/188	0.0149416258295347	0.0988537832297552	0	0	11.8243727598566	49.7049839566301	RAB3A;KALRN
Regulation Of Golgi Organization (GO:1903358)	1/16	0.0158863378646896	0.0988537832297552	0	0	70.0526315789474	290.178721072392	USP6NL
Apoptotic Nuclear Changes (GO:0030262)	1/16	0.0158863378646896	0.0988537832297552	0	0	70.0526315789474	290.178721072392	GPER1
Negative Regulation Of Biosynthetic Process (GO:0009890)	1/16	0.0158863378646896	0.0988537832297552	0	0	70.0526315789474	290.178721072392	GPER1
Cell Migration Involved In Sprouting Angiogenesis (GO:0002042)	1/17	0.0168712348172724	0.0988537832297552	0	0	65.6710526315789	268.078771560398	EGR3
Negative Regulation Of Leukocyte Activation (GO:0002695)	1/17	0.0168712348172724	0.0988537832297552	0	0	65.6710526315789	268.078771560398	GPER1
Regulation Of DNA-templated DNA Replication (GO:0090329)	1/17	0.0168712348172724	0.0988537832297552	0	0	65.6710526315789	268.078771560398	NUGGC
Negative Regulation Of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904706)	1/17	0.0168712348172724	0.0988537832297552	0	0	65.6710526315789	268.078771560398	GPER1
Positive Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0045745)	1/18	0.0178551954764704	0.0988537832297552	0	0	61.8049535603715	248.793414712821	GPER1
Vesicle-Mediated Transport In Synapse (GO:0099003)	1/18	0.0178551954764704	0.0988537832297552	0	0	61.8049535603715	248.793414712821	RAB3A
Cellular Response To Estradiol Stimulus (GO:0071392)	1/20	0.0198203112382321	0.0988537832297552	0	0	55.2936288088643	216.808975250484	GPER1
Cilium-Dependent Cell Motility (GO:0060285)	1/20	0.0198203112382321	0.0988537832297552	0	0	55.2936288088643	216.808975250484	DNAH3
Negative Regulation Of B Cell Activation (GO:0050869)	1/20	0.0198203112382321	0.0988537832297552	0	0	55.2936288088643	216.808975250484	BANK1
Response To Fibroblast Growth Factor (GO:0071774)	1/20	0.0198203112382321	0.0988537832297552	0	0	55.2936288088643	216.808975250484	EGR3
Plasma Membrane Repair (GO:0001778)	1/21	0.0208014680109953	0.0988537832297552	0	0	52.5263157894737	203.420329151527	RAB3A
Cellular Response To Lipid (GO:0071396)	2/228	0.0214791585202303	0.0988537832297552	0	0	9.71189773844641	37.3002155090206	GPER1;NUGGC
Blood Vessel Endothelial Cell Migration (GO:0043534)	1/22	0.0217816918149241	0.0988537832297552	0	0	50.0225563909774	191.420590566052	EGR3
Negative Regulation Of Intracellular Signal Transduction (GO:1902532)	2/231	0.0220100704540669	0.0988537832297552	0	0	9.58321203299369	36.571982585394	BANK1;GPER1
Positive Regulation Of Epithelial Cell Apoptotic Process (GO:1904037)	1/23	0.0227609834903901	0.0988537832297552	0	0	47.7464114832536	180.610706872738	GPER1
Positive Regulation Of ERBB Signaling Pathway (GO:1901186)	1/24	0.0237393438664972	0.0988537832297552	0	0	45.6681922196796	170.827422984315	GPER1
Negative Regulation Of Lipid Biosynthetic Process (GO:0051055)	1/25	0.0247167737784927	0.0988537832297552	0	0	43.7631578947368	161.935638794938	GPER1
Mismatch Repair (GO:0006298)	1/25	0.0247167737784927	0.0988537832297552	0	0	43.7631578947368	161.935638794938	LIG1
Cellular Response To Hexose Stimulus (GO:0071331)	1/25	0.0247167737784927	0.0988537832297552	0	0	43.7631578947368	161.935638794938	GPER1
Cellular Response To Steroid Hormone Stimulus (GO:0071383)	1/25	0.0247167737784927	0.0988537832297552	0	0	43.7631578947368	161.935638794938	GPER1
Regulation Of B Cell Activation (GO:0050864)	1/25	0.0247167737784927	0.0988537832297552	0	0	43.7631578947368	161.935638794938	BANK1
Positive Regulation Of Release Of Cytochrome C From Mitochondria (GO:0090200)	1/25	0.0247167737784927	0.0988537832297552	0	0	43.7631578947368	161.935638794938	GPER1
Lamellipodium Assembly (GO:0030032)	1/25	0.0247167737784927	0.0988537832297552	0	0	43.7631578947368	161.935638794938	ABLIM2
Calcium-Ion Regulated Exocytosis (GO:0017156)	1/26	0.0256932740553108	0.0988537832297552	0	0	42.0105263157895	153.822635691485	RAB3A
Negative Regulation Of Lipid Metabolic Process (GO:0045833)	1/26	0.0256932740553108	0.0988537832297552	0	0	42.0105263157895	153.822635691485	GPER1
Nuclear Membrane Organization (GO:0071763)	1/26	0.0256932740553108	0.0988537832297552	0	0	42.0105263157895	153.822635691485	GPER1
Regulation Of Lipid Biosynthetic Process (GO:0046890)	1/28	0.0276434890482457	0.0996727455236057	0	0	38.8947368421053	139.5685145544	GPER1
Lamellipodium Organization (GO:0097581)	1/30	0.0295899955032417	0.0996727455236057	0	0	36.2087114337568	127.46621354177	ABLIM2
Response To Estradiol (GO:0032355)	1/31	0.0305618601074185	0.0996727455236057	0	0	35	122.080085720138	GPER1
Positive Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001238)	1/31	0.0305618601074185	0.0996727455236057	0	0	35	122.080085720138	GPER1
Negative Regulation Of Fat Cell Differentiation (GO:0045599)	1/32	0.0315328000758389	0.0996727455236057	0	0	33.8692699490662	117.076819992966	GPER1
Chromosome Condensation (GO:0030261)	1/32	0.0315328000758389	0.0996727455236057	0	0	33.8692699490662	117.076819992966	GPER1
Regulation Of Apoptotic Process (GO:0042981)	3/705	0.0318057273463813	0.0996727455236057	0	0	4.84615384615385	16.7100662085689	EGR3;GPER1;NUGGC
Positive Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051281)	1/33	0.0325028162269628	0.0996727455236057	0	0	32.8092105263158	112.418415330875	GPER1
Positive Regulation Of Epidermal Growth Factor Receptor Signaling Pathway (GO:0045742)	1/33	0.0325028162269628	0.0996727455236057	0	0	32.8092105263158	112.418415330875	GPER1
Cellular Response To Glucose Stimulus (GO:0071333)	1/34	0.0334719094011011	0.0996727455236057	0	0	31.8133971291866	108.071659909081	GPER1
Cellular Response To Vascular Endothelial Growth Factor Stimulus (GO:0035924)	1/34	0.0334719094011011	0.0996727455236057	0	0	31.8133971291866	108.071659909081	EGR3
Regulation Of Neuronal Synaptic Plasticity (GO:0048168)	1/34	0.0334719094011011	0.0996727455236057	0	0	31.8133971291866	108.071659909081	RAB3A
Negative Regulation Of Cell Cycle Process (GO:0010948)	1/34	0.0334719094011011	0.0996727455236057	0	0	31.8133971291866	108.071659909081	GPER1
Regulation Of Regulated Secretory Pathway (GO:1903305)	1/35	0.0344400804224879	0.0996727455236057	0	0	30.8761609907121	104.007406246565	RAB3A
Action Potential (GO:0001508)	1/35	0.0344400804224879	0.0996727455236057	0	0	30.8761609907121	104.007406246565	GPER1
Positive Regulation Of Cell Development (GO:0010720)	1/35	0.0344400804224879	0.0996727455236057	0	0	30.8761609907121	104.007406246565	GPER1
Base-Excision Repair (GO:0006284)	1/36	0.0354073301248565	0.0996727455236057	0	0	29.9924812030075	100.199973367323	LIG1
Blood Vessel Diameter Maintenance (GO:0097746)	1/36	0.0354073301248565	0.0996727455236057	0	0	29.9924812030075	100.199973367323	GPER1
Synaptic Vesicle Cycle (GO:0099504)	1/37	0.0363736593292806	0.0996727455236057	0	0	29.1578947368421	96.6266509340829	RAB3A
Regulation Of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904705)	1/37	0.0363736593292806	0.0996727455236057	0	0	29.1578947368421	96.6266509340829	GPER1
Negative Regulation Of Smooth Muscle Cell Proliferation (GO:0048662)	1/37	0.0363736593292806	0.0996727455236057	0	0	29.1578947368421	96.6266509340829	GPER1
Positive Regulation Of Exocytosis (GO:0045921)	1/37	0.0363736593292806	0.0996727455236057	0	0	29.1578947368421	96.6266509340829	RAB3A
Regulation Of Neurotransmitter Secretion (GO:0046928)	1/38	0.0373390688738263	0.0996727455236057	0	0	28.3684210526316	93.2672856226179	GPER1
Signal Release From Synapse (GO:0099643)	1/38	0.0373390688738263	0.0996727455236057	0	0	28.3684210526316	93.2672856226179	RAB3A
Positive Regulation Of Insulin Secretion (GO:0032024)	1/40	0.039267132268101	0.0996727455236057	0	0	26.9109311740891	87.1205723383493	GPER1
Regulation Of Cytosolic Calcium Ion Concentration (GO:0051480)	1/40	0.039267132268101	0.0996727455236057	0	0	26.9109311740891	87.1205723383493	GPER1
Endothelial Cell Migration (GO:0043542)	1/40	0.039267132268101	0.0996727455236057	0	0	26.9109311740891	87.1205723383493	EGR3
Regulation Of Release Of Cytochrome C From Mitochondria (GO:0090199)	1/41	0.0402297877766736	0.0996727455236057	0	0	26.2368421052632	84.3028454099992	GPER1
Synaptic Vesicle Exocytosis (GO:0016079)	1/41	0.0402297877766736	0.0996727455236057	0	0	26.2368421052632	84.3028454099992	RAB3A
O-glycan Processing (GO:0016266)	1/41	0.0402297877766736	0.0996727455236057	0	0	26.2368421052632	84.3028454099992	GALNT9
Lysosome Localization (GO:0032418)	1/42	0.0411915269172123	0.0996727455236057	0	0	25.5956354300385	81.637860253859	RAB3A
Positive Regulation Of Calcium Ion Transmembrane Transport (GO:1904427)	1/42	0.0411915269172123	0.0996727455236057	0	0	25.5956354300385	81.637860253859	GPER1
Regulation Of Endothelial Cell Apoptotic Process (GO:2000351)	1/43	0.0421523505298068	0.0996727455236057	0	0	24.984962406015	79.1140047439502	GPER1
Intracellular Glucose Homeostasis (GO:0001678)	1/43	0.0421523505298068	0.0996727455236057	0	0	24.984962406015	79.1140047439502	GPER1
Intracellular Steroid Hormone Receptor Signaling Pathway (GO:0030518)	1/43	0.0421523505298068	0.0996727455236057	0	0	24.984962406015	79.1140047439502	GPER1
Neurotransmitter Secretion (GO:0007269)	1/43	0.0421523505298068	0.0996727455236057	0	0	24.984962406015	79.1140047439502	RAB3A
Ephrin Receptor Signaling Pathway (GO:0048013)	1/43	0.0421523505298068	0.0996727455236057	0	0	24.984962406015	79.1140047439502	KALRN
