Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Atorvastatin ADME R-HSA-9754706	1/9	0.00896577349631742	0.135281334747968	0	0	131.394736842105	619.439581424405	PON1
Synthesis Of 5-Eicosatetraenoic Acids R-HSA-2142688	1/9	0.00896577349631742	0.135281334747968	0	0	131.394736842105	619.439581424405	PON1
Tandem Pore Domain Potassium Channels R-HSA-1296346	1/12	0.0119373705403343	0.135281334747968	0	0	95.5454545454545	423.083051849273	KCNK9
Muscle Contraction R-HSA-397014	2/196	0.0161666242170096	0.135281334747968	0	0	11.3321878579611	46.7430809510973	KCNK9;MYLK
Phase 4 - Resting Membrane Potential R-HSA-5576886	1/19	0.0188382206720143	0.135281334747968	0	0	58.3684210526316	231.831632180327	KCNK9
RHO GTPases Activate PAKs R-HSA-5627123	1/21	0.0208014680109953	0.135281334747968	0	0	52.5263157894737	203.420329151527	MYLK
RHOBTB2 GTPase Cycle R-HSA-9013418	1/23	0.0227609834903901	0.135281334747968	0	0	47.7464114832536	180.610706872738	MSI2
Signaling By Rho GTPases R-HSA-194315	3/644	0.0251908094547139	0.135281334747968	0	0	5.32412590621272	19.5995772132167	SOWAHC;MSI2;MYLK
Effects Of PIP2 Hydrolysis R-HSA-114508	1/27	0.0266688455361458	0.135281334747968	0	0	40.3927125506073	146.393661234119	DGKH
Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542	3/660	0.0268443009362223	0.135281334747968	0	0	5.19016921837228	18.7764841924298	SOWAHC;MSI2;MYLK
Interaction Between L1 And Ankyrins R-HSA-445095	1/29	0.0286172054274548	0.135281334747968	0	0	37.5037593984962	133.278878214163	ANK2
RHOBTB GTPase Cycle R-HSA-9706574	1/35	0.0344400804224879	0.136995139221872	0	0	30.8761609907121	104.007406246565	MSI2
Defective B3GALTL Causes PpS R-HSA-5083635	1/37	0.0363736593292806	0.136995139221872	0	0	29.1578947368421	96.6266509340829	ADAMTS7
O-glycosylation Of TSR Domain-Containing Proteins R-HSA-5173214	1/38	0.0373390688738263	0.136995139221872	0	0	28.3684210526316	93.2672856226179	ADAMTS7
RHOF GTPase Cycle R-HSA-9035034	1/42	0.0411915269172123	0.136995139221872	0	0	25.5956354300385	81.637860253859	SOWAHC
Smooth Muscle Contraction R-HSA-445355	1/43	0.0421523505298068	0.136995139221872	0	0	24.984962406015	79.1140047439502	MYLK
Arachidonic Acid Metabolism R-HSA-2142753	1/59	0.0574016861834188	0.175581628325752	0	0	18.0780399274047	51.6612820658813	PON1
Diseases Associated With O-glycosylation Of Proteins R-HSA-3906995	1/69	0.0668150987603724	0.182862375554703	0	0	15.4117647058824	41.7015566467034	ADAMTS7
RHOB GTPase Cycle R-HSA-9013026	1/69	0.0668150987603724	0.182862375554703	0	0	15.4117647058824	41.7015566467034	SOWAHC
RHO GTPase Cycle R-HSA-9012999	2/441	0.0709870645716959	0.184566367886409	0	0	4.94583649708934	13.0830116202191	SOWAHC;MSI2
COPI-mediated Anterograde Transport R-HSA-6807878	1/80	0.0770666828500711	0.190831786104938	0	0	13.2584943371086	33.9826376278017	ANK2
Drug ADME R-HSA-9748784	1/95	0.0908738104379916	0.210707838555498	0	0	11.1343784994401	26.7033954953546	PON1
L1CAM Interactions R-HSA-373760	1/99	0.0945224360353158	0.210707838555498	0	0	10.6777658431794	25.1879746270486	ANK2
Potassium Channels R-HSA-1296071	1/102	0.0972497716409989	0.210707838555498	0	0	10.3590411672746	24.1414620651458	KCNK9
O-linked Glycosylation R-HSA-5173105	1/107	0.101777996490172	0.211698232699558	0	0	9.86792452830189	22.5478260801039	ADAMTS7
Cardiac Conduction R-HSA-5576891	1/126	0.118789239207887	0.237578478415773	0	0	8.36	17.8101812455917	KCNK9
ER To Golgi Anterograde Transport R-HSA-199977	1/133	0.124979034971502	0.240700363648818	0	0	7.91387559808612	16.4577691026876	ANK2
Diseases Of Glycosylation R-HSA-3781865	1/143	0.133749989760905	0.246076429028364	0	0	7.35285396590067	14.7923463877313	ADAMTS7
RHOA GTPase Cycle R-HSA-8980692	1/147	0.137234931573511	0.246076429028364	0	0	7.14996395097332	14.2002645028885	SOWAHC
Transport To Golgi And Subsequent Modification R-HSA-948021	1/164	0.151897896711038	0.259292290147707	0	0	6.39877300613497	12.0587866552257	ANK2
Post-translational Protein Modification R-HSA-597592	3/1383	0.156789441149473	0.259292290147707	0	0	2.37851662404092	4.40703812541001	WSB2;ANK2;ADAMTS7
Fatty Acid Metabolism R-HSA-8978868	1/173	0.159564486244743	0.259292290147707	0	0	6.06119951040392	11.124162714107	PON1
G Alpha (Q) Signaling Events R-HSA-416476	1/212	0.192032086322938	0.302596014811902	0	0	4.93115490147169	8.13686322154003	DGKH
Neddylation R-HSA-8951664	1/237	0.212214051313895	0.318765033330867	0	0	4.40321141837645	6.82568149758628	WSB2
Diseases Of Metabolism R-HSA-5668914	1/247	0.220151963295075	0.318765033330867	0	0	4.22207958921694	6.3898524334129	ADAMTS7
Platelet Activation, Signaling And Aggregation R-HSA-76002	1/254	0.225663226605349	0.318765033330867	0	0	4.10380694820054	6.10938475699149	DGKH
Signal Transduction R-HSA-162582	4/2465	0.226813581408502	0.318765033330867	0	0	1.7796627387241	2.64035538070251	SOWAHC;MSI2;MYLK;DGKH
RHO GTPase Effectors R-HSA-195258	1/269	0.237348738682399	0.324793010828546	0	0	3.87117046347211	5.5676131649356	MYLK
Asparagine N-linked Glycosylation R-HSA-446203	1/282	0.247340485502451	0.329787314003268	0	0	3.68964225510395	5.15439114885982	ANK2
Metabolism Of Proteins R-HSA-392499	3/1890	0.291805006994353	0.379346509092659	0	0	1.69204152249135	2.08403590899301	WSB2;ANK2;ADAMTS7
Neuronal System R-HSA-112316	1/386	0.322915932854966	0.409551914840444	0	0	2.67874231032126	3.0279518890796	KCNK9
Axon Guidance R-HSA-422475	1/519	0.409097998989335	0.506502284462986	0	0	1.97744360902256	1.76744017606306	ANK2
Nervous System Development R-HSA-9675108	1/545	0.424679838738255	0.513566316613703	0	0	1.88041795665635	1.61042700969717	ANK2
Hemostasis R-HSA-109582	1/576	0.442748133763676	0.523247794447981	0	0	1.77620137299771	1.44716755965463	DGKH
Membrane Trafficking R-HSA-199991	1/599	0.455803883937055	0.526706710327263	0	0	1.70586164407675	1.34028294042391	ANK2
GPCR Downstream Signaling R-HSA-388396	1/619	0.46692000872613	0.527456781938219	0	0	1.64895247828309	1.25583779405388	DGKH
Vesicle-mediated Transport R-HSA-5653656	1/637	0.476739783674928	0.527456781938219	0	0	1.60079443892751	1.18584365015043	ANK2
Signaling By GPCR R-HSA-372790	1/689	0.504151901154889	0.546164559584463	0	0	1.47582619339045	1.01076039748116	DGKH
Metabolism Of Lipids R-HSA-556833	1/732	0.52578353242354	0.557974360939267	0	0	1.3859169126647	0.890958427166169	PON1
Developmental Biology R-HSA-1266738	1/1073	0.668256222226834	0.694986471115907	0	0	0.928318931657502	0.374190148784919	ANK2
Disease R-HSA-1643685	1/1736	0.837471816294995	0.853892832300779	0	0	0.553465797057485	0.0981669377608002	ADAMTS7
Metabolism R-HSA-1430728	1/2049	0.884997681429992	0.884997681429992	0	0	0.460834703947368	0.0563002927552712	PON1
