Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
DCC Mediated Attractive Signaling R-HSA-418885	1/14	0.01391373176082	0.204848851413511	0	0	80.8380566801619	345.572913330578	ABLIM2
Acetylcholine Neurotransmitter Release Cycle R-HSA-264642	1/17	0.0168712348172724	0.204848851413511	0	0	65.6710526315789	268.078771560398	RAB3A
Serotonin Neurotransmitter Release Cycle R-HSA-181429	1/18	0.0178551954764704	0.204848851413511	0	0	61.8049535603715	248.793414712821	RAB3A
Norepinephrine Neurotransmitter Release Cycle R-HSA-181430	1/18	0.0178551954764704	0.204848851413511	0	0	61.8049535603715	248.793414712821	RAB3A
GABA Synthesis, Release, Reuptake And Degradation R-HSA-888590	1/19	0.0188382206720143	0.204848851413511	0	0	58.3684210526316	231.831632180327	RAB3A
Dopamine Neurotransmitter Release Cycle R-HSA-212676	1/23	0.0227609834903901	0.204848851413511	0	0	47.7464114832536	180.610706872738	RAB3A
Glutamate Neurotransmitter Release Cycle R-HSA-210500	1/23	0.0227609834903901	0.204848851413511	0	0	47.7464114832536	180.610706872738	RAB3A
EPHB-mediated Forward Signaling R-HSA-3928662	1/34	0.0334719094011011	0.206012059197952	0	0	31.8133971291866	108.071659909081	KALRN
NGF-stimulated Transcription R-HSA-9031628	1/39	0.0383035595748703	0.206012059197952	0	0	27.6204986149584	90.1039343967808	EGR3
GPER1 Signaling R-HSA-9634597	1/43	0.0421523505298068	0.206012059197952	0	0	24.984962406015	79.1140047439502	GPER1
Retrograde Transport At Trans-Golgi-Network R-HSA-6811440	1/48	0.0469427643840033	0.206012059197952	0	0	22.3213885778275	68.277248167224	USP6NL
Netrin-1 Signaling R-HSA-373752	1/49	0.0478981120694179	0.206012059197952	0	0	21.8552631578947	66.4111333354799	ABLIM2
Neurotransmitter Release Cycle R-HSA-112310	1/50	0.0488525499820278	0.206012059197952	0	0	21.4081632653061	64.6301466936404	RAB3A
NRAGE Signals Death Thru JNK R-HSA-193648	1/57	0.0555082103235645	0.206012059197952	0	0	18.7255639097744	54.1398060702703	KALRN
O-linked Glycosylation Of Mucins R-HSA-913709	1/59	0.0574016861834188	0.206012059197952	0	0	18.0780399274047	51.6612820658813	GALNT9
Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725	1/61	0.0592915555925577	0.206012059197952	0	0	17.4736842105263	49.3681970360476	EGR3
RAB Geranylgeranylation R-HSA-8873719	1/62	0.0602351399190366	0.206012059197952	0	0	17.1863675582399	48.2850889542995	RAB3A
RHO GTPases Activate PKNs R-HSA-5625740	1/62	0.0602351399190366	0.206012059197952	0	0	17.1863675582399	48.2850889542995	PPP1R14A
Sensory Processing Of Sound By Inner Hair Cells Of Cochlea R-HSA-9662360	1/67	0.0649395901837057	0.206012059197952	0	0	15.8803827751196	43.4216960507128	RAB3A
RHOG GTPase Cycle R-HSA-9013408	1/74	0.0714882479432861	0.206012059197952	0	0	14.352559480894	37.8652411529557	KALRN
Cell Death Signaling Via NRAGE, NRIF And NADE R-HSA-204998	1/74	0.0714882479432861	0.206012059197952	0	0	14.352559480894	37.8652411529557	KALRN
Sensory Processing Of Sound R-HSA-9659379	1/75	0.0724202061022377	0.206012059197952	0	0	14.1578947368421	37.1682953065987	RAB3A
G Alpha (12/13) Signaling Events R-HSA-416482	1/78	0.0752107517706809	0.206012059197952	0	0	13.6042378673958	35.2004360399448	KALRN
RAB GEFs Exchange GTP For GDP On RABs R-HSA-8876198	1/89	0.0853746735440269	0.211319496413643	0	0	11.8971291866029	29.2753346130257	RAB3A
MAPK6/MAPK4 Signaling R-HSA-5687128	1/90	0.0862933855050247	0.211319496413643	0	0	11.762862211709	28.8190398166856	KALRN
EPH-Ephrin Signaling R-HSA-2682334	1/91	0.0872112207421384	0.211319496413643	0	0	11.6315789473684	28.3743328138059	KALRN
P75 NTR Receptor-Mediated Signaling R-HSA-193704	1/95	0.0908738104379916	0.211371042520391	0	0	11.1343784994401	26.7033954953546	KALRN
Axon Guidance R-HSA-422475	2/519	0.0939426855646184	0.211371042520391	0	0	4.18289275736084	9.89283589159826	ABLIM2;KALRN
O-linked Glycosylation R-HSA-5173105	1/107	0.101777996490172	0.21426763992916	0	0	9.86792452830189	22.5478260801039	GALNT9
Nervous System Development R-HSA-9675108	2/545	0.102032209490076	0.21426763992916	0	0	3.97728667894414	9.07802454514541	ABLIM2;KALRN
Signaling By NTRK1 (TRKA) R-HSA-187037	1/114	0.108081273165397	0.218867195601201	0	0	9.25337680484397	20.5875771592915	EGR3
Rab Regulation Of Trafficking R-HSA-9007101	1/122	0.115233560636148	0.218867195601201	0	0	8.63810352327099	18.6651644082731	RAB3A
Membrane Trafficking R-HSA-199991	2/599	0.119437244620268	0.218867195601201	0	0	3.60748185371301	7.66576977386968	USP6NL;RAB3A
Signaling By NTRKs R-HSA-166520	1/132	0.124097314266769	0.218867195601201	0	0	7.97468862997188	16.6406968663328	EGR3
GPCR Downstream Signaling R-HSA-388396	2/619	0.126070990109399	0.218867195601201	0	0	3.48694399423735	7.22114759550335	GPER1;KALRN
Death Receptor Signaling R-HSA-73887	1/139	0.130251677909176	0.218867195601201	0	0	7.5675057208238	15.4247463856095	KALRN
Vesicle-mediated Transport R-HSA-5653656	2/637	0.132120094864512	0.218867195601201	0	0	3.38495188101487	6.85129141115495	USP6NL;RAB3A
Signaling By Rho GTPases R-HSA-194315	2/644	0.134491716790586	0.218867195601201	0	0	3.34683281412253	6.71459225945959	PPP1R14A;KALRN
RHOA GTPase Cycle R-HSA-8980692	1/147	0.137234931573511	0.218867195601201	0	0	7.14996395097332	14.2002645028885	KALRN
Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542	2/660	0.139951143760991	0.218867195601201	0	0	3.26274907125971	6.41607170661558	PPP1R14A;KALRN
G Alpha (S) Signaling Events R-HSA-418555	1/153	0.142437381264274	0.218867195601201	0	0	6.86565096952909	13.380143154068	GPER1
Signaling By GPCR R-HSA-372790	2/689	0.149975351711968	0.224963027567951	0	0	3.12032993692382	5.92015306351454	GPER1;KALRN
RAC1 GTPase Cycle R-HSA-9013149	1/178	0.163795206668992	0.238145611353288	0	0	5.88849241748439	10.6530975816179	KALRN
Intra-Golgi And Retrograde Golgi-to-ER Traffic R-HSA-6811442	1/181	0.166323919040391	0.238145611353288	0	0	5.78947368421053	10.3852625247457	USP6NL
Peptide Ligand-Binding Receptors R-HSA-375276	1/196	0.178858890862964	0.25040244720815	0	0	5.34008097165992	9.19112363627508	GPER1
G Alpha (Q) Signaling Events R-HSA-416476	1/212	0.192032086322938	0.26300046605098	0	0	4.93115490147169	8.13686322154003	KALRN
Transmission Across Chemical Synapses R-HSA-112315	1/246	0.219361604572863	0.294037895491285	0	0	4.23952738990333	6.43150612776001	RAB3A
Signal Transduction R-HSA-162582	4/2465	0.226813581408502	0.297692825598659	0	0	1.7796627387241	2.64035538070251	PPP1R14A;EGR3;GPER1;KALRN
RHO GTPase Effectors R-HSA-195258	1/269	0.237348738682399	0.305162664020228	0	0	3.87117046347211	5.5676131649356	PPP1R14A
G Alpha (I) Signaling Events R-HSA-418594	1/312	0.26992586503101	0.338921467917665	0	0	3.32865121001862	4.35922802632116	GPER1
