X	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene.name
ENSG00000222037	1906.98828644398	-6.80520040339086	0.535283083690271	-12.7132737998657	4.99007496567508e-37	1.53819060816934e-32	IGLC6
ENSG00000165449	111.86560837138	-6.52640916286542	0.543442536622031	-12.0093822677789	3.17205600294039e-33	4.88893131453188e-29	SLC16A9
ENSG00000273123	6.34574562314952	-4.10612913111004	0.349337493562071	-11.7540464644699	6.73163686424165e-32	6.9167568780083e-28	AC020634.2
ENSG00000102780	1086.96216350418	-3.28867905189319	0.304455989047348	-10.8018208549077	3.3744433009423e-27	2.08034429503093e-23	DGKH
ENSG00000198794	314.513995990263	-4.4227539546149	0.409183899300614	-10.808719409963	3.13008970557356e-27	2.08034429503093e-23	SCAMP5
ENSG00000075651	198.495857081332	-3.70719967288688	0.346082641170099	-10.7118914151629	8.9514006934552e-27	4.59878210626261e-23	PLD1
ENSG00000186522	703.35615215486	-5.62724247895491	0.526267141100196	-10.6927490612292	1.10059528232108e-26	4.8465499396496e-23	SEPTIN10
ENSG00000198807	243.88073030424	-5.50060602104023	0.527664097360313	-10.4244462501002	1.91773142840852e-25	7.38925891008657e-22	PAX9
ENSG00000005421	16.5375907595989	-6.5899951253096	0.638723411371632	-10.3174472831015	5.87647624587557e-25	2.01269311421238e-21	PON1
ENSG00000158528	1454.95714283217	-5.67462463544077	0.554675653422006	-10.2305276974604	1.44728582619601e-24	4.4612585592492e-21	PPP1R9A
ENSG00000169427	143.424174821469	-3.90329235810083	0.38200771901421	-10.2178363520336	1.64982167077101e-24	4.62325027286512e-21	KCNK9
ENSG00000166342	204.330910878698	-5.72625175659682	0.566014929491912	-10.1167857210711	4.65450539050668e-24	1.1956260721864e-20	NETO1
ENSG00000153944	19453.5769404227	-1.17115402360284	0.116926850106984	-10.016125659173	1.29479446401316e-23	3.07015687332352e-20	MSI2
ENSG00000145362	91.7319505734639	-2.79719210960683	0.279655949819218	-10.0022621060452	1.48954942777955e-23	3.27966865080747e-20	ANK2
ENSG00000176871	5418.10667422527	-1.02057656241332	0.102146423972815	-9.9913097563252	1.66368771988955e-23	3.41887826437302e-20	WSB2
ENSG00000065534	1332.04836649548	-3.68218492934917	0.368860320513786	-9.98259971205427	1.81644073339276e-23	3.49948660042699e-20	MYLK
ENSG00000198142	375.164331546313	-5.06421303520845	0.516859998168428	-9.79803632154598	1.1479555643805e-22	1.96587390400161e-19	SOWAHC
ENSG00000136378	68.5318173276404	-3.76408086616391	0.390588980156489	-9.63693564691927	5.58297084791098e-22	9.05763559930821e-19	ADAMTS7
ENSG00000176834	1601.54140048811	-1.88158742605089	0.195849367140179	-9.60731940841116	7.44622388319452e-22	1.14764925599735e-18	VSIG10
ENSG00000197256	1419.80247669965	-3.48247484514236	0.362950480616219	-9.59490352300896	8.39956457263236e-22	1.23293608548282e-18	KANK2
ENSG00000073282	134.785363349525	-4.76499581897046	0.501315339355702	-9.50498707080159	2.00072864691155e-21	2.68141132787168e-18	TP63
ENSG00000152767	1563.78912231292	-2.51917263930352	0.268188783798184	-9.39328111946411	5.81596545448908e-21	7.46988063060942e-18	FARP1
ENSG00000114541	261.430337536375	-3.29186037040512	0.352688276336627	-9.33362572920676	1.02309833233818e-20	1.26148024377298e-17	FRMD4B
ENSG00000074803	49.36000041888	-2.94006339226548	0.321248068043413	-9.15200334175445	5.5887358130305e-20	6.6258762091025e-17	SLC12A1
ENSG00000227765	46.2378212565035	-2.97481512688864	0.326543337771531	-9.11001629122195	8.23696016108173e-20	9.4038628505683e-17	MYL12BP2
ENSG00000211682	27.7102204399276	-5.55870595868041	0.611942087603626	-9.08371244809845	1.04933254824258e-19	1.15520270712777e-16	IGLJ6
ENSG00000237916	5.5989990493224	-4.67845075836644	0.520587771763256	-8.98686256598057	2.54388427211043e-19	2.61384108959347e-16	RPL37P12
ENSG00000176381	27.224518052842	-3.51608465680605	0.391863227004227	-8.97273439941359	2.89242939109033e-19	2.87610116065675e-16	PRR18
ENSG00000197992	20.2585759771077	-6.30333845650197	0.707193417043988	-8.91317467694966	4.95917622024242e-19	4.7770814684054e-16	CLEC9A
ENSG00000163362	12.0286847815847	-4.53614458019291	0.51138055515764	-8.87038925207977	7.2890662224556e-19	6.68200303017129e-16	INAVA
ENSG00000008405	1234.49849477842	-2.78385257246108	0.316081062018409	-8.80740071766444	1.28081163813607e-18	1.09669496515401e-15	CRY1
ENSG00000148600	325.853216735407	-2.85463864857462	0.324488737286645	-8.79734277511426	1.40093883094238e-18	1.16713349902159e-15	CDHR1
ENSG00000182195	328.573758730978	-3.83414476155704	0.437168311396849	-8.77040869981199	1.78018931249919e-18	1.44406146204704e-15	LDOC1
ENSG00000198722	42.8193793586265	-3.7013765997432	0.422441982824717	-8.76185784138554	1.92058387963606e-18	1.51799995102004e-15	UNC13B
ENSG00000244116	184.976479411766	-6.5449615535242	0.750845054189105	-8.71679385381661	2.86190541853478e-18	2.20545586315836e-15	IGKV2-28
ENSG00000211973	15535.5357559365	-6.46959855580902	0.74910667105177	-8.63641829103657	5.80028517924537e-18	4.25699501548187e-15	IGHV1-69
ENSG00000177556	1779.09242285205	-0.883294815475612	0.10314065480824	-8.56398301055816	1.09033912526262e-17	7.81621012470238e-15	ATOX1
ENSG00000105974	91.7060612431257	-3.23163483119982	0.381333123779696	-8.47457152205534	2.35946341118839e-17	1.65296499204277e-14	CAV1
ENSG00000178343	88.725026354647	-4.74841027540661	0.567291092780715	-8.3703240467449	5.74600010748686e-17	3.85044463724527e-14	SHISA3
ENSG00000232006	9.90511283968729	-4.11174663715744	0.491127738174243	-8.37205133728096	5.6623764767345e-17	3.85044463724527e-14	AC005537.1
ENSG00000235098	12.3302222231697	-3.05724166876437	0.366238284239331	-8.34768455491809	6.9614201046291e-17	4.56565478138706e-14	ANKRD65
ENSG00000180712	899.149866130013	-3.11548865612926	0.37945750060003	-8.21037573694758	2.20497397654856e-16	1.41600672556478e-13	LINC02363
ENSG00000183722	60.3588777104765	-3.36179109144196	0.412403222072399	-8.15170908352356	3.5881664320896e-16	2.25724959732984e-13	LHFPL6
ENSG00000167549	491.109894104202	-1.66584190956333	0.20525965889849	-8.11577841697165	4.82680718427683e-16	2.97572662910667e-13	CORO6
ENSG00000100558	17.9350744588397	-2.38604900547999	0.296150585038084	-8.05687756846118	7.8267971617643e-16	4.73060828453695e-13	PLEK2
ENSG00000162676	434.387340910974	-1.69852689865811	0.211074915895363	-8.04703340258644	8.4825036635121e-16	5.0283302966877e-13	GFI1
ENSG00000153404	68.0400725130975	-3.88672255186467	0.487260038732458	-7.97669056131807	1.50309028848699e-15	8.74202983822857e-13	PLEKHG4B
ENSG00000139117	149.905171914882	-2.83953721900391	0.356601999468568	-7.9627630333974	1.6823946958562e-15	9.42905754541225e-13	CPNE8
ENSG00000122778	12.4903462949013	-3.50796620101323	0.441146278313599	-7.95193425279111	1.83621702927468e-15	1.00416698807495e-12	KIAA1549
ENSG00000197712	274.107931184755	-1.20940794897331	0.152116263572764	-7.95054993179477	1.85685379790014e-15	1.00416698807495e-12	FAM114A1
ENSG00000148798	5.14794936306093	-3.38002579387058	0.426107884546127	-7.93232398755269	2.15082433223139e-15	1.1430889662247e-12	INA
ENSG00000062524	6234.02138999419	-1.96669019552806	0.24850492494574	-7.91408941274497	2.49069258559537e-15	1.30128133815216e-12	LTK
ENSG00000249096	194.844835764707	-1.56964055645092	0.198586798676615	-7.90405287214972	2.69978424182911e-15	1.38701415423971e-12	LINC02362
ENSG00000253541	1.86387816240301	-3.95990334452076	0.50351220149385	-7.86456283039872	3.70388649908608e-15	1.87167707105457e-12	SEPTIN10P1
ENSG00000169218	106.557260312502	-3.71843509767692	0.474031904118975	-7.84427179978091	4.3547300258879e-15	2.16507343625798e-12	RSPO1
ENSG00000224124	50.5022961530851	-2.17920515347886	0.279022289327231	-7.81014720627979	5.71212311049024e-15	2.70886453662864e-12	POM121L10P
ENSG00000265579	40.7929157282911	-5.26062493888597	0.679240288271831	-7.74486588872754	9.56827829554331e-15	4.402122066569e-12	AC023301.1
ENSG00000129116	150.544836839165	-1.99529989417152	0.258128380786217	-7.729874135088	1.07652968278621e-14	4.80927934375145e-12	PALLD
ENSG00000186417	71.4233676095687	-2.81998043275489	0.367044283698121	-7.68294333409157	1.55474372227701e-14	6.84642503416983e-12	GLDN
ENSG00000188130	125.408770877719	-1.82717436752712	0.23876973056205	-7.65245394894093	1.97179732401617e-14	8.44175729344425e-12	MAPK12
ENSG00000088882	20.4984029638788	-3.32757046908763	0.435187899790208	-7.64628444561938	2.06869784907605e-14	8.73528920517386e-12	CPXM1
ENSG00000185842	177.75297246782	-2.22020192322874	0.292336007734733	-7.59469194517892	3.08525511920933e-14	1.25135511907405e-11	DNAH14
ENSG00000111424	113.541164026621	-1.80646862328957	0.238030378178435	-7.58923561401642	3.21798151127055e-14	1.28823740370019e-11	VDR
ENSG00000130529	83.147090407798	-2.69328376639347	0.358221836547152	-7.51848014725635	5.54166583506281e-14	2.19002370981809e-11	TRPM4
ENSG00000026652	722.99491858091	-1.82943281057297	0.244360034933194	-7.4866285359352	7.06653368126469e-14	2.7228237590623e-11	AGPAT4
ENSG00000154229	583.120837984961	-2.83705680009805	0.379739701116737	-7.47105659944125	7.95534251344351e-14	3.02744978983823e-11	PRKCA
ENSG00000198185	63.2382886660914	-3.95517084075345	0.529936326534978	-7.46348314450264	8.42646612639874e-14	3.12946769091857e-11	ZNF334
ENSG00000263958	6.23433329709195	-4.69256226905411	0.629803799541864	-7.45083194554813	9.27534521964128e-14	3.36367666347579e-11	AC091138.1
ENSG00000272049	4.37008004107015	-3.33950932846942	0.448983493923455	-7.43793340660928	1.02272590241551e-13	3.66575883046026e-11	AC091965.4
ENSG00000157227	920.557572355153	-1.03322649422772	0.139030199994253	-7.4316694809504	1.0723548570065e-13	3.7994641916351e-11	MMP14
ENSG00000154447	31.4119136331584	-3.11225444197556	0.421681861935053	-7.38057460592153	1.5760782908443e-13	5.33874871596434e-11	SH3RF1
ENSG00000089220	21833.2801073844	-0.589596058278485	0.0801295819383714	-7.35803237725551	1.86640783541699e-13	6.25348060073138e-11	PEBP1
ENSG00000104635	638.067869588625	-0.869688327189854	0.118900357104254	-7.3144299005536	2.58476396347397e-13	8.56724184667582e-11	SLC39A14
ENSG00000134247	7.56897216477946	-3.3974577790595	0.464966475816809	-7.30688760537236	2.73401056744591e-13	8.87114481489686e-11	PTGFRN
ENSG00000272668	12.8727328973428	-2.20117663506524	0.301764706508503	-7.29434750847253	3.00109916050823e-13	9.63634183569439e-11	AL590560.3
ENSG00000253395	3.89159576209819	-2.06221449845596	0.284664781771762	-7.24436119431663	4.3448211963743e-13	1.380712509054e-10	AP003469.2
ENSG00000182223	4.34702537733618	-3.06038772582595	0.423194347047511	-7.23163659244807	4.77207781196758e-13	1.50101325055001e-10	ZAR1
ENSG00000185442	387.659917793392	-2.0906282768605	0.290049096755641	-7.20784274195416	5.68452231767849e-13	1.76995353982262e-10	FAM174B
ENSG00000128294	1798.9821917583	-0.768380746109641	0.106630245629993	-7.20602997367109	5.76067277716775e-13	1.77572738356196e-10	TPST2
ENSG00000162512	520.219232314348	-2.37037177893682	0.329171067126085	-7.20103318809874	5.9757998737993e-13	1.80592187362611e-10	SDC3
ENSG00000197635	262.597919565263	-2.14748002323195	0.298190871942033	-7.2016960453753	5.94681442221256e-13	1.80592187362611e-10	DPP4
ENSG00000250174	1.8208966995674	-2.87743916585272	0.400764054275223	-7.17988336318368	6.9770916084105e-13	2.0482747507548e-10	MYLK-AS2
ENSG00000100116	22.6908645726749	-2.36993398684854	0.330317155991105	-7.17472266839316	7.24539082568452e-13	2.10697332265778e-10	GCAT
ENSG00000021762	1510.98101187605	-2.78511223487616	0.388547901184609	-7.16800226274516	7.61000453502443e-13	2.19232139992643e-10	OSBPL5
ENSG00000128791	756.776669607913	-1.01031686353686	0.141194010248669	-7.15552211993625	8.33550460627871e-13	2.35726540815176e-10	TWSG1
ENSG00000134243	113.269931441297	-2.37958987478813	0.333397049721251	-7.13740531530702	9.51090911525046e-13	2.66521612252359e-10	SORT1
ENSG00000171777	231.790555909725	-2.40750970086342	0.338120725783063	-7.12026657131945	1.07718522029121e-12	2.99121681156804e-10	RASGRP4
ENSG00000247516	67.4588859372173	-3.45753580661606	0.485674613196729	-7.11903754626668	1.08683303453567e-12	2.99121681156804e-10	MIR4458HG
ENSG00000082293	2424.61460336612	-1.12772534578488	0.159651849146105	-7.06365351742873	1.62180840273901e-12	4.3852845626693e-10	COL19A1
ENSG00000075643	28.3090093807199	-2.64178256074263	0.374195507363004	-7.0598991937652	1.66623436204697e-12	4.46623254000851e-10	MOCOS
ENSG00000249159	2.9466356915442	-3.2732992920085	0.466084639982165	-7.02297181931109	2.17198033090604e-12	5.77166325001541e-10	AC091965.1
ENSG00000089692	1422.47430876324	-2.18271035555039	0.311019974383969	-7.01791053733329	2.25210661482808e-12	5.93343473522013e-10	LAG3
ENSG00000166548	590.400307397554	-0.656770630856134	0.0937376424089891	-7.0064769496822	2.44393802089127e-12	6.33062096588011e-10	TK2
ENSG00000175445	1455.66860442712	-3.34031899368008	0.477298769277372	-6.99838174470325	2.58935777906206e-12	6.59644244128826e-10	LPL
ENSG00000160360	91.8204763253812	-1.6799042957535	0.24039157571249	-6.98819952726912	2.78436226312282e-12	6.97788347648462e-10	GPSM1
ENSG00000205730	223.990735377437	-2.35243193351802	0.336626316708305	-6.98825913707886	2.78317977588911e-12	6.97788347648462e-10	ITPRIPL2
ENSG00000133475	7.51148860276178	-2.74304171884976	0.393937257972882	-6.96314365633978	3.32762181543153e-12	8.271348684798e-10	GGT2
ENSG00000187583	43.2844173584486	-1.42846986283015	0.205185199765288	-6.96185623750727	3.3581811318463e-12	8.271348684798e-10	PLEKHN1
ENSG00000270911	5.12706408225146	-2.15886282950402	0.310141210449725	-6.96090282995135	3.38098924342108e-12	8.271348684798e-10	AC114878.2
ENSG00000006756	528.390116310823	-1.82652762834629	0.262577544314574	-6.95614559544385	3.49708454088608e-12	8.48800243880422e-10	ARSD
ENSG00000267534	26.8002905323462	-1.76959532739695	0.255080696031168	-6.93739414597145	3.99398377072857e-12	9.54376354517118e-10	S1PR2
ENSG00000070601	43.5415628744526	-2.13894689419044	0.30942169283667	-6.91272442659505	4.7543298270422e-12	1.12732474552751e-09	FRMPD1
ENSG00000112419	961.199612725981	-0.863416026296729	0.125035865859478	-6.90534688076683	5.00809008514699e-12	1.1784303578218e-09	PHACTR2
ENSG00000161714	173.798604221336	-1.63065885286593	0.236875688759542	-6.8840279110333	5.81834669876335e-12	1.35871618931349e-09	PLCD3
ENSG00000077782	1004.11751142505	-2.29927184056043	0.334274916953373	-6.87838579548924	6.05345504485855e-12	1.3984028594717e-09	FGFR1
ENSG00000137825	165.784886073475	-1.96125350665698	0.2868036143385	-6.83831516970426	8.01299590251745e-12	1.81618087275809e-09	ITPKA
ENSG00000100336	42.3849051021819	-2.40718731780263	0.353010568324604	-6.81902337719574	9.16614863784397e-12	2.06238344351489e-09	APOL4
ENSG00000122591	2157.86035011415	-1.06440193224273	0.156427465559116	-6.8044440177961	1.01440224334536e-11	2.26586588051599e-09	FAM126A
ENSG00000143126	128.935310279546	-1.48473324722549	0.21981039924118	-6.75460875532286	1.43221203958112e-11	3.13105929929701e-09	CELSR2
ENSG00000168899	1169.17915240276	-0.820717358134801	0.121853560819868	-6.73527595429108	1.63619102656779e-11	3.50846752601248e-09	VAMP5
ENSG00000178078	58.2267813275486	-1.27233610887799	0.188960685156916	-6.73333771954425	1.65814580825324e-11	3.52498927857972e-09	STAP2
ENSG00000138613	3516.85950931615	-0.642927019889291	0.0955418077920813	-6.72927417585014	1.70511494399398e-11	3.60001151702838e-09	APH1B
ENSG00000197696	376.304489022697	-1.10103312296429	0.16402919106294	-6.71242183070821	1.91420356164833e-11	4.01396767264012e-09	NMB
ENSG00000149639	4015.07957731458	-0.648563901964379	0.0967754653872327	-6.70173891046917	2.05953784557539e-11	4.20432146290472e-09	SOGA1
ENSG00000203756	8.86586870942369	-5.65653973675353	0.844474361863871	-6.69829658803231	2.10862973275897e-11	4.27621786265099e-09	TMEM244
ENSG00000242889	12.0312017873902	-1.46031988877412	0.21806136332214	-6.69683004144482	2.12989088990687e-11	4.29110370466531e-09	RN7SL449P
ENSG00000176105	202.58398244879	-2.10980870241349	0.315163155707646	-6.69433804112116	2.16650079795519e-11	4.31438178385307e-09	YES1
ENSG00000183196	26.7488377061472	-2.83662658656417	0.425907482228033	-6.66019430258665	2.73465807541125e-11	5.36916147608609e-09	CHST6
ENSG00000161103	250.050099430901	-3.38422259526631	0.508769700790041	-6.65177700246522	2.89575224892875e-11	5.64946601729295e-09	AC008132.1
ENSG00000099954	233.564433105627	-2.44892661052963	0.368521407788179	-6.64527639039422	3.02648608349281e-11	5.83071459522911e-09	CECR2
ENSG00000198720	361.139685655274	-1.30513541878258	0.19639542393734	-6.64544719330623	3.02297830439362e-11	5.83071459522911e-09	ANKRD13B
ENSG00000236197	1.35220851120585	-3.72628192261215	0.560969570965545	-6.64257406368485	3.08251678221699e-11	5.90177514359247e-09	PPP1R9A-AS1
ENSG00000134042	30.9363915754941	-2.76113225084567	0.416556656507011	-6.62846747906714	3.39189828555416e-11	6.45402868223501e-09	MRO
ENSG00000185818	9.43888819871106	-2.03924199777702	0.30778484105872	-6.62554397013975	3.4597172657247e-11	6.52397040090798e-09	NAT8L
ENSG00000131016	1109.57054008601	-2.12923683414982	0.32178123059747	-6.61703241732384	3.66481153246372e-11	6.80529008965026e-09	AKAP12
ENSG00000120820	75.9686268159076	-0.717042350238589	0.108388198816242	-6.61550203868817	3.70292882331889e-11	6.83489706459908e-09	GLT8D2
ENSG00000151090	123.594757709851	-3.08524229271106	0.466459479033744	-6.61417000057977	3.73642161458366e-11	6.85566644461555e-09	THRB
ENSG00000166535	4.01135635765561	-2.85461690376824	0.432565254768211	-6.59927461186841	4.13174367535726e-11	7.53615377472707e-09	A2ML1
