X	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene.name
ENSG00000259976	1950.61435688676	1.18472750701262	0.11923176763558	9.93634104824831	2.89257232320631e-23	5.24491422722556e-20	AC093010.2
ENSG00000211598	2571.36771350568	5.64062221667433	0.592118122809296	9.52617729366646	1.63181665358976e-21	2.28639765213201e-18	IGKV4-1
ENSG00000211949	4441.99148778946	5.97958557110102	0.661307148667189	9.04207006253053	1.53732503035726e-19	1.63407048485388e-16	IGHV3-23
ENSG00000167641	53.2182715844908	4.65281711366722	0.524606541675365	8.86915572727733	7.3702547615839e-19	6.68200303017129e-16	PPP1R14A
ENSG00000271046	65.5091982637089	2.68088761370747	0.304180256431691	8.81348331136511	1.21316177069528e-18	1.06844890233377e-15	AL512631.1
ENSG00000189233	651.775516167931	2.06390417024863	0.237637774325135	8.68508458350065	3.7846066189108e-18	2.84537802507135e-15	NUGGC
ENSG00000179388	640.432809706001	1.95075225615718	0.244885239008642	7.96598547162061	1.63912200575234e-15	9.35665478283628e-13	EGR3
ENSG00000148429	9199.37340059564	0.991545898088115	0.126634702243125	7.82996983073763	4.87987051225195e-15	2.38765092920899e-12	USP6NL
ENSG00000164850	35.1938267711241	2.44859177451223	0.313016363835768	7.8225679466296	5.17565017592276e-15	2.4928033855128e-12	GPER1
ENSG00000105486	4875.43049890243	0.59032415384959	0.0759491026335356	7.77262842324789	7.68740003205544e-15	3.59036524224408e-12	LIG1
ENSG00000158486	58.1419070265941	2.17061994464907	0.280609938361127	7.73536374843439	1.03107873164003e-14	4.67397086805942e-12	DNAH3
ENSG00000153064	12143.7929280702	1.41312587552812	0.184079687921384	7.67670725371739	1.63229873009493e-14	7.08670540213751e-12	BANK1
ENSG00000163995	49.2247107067634	2.10104458586661	0.275640722976583	7.62240268120725	2.48996836138203e-14	1.03720641540002e-11	ABLIM2
ENSG00000105649	124.120126555765	1.95510309729972	0.256846069511286	7.6119642438749	2.6996125499894e-14	1.10954075804564e-11	RAB3A
ENSG00000254206	570.462999333366	0.958802146145381	0.127980662534749	7.49177357856739	6.79490713618155e-14	2.65130395535185e-11	NPIPB11
ENSG00000182870	42.1539205442623	3.17089214543493	0.424737713267316	7.46553001155157	8.29649781917789e-14	3.11877494239218e-11	GALNT9
ENSG00000160145	39.4968620006981	3.10296265158682	0.41584910555413	7.46175141449935	8.53798561526304e-14	3.13313579274385e-11	KALRN
ENSG00000011638	1468.17119172982	1.18487973540035	0.160249846347592	7.39395239624924	1.42527456311179e-13	4.99251004635464e-11	TMEM159
ENSG00000171659	127.113602378169	2.18132154709304	0.29527079334683	7.38752899454849	1.49582521127441e-13	5.18076540871164e-11	GPR34
ENSG00000258760	8.57569888333071	3.18626953693251	0.431526482518134	7.38371725957424	1.53930156704665e-13	5.27210786713478e-11	AL355076.2
ENSG00000026297	9143.82416501919	0.626918676057892	0.0857509509689741	7.31092389033352	2.65311787198883e-13	8.70025089404848e-11	RNASET2
ENSG00000075035	57.3845428102375	4.51879981517538	0.628119489597651	7.19417227137778	6.28408128512349e-13	1.88064859819351e-10	WSCD2
ENSG00000198885	371.211903288284	1.18574120246802	0.164930516601852	7.18933783085419	6.51062984180209e-13	1.92971312378413e-10	ITPRIPL1
ENSG00000120217	371.585953717327	1.39386880896889	0.194532014026758	7.16524123775926	7.76496951866551e-13	2.21625171678578e-10	CD274
ENSG00000182379	587.768643318	2.23014330052322	0.315277056194752	7.07359846428415	1.50966713385159e-12	4.11818490274117e-10	NXPH4
ENSG00000203709	5803.43862156658	1.14073903648909	0.162730692167908	7.00998085420826	2.38350738873087e-12	6.22640807268042e-10	MIR29B2CHG
ENSG00000158158	3195.19780959357	0.663631493316288	0.0948003111181155	7.00030923410624	2.55398166384986e-12	6.56054039901433e-10	CNNM4
ENSG00000152127	13259.163934072	0.729222472370712	0.105057383175152	6.94118252645749	3.88831226607673e-12	9.36384575014181e-10	MGAT5
ENSG00000205683	311.768583756947	2.13868051979266	0.310954831538737	6.87778514072143	6.07902621797917e-12	1.3984028594717e-09	DPF3
ENSG00000112486	71.7089724668787	1.41524811756761	0.206886169199487	6.84070918343014	7.88020859861585e-12	1.79931429668395e-09	CCR6
ENSG00000185920	907.667222852951	2.71227727570177	0.398921726816078	6.79902119483269	1.05332322302389e-11	2.33587685969147e-09	PTCH1
ENSG00000175920	108.976173034381	3.14680622918096	0.464254055124893	6.778198691952	1.21683431110332e-11	2.67920840283998e-09	DOK7
ENSG00000164849	35.146752792157	1.82641143182154	0.270682040344645	6.74744223701015	1.50474110475487e-11	3.26645384183583e-09	GPR146
ENSG00000185633	79.4067907305655	1.46652001312389	0.217745223334813	6.73502725186726	1.63899212894014e-11	3.50846752601248e-09	NDUFA4L2
ENSG00000146555	26.3037649093761	3.53028398795526	0.52601967914867	6.71131542772089	1.92877656702516e-11	4.01422919963374e-09	SDK1
ENSG00000164484	17.0167259639546	2.07320211104271	0.308951702681531	6.7104408004502	1.94037356283999e-11	4.01422919963374e-09	TMEM200A
ENSG00000164330	553.294970208744	4.35992742339161	0.65130509324942	6.69413991780647	2.16943771775256e-11	4.31438178385307e-09	EBF1
ENSG00000147485	358.233756599751	2.33714267991259	0.349903913047335	6.67938423311208	2.39948298083905e-11	4.741286082331e-09	PXDNL
ENSG00000255479	35.188426014568	1.65322152809612	0.24954047345677	6.62506368283591	3.4709850632568e-11	6.52397040090798e-09	AP001189.5
ENSG00000196433	42.8330054019853	1.2247267087248	0.184929005852964	6.62268584139025	3.52730166996168e-11	6.58964084706477e-09	ASMT
ENSG00000117090	3284.94992049717	1.80891856071106	0.275409398434482	6.56810759180169	5.09587171512575e-11	9.07978298374284e-09	SLAMF1
ENSG00000088280	258.938810976554	2.06756846312499	0.315989123641904	6.54316338263613	6.02309651350307e-11	1.06702270131455e-08	ASAP3
ENSG00000127951	715.203362009553	1.75754898880081	0.268966024261371	6.53446469169238	6.38374521437364e-11	1.12362329991151e-08	FGL2
ENSG00000100077	8518.56658948165	0.508981436994893	0.0789624692766799	6.44586525291467	1.14942750935483e-10	1.91298718939345e-08	GRK3
ENSG00000188958	17.8220544418761	1.93883519484584	0.300817413089923	6.44522261836707	1.15430857170213e-10	1.91298718939345e-08	UTS2B
ENSG00000076554	5395.25005030458	0.830303806698067	0.128909474882862	6.44098354641932	1.18701741933235e-10	1.93596888629205e-08	TPD52
ENSG00000162804	4879.57321109634	1.55868242880954	0.24287489500768	6.41763500818087	1.38407600929742e-10	2.16569253739051e-08	SNED1
ENSG00000256084	11.498211901059	3.02149234544206	0.470893123570062	6.41651405426079	1.39430083799431e-10	2.17067289551387e-08	AC092112.1
ENSG00000114315	75.2765761381657	2.89160390764539	0.451683580328343	6.40183534133208	1.53520184162447e-10	2.35435804816289e-08	HES1
ENSG00000261026	116.289839544589	1.77901024407791	0.278044705317712	6.39828851279544	1.57128181735034e-10	2.38594886797163e-08	AC105046.1
ENSG00000258130	14.3383026568458	2.1675881306387	0.339952956006367	6.37614144057656	1.8160521817914e-10	2.70433857505893e-08	AC106782.1
ENSG00000167202	1519.89811455923	0.802745767556422	0.12594540735711	6.37375974560381	1.84449466234633e-10	2.73348788302046e-08	TBC1D2B
ENSG00000228800	8.36886127472445	1.24799511675783	0.196531536494337	6.3501010525799	2.15173534506611e-10	3.12864349111617e-08	AL590068.1
ENSG00000137507	4799.53966533732	2.06587425503635	0.325558956222318	6.34562255330985	2.21527763628886e-10	3.20591235392508e-08	LRRC32
ENSG00000121753	28.6489947510078	2.20272926753713	0.347220812257396	6.34388605111676	2.24040566206289e-10	3.22712638005087e-08	ADGRB2
ENSG00000140577	2992.11813772386	0.625526759622352	0.0991409435604134	6.30946950026934	2.79993535439045e-10	3.95908290362778e-08	CRTC3
