logFC	AveExpr	t	P.Value	adj.P.Val	B	mutated_AVG	unmutated_AVG	deltaBeta	CHR	MAPINFO	Strand	Type	gene	feature	cgi	feat.cgi	UCSC_CpG_Islands_Name	DHS	Enhancer	Phantom	Probe_SNPs	Probe_SNPs_10	CpG_island
-0.553795546342322	0.567598275042857	-16.2566672540108	3.96506299269603e-40	1.32168766423201e-37	80.5798189380524	0.808235625536842	0.254440079194521	-0.553795546342322	8	19798765	F	II	LPL	Body	shore	Body-shore	chr8:19796843-19798006	NA	NA				cg26289317
-0.616927454829286	0.537165185635119	-15.4006088534678	2.70239485088191e-37	4.65930146703778e-35	74.1117536950046	0.805234853507368	0.188307398678082	-0.616927454829286	4	26755598	F	II	TBC1D19	Body	opensea	Body-opensea		NA	TRUE		rs13145887		cg01399475
-0.543510277069373	0.619697890157738	-13.6507056030625	1.67494061343709e-31	9.9698846037922e-30	60.8897333528751	0.855866046265263	0.31235576919589	-0.543510277069373	2	39430867	R	II	CDKL4	Body	opensea	Body-opensea		NA	TRUE				cg10156706
-0.5300645198508	0.421576715131548	-13.5943193460767	2.57009488501218e-31	1.46028118466601e-29	60.465319543151	0.651902369590526	0.121837849739726	-0.5300645198508	17	55622595	R	II	MSI2	Body	opensea	Body-opensea		NA	TRUE				cg18052713
-0.519065712317924	0.555182882380952	-13.3766171703068	1.34006485909943e-30	6.86741352891471e-29	58.8284879359311	0.780729293090526	0.261663580772603	-0.519065712317924	16	89183728	R	II	ACSF3	Body	shelf	Body-shelf	chr16:89186198-89186551	NA	NA				cg05314414
-0.465020578106662	0.524199312572024	-13.2919718939421	2.54459231255565e-30	1.22336168872868e-28	58.1929056114209	0.726261825677895	0.261241247571233	-0.465020578106662	1	2106732	F	II	PRKCZ	Body	opensea	Body-opensea		NA	NA	low-CpG:2096465-2096613	rs262640		cg13798228
-0.526602282775155	0.4879112437625	-13.2309836183766	4.03778126675969e-30	1.86934317905541e-28	57.7352740918718	0.716732473777895	0.19013019100274	-0.526602282775155	1	12188549	F	II	TNFRSF8	5'UTR	opensea	5'UTR-opensea		NA	NA				cg00463840
-0.481550818215083	0.70646975787619	-13.1823909809575	5.83213994461546e-30	2.65097270209794e-28	57.3708518634074	0.915715053886316	0.434164235671233	-0.481550818215083	12	125308147	R	II	SCARB1	Body	opensea	Body-opensea		NA	TRUE				cg01347539
-0.565438146045379	0.491660702766071	-13.1448094708248	7.74953936909409e-30	3.45961578977415e-28	57.0891318224712	0.73735704003579	0.171918893990411	-0.565438146045379	7	155790801	R	I		IGR	opensea	IGR-opensea		NA	NA				cg12712184
-0.509450630630728	0.466548175052976	-13.1022860971295	1.06880943228313e-29	4.64699753166576e-28	56.7705001507984	0.687916603838947	0.178465973208219	-0.509450630630728	16	89183643	R	II	ACSF3	Body	shelf	Body-shelf	chr16:89186198-89186551	NA	NA				cg10512427
-0.580787092116842	0.490172876527976	-12.9218768039037	4.17412033350533e-29	1.72484311301873e-27	55.4203405823051	0.742538696316842	0.1617516042	-0.580787092116842	19	57019069	F	I	ZNF471	TSS200	island	TSS200-island	chr19:57018743-57019506	NA	NA				cg00674365
-0.452412199916035	0.675400470900595	-12.7011758224535	2.20130797663327e-28	8.21383573370624e-27	53.7726316693049	0.871984343483158	0.419572143567123	-0.452412199916035	7	2679971	R	I	TTYH3	Body	opensea	Body-opensea		NA	NA				cg16184737
-0.476085214016338	0.490679967543452	-12.6554593758114	3.10462840984915e-28	1.14897101696794e-26	53.4319166147053	0.697550328395789	0.221465114379452	-0.476085214016337	7	155790771	R	II		IGR	opensea	IGR-opensea		NA	NA				cg14635659
-0.529778880962394	0.481325307027381	-12.4623202280661	1.32388666760868e-27	4.27060215357639e-26	51.9949274950674	0.711526844588421	0.181747963626027	-0.529778880962394	18	74680298	F	II	ZNF236	3'UTR	opensea	3'UTR-opensea		NA	TRUE				cg07460565
-0.506904993500274	0.611169068697619	-12.4536980495746	1.41230300709679e-27	4.4977802773783e-26	51.9308726505906	0.83143135754	0.324526364039726	-0.506904993500274	17	57476084	F	II	YPEL2	3'UTR	opensea	3'UTR-opensea		NA	NA				cg26003360
-0.481658651818688	0.474298318686905	-12.4104476763984	1.95304910499364e-27	6.14166385218125e-26	51.6096905164069	0.683590470965263	0.201931819146575	-0.481658651818688	17	80278914	F	I	SECTM1	3'UTR	island	3'UTR-island	chr17:80278861-80279563	NA	TRUE		rs34528402		cg09237133
-0.467626323572358	0.599694011480357	-12.3809671214214	2.43569794884949e-27	7.42590838063868e-26	51.3908887962538	0.802888783032632	0.335262459460274	-0.467626323572358	1	224548495	F	II	CNIH4	Body	shelf	Body-shelf	chr1:224544523-224545224	NA	NA				cg18883472
